obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
31.564,0.008,31.564,0.008,316820,a,,,0.0000,316820,3d5.(6S).4s,a 7S,3,3p5.3d5.4s2,7P*,2,7,5,,,L4170,
31.824,0.008,31.824,0.008,314230,a,,,0.0000,314230,3d5.(6S).4s,a 7S,3,3p5.3d5.4s2,7P*,3,7,7,,,L4170,
32.125,0.008,32.125,0.008,311280,a,,,0.0000,311280,3d5.(6S).4s,a 7S,3,3p5.3d5.4s2,7P*,4,7,9,,,L4170,
166.508,0.010,166.508,0.011,60057,a,,,0.0000,60057,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,5P*,3,7,7,,,L5413,
166.968,0.010,166.967,0.011,59892,a,,,0.0000,59892,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,5P*,2,7,5,,,L5413,
167.072,0.010,167.073,0.011,59854,a,,,0.0000,59854,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7D*,4,7,9,,,L5413,
167.441,0.010,167.442,0.011,59723,a,,,0.0000,59722,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7D*,3,7,7,,,L5413,
167.505,0.010,167.504,0.011,59700,a,,,0.0000,59700,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7P*,4,7,9,,,L5413,
167.813,0.010,167.813,0.011,59590,a,,,0.0000,59590,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7F*,4,7,9,,,L5413,
167.959,0.010,167.960,0.011,59538,a,,,0.0000,59538,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7D*,2,7,5,,,L5413,
168.368,0.010,168.367,0.011,59394,a,,,0.0000,59394,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7P*,3,7,7,,,L5413,
168.456,0.010,168.455,0.011,59363,a,,,0.0000,59363,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7F*,3,7,7,,,L5413,
168.798,0.010,168.799,0.011,59242,a,,,0.0000,59242,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7P*,2,7,5,,,L5413,
168.995,0.010,168.996,0.011,59173,a,,,0.0000,59173,3d5.(6S).4s,a 7S,3,3d4.4s.(6D).6p,7F*,2,7,5,,,L5413,
183.5158,0.0007,183.5158,0.0007,54491.2,3a*,,,0.0000,54491.22,3d5.(6S).4s,a 7S,3,3d5.(6S).38p,7P*,3,7,7,,,L2832,
183.5158,0.0007,183.5158,0.0007,54491.2,3a*,,,0.0000,54491.22,3d5.(6S).4s,a 7S,3,3d5.(6S).38p,7P*,4,7,9,,,L2832,
183.5158,0.0007,183.5158,0.0006,54491.2,3a*,,,0.0000,54491.22,3d5.(6S).4s,a 7S,3,3d5.(6S).38p,7P*,2,7,5,,,L2832,
183.5355,0.0007,183.5355,0.0007,54485.4,3a*,,,0.0000,54485.37,3d5.(6S).4s,a 7S,3,3d5.(6S).37p,7P*,3,7,7,,,L2832,
183.5355,0.0007,183.5355,0.0007,54485.4,3a*,,,0.0000,54485.37,3d5.(6S).4s,a 7S,3,3d5.(6S).37p,7P*,2,7,5,,,L2832,
183.5355,0.0007,183.5355,0.0007,54485.4,3a*,,,0.0000,54485.37,3d5.(6S).4s,a 7S,3,3d5.(6S).37p,7P*,4,7,9,,,L2832,
183.5515,0.0007,183.5515,0.0007,54480.6,3a*,,,0.0000,54480.62,3d5.(6S).4s,a 7S,3,3d5.(6S).36p,7P*,4,7,9,,,L2832,
183.5515,0.0007,183.5515,0.0007,54480.6,3a*,,,0.0000,54480.62,3d5.(6S).4s,a 7S,3,3d5.(6S).36p,7P*,2,7,5,,,L2832,
183.5515,0.0007,183.5515,0.0007,54480.6,3a*,,,0.0000,54480.62,3d5.(6S).4s,a 7S,3,3d5.(6S).36p,7P*,3,7,7,,,L2832,
183.5711,0.0009,183.5711,0.0010,54474.8,3a*,,,0.0000,54474.81,3d5.(6S).4s,a 7S,3,3d5.(6S).35p,7P*,3,7,7,,,L2832,
183.5711,0.0009,183.5711,0.0010,54474.8,3a*,,,0.0000,54474.81,3d5.(6S).4s,a 7S,3,3d5.(6S).35p,7P*,2,7,5,,,L2832,
183.5711,0.0009,183.5711,0.0010,54474.8,3a*,,,0.0000,54474.81,3d5.(6S).4s,a 7S,3,3d5.(6S).35p,7P*,4,7,9,,,L2832,
183.5923,0.0007,183.5923,0.0007,54468.5,3a*,,,0.0000,54468.52,3d5.(6S).4s,a 7S,3,3d5.(6S).34p,7P*,2,7,5,,,L2832,
183.5923,0.0007,183.5923,0.0007,54468.5,3a*,,,0.0000,54468.52,3d5.(6S).4s,a 7S,3,3d5.(6S).34p,7P*,4,7,9,,,L2832,
183.5923,0.0007,183.5923,0.0007,54468.5,3a*,,,0.0000,54468.52,3d5.(6S).4s,a 7S,3,3d5.(6S).34p,7P*,3,7,7,,,L2832,
183.6153,0.0007,183.6153,0.0007,54461.7,3a*,,,0.0000,54461.69,3d5.(6S).4s,a 7S,3,3d5.(6S).33p,7P*,2,7,5,,,L2832,
183.6153,0.0007,183.6153,0.0007,54461.7,3a*,,,0.0000,54461.69,3d5.(6S).4s,a 7S,3,3d5.(6S).33p,7P*,3,7,7,,,L2832,
183.6153,0.0007,183.6153,0.0007,54461.7,3a*,,,0.0000,54461.69,3d5.(6S).4s,a 7S,3,3d5.(6S).33p,7P*,4,7,9,,,L2832,
183.6433,0.0007,183.6433,0.0007,54453.4,3a*,,,0.0000,54453.39,3d5.(6S).4s,a 7S,3,3d5.(6S).32p,7P*,4,7,9,,,L2832,
183.6433,0.0007,183.6433,0.0007,54453.4,3a*,,,0.0000,54453.39,3d5.(6S).4s,a 7S,3,3d5.(6S).32p,7P*,3,7,7,,,L2832,
183.6433,0.0007,183.6433,0.0007,54453.4,3a*,,,0.0000,54453.39,3d5.(6S).4s,a 7S,3,3d5.(6S).32p,7P*,2,7,5,,,L2832,
183.6715,0.0010,183.6715,0.0010,54445.0,3a*,,,0.0000,54445.03,3d5.(6S).4s,a 7S,3,3d5.(6S).31p,7P*,3,7,7,,,L2832,
183.6715,0.0010,183.6715,0.0010,54445.0,3a*,,,0.0000,54445.03,3d5.(6S).4s,a 7S,3,3d5.(6S).31p,7P*,4,7,9,,,L2832,
183.6715,0.0010,183.6715,0.0010,54445.0,3a*,,,0.0000,54445.03,3d5.(6S).4s,a 7S,3,3d5.(6S).31p,7P*,2,7,5,,,L2832,
183.7015,0.0010,183.7015,0.0010,54436.1,3a*,,,0.0000,54436.14,3d5.(6S).4s,a 7S,3,3d5.(6S).30p,7P*,2,7,5,,,L2832,
183.7015,0.0010,183.7015,0.0010,54436.1,3a*,,,0.0000,54436.14,3d5.(6S).4s,a 7S,3,3d5.(6S).30p,7P*,4,7,9,,,L2832,
183.7015,0.0010,183.7015,0.0010,54436.1,3a*,,,0.0000,54436.14,3d5.(6S).4s,a 7S,3,3d5.(6S).30p,7P*,3,7,7,,,L2832,
183.7379,0.0007,183.7379,0.0007,54425.4,3a*,,,0.0000,54425.35,3d5.(6S).4s,a 7S,3,3d5.(6S).29p,7P*,4,7,9,,,L2832,
183.7379,0.0007,183.7379,0.0007,54425.4,3a*,,,0.0000,54425.35,3d5.(6S).4s,a 7S,3,3d5.(6S).29p,7P*,3,7,7,,,L2832,
183.7379,0.0007,183.7379,0.0007,54425.4,3a*,,,0.0000,54425.35,3d5.(6S).4s,a 7S,3,3d5.(6S).29p,7P*,2,7,5,,,L2832,
183.7780,0.0007,183.7780,0.0007,54413.5,3a*,,,0.0000,54413.48,3d5.(6S).4s,a 7S,3,3d5.(6S).28p,7P*,3,7,7,,,L2832,
183.7780,0.0007,183.7780,0.0007,54413.5,3a*,,,0.0000,54413.48,3d5.(6S).4s,a 7S,3,3d5.(6S).28p,7P*,2,7,5,,,L2832,
183.7780,0.0007,183.7780,0.0007,54413.5,3a*,,,0.0000,54413.48,3d5.(6S).4s,a 7S,3,3d5.(6S).28p,7P*,4,7,9,,,L2832,
183.8217,0.0009,183.8217,0.0010,54400.5,4a*,,,0.0000,54400.54,3d5.(6S).4s,a 7S,3,3d5.(6S).27p,7P*,4,7,9,,,L2832,
183.8217,0.0009,183.8217,0.0010,54400.5,4a*,,,0.0000,54400.54,3d5.(6S).4s,a 7S,3,3d5.(6S).27p,7P*,3,7,7,,,L2832,
183.8217,0.0009,183.8217,0.0010,54400.5,4a*,,,0.0000,54400.54,3d5.(6S).4s,a 7S,3,3d5.(6S).27p,7P*,2,7,5,,,L2832,
183.8724,0.0009,183.8724,0.0010,54385.5,4a*,,,0.0000,54385.54,3d5.(6S).4s,a 7S,3,3d5.(6S).26p,7P*,3,7,7,,,L2832,
183.8724,0.0009,183.8724,0.0010,54385.5,4a*,,,0.0000,54385.54,3d5.(6S).4s,a 7S,3,3d5.(6S).26p,7P*,2,7,5,,,L2832,
183.8724,0.0009,183.8724,0.0010,54385.5,4a*,,,0.0000,54385.54,3d5.(6S).4s,a 7S,3,3d5.(6S).26p,7P*,4,7,9,,,L2832,
183.9296,0.0007,183.9296,0.0007,54368.6,4a*,,,0.0000,54368.63,3d5.(6S).4s,a 7S,3,3d5.(6S).25p,7P*,4,7,9,,,L2832,
183.9296,0.0007,183.9296,0.0007,54368.6,4a*,,,0.0000,54368.63,3d5.(6S).4s,a 7S,3,3d5.(6S).25p,7P*,2,7,5,,,L2832,
183.9296,0.0007,183.9296,0.0007,54368.6,4a*,,,0.0000,54368.63,3d5.(6S).4s,a 7S,3,3d5.(6S).25p,7P*,3,7,7,,,L2832,
183.9942,0.0010,183.9942,0.0010,54349.5,4a*,,,0.0000,54349.54,3d5.(6S).4s,a 7S,3,3d5.(6S).24p,7P*,2,7,5,,,L2832,
183.9942,0.0010,183.9942,0.0010,54349.5,4a*,,,0.0000,54349.54,3d5.(6S).4s,a 7S,3,3d5.(6S).24p,7P*,3,7,7,,,L2832,
183.9942,0.0010,183.9942,0.0010,54349.5,4a*,,,0.0000,54349.54,3d5.(6S).4s,a 7S,3,3d5.(6S).24p,7P*,4,7,9,,,L2832,
184.0699,0.0009,184.0699,0.0010,54327.2,4a*,,,0.0000,54327.19,3d5.(6S).4s,a 7S,3,3d5.(6S).23p,7P*,3,7,7,,,L2832,
184.0699,0.0009,184.0699,0.0010,54327.2,4a*,,,0.0000,54327.19,3d5.(6S).4s,a 7S,3,3d5.(6S).23p,7P*,4,7,9,,,L2832,
184.0699,0.0009,184.0699,0.0010,54327.2,4a*,,,0.0000,54327.19,3d5.(6S).4s,a 7S,3,3d5.(6S).23p,7P*,2,7,5,,,L2832,
184.1540,0.0012,184.1539,0.0014,54302.4,5a*,,,0.0000,54302.4,3d5.(6S).4s,a 7S,3,3d5.(6S).22p,7P*,2,7,5,,,L2832,
184.1540,0.0012,184.1539,0.0014,54302.4,5a*,,,0.0000,54302.4,3d5.(6S).4s,a 7S,3,3d5.(6S).22p,7P*,3,7,7,,,L2832,
184.1540,0.0012,184.1539,0.0014,54302.4,5a*,,,0.0000,54302.4,3d5.(6S).4s,a 7S,3,3d5.(6S).22p,7P*,4,7,9,,,L2832,
184.2556,0.0020,184.2557,0.0020,54272.4,5a*,,,0.0000,54272.4,3d5.(6S).4s,a 7S,3,3d5.(6S).21p,7P*,2,7,5,,,L2832,
184.2556,0.0020,184.2557,0.0020,54272.4,5a*,,,0.0000,54272.4,3d5.(6S).4s,a 7S,3,3d5.(6S).21p,7P*,3,7,7,,,L2832,
184.2556,0.0020,184.2557,0.0020,54272.4,5a*,,,0.0000,54272.4,3d5.(6S).4s,a 7S,3,3d5.(6S).21p,7P*,4,7,9,,,L2832,
184.3735,0.0009,184.3735,0.0010,54237.7,4a*,,,0.0000,54237.73,3d5.(6S).4s,a 7S,3,3d5.(6S).20p,7P*,3,7,7,,,L2832,
184.3735,0.0009,184.3735,0.0010,54237.7,4a*,,,0.0000,54237.73,3d5.(6S).4s,a 7S,3,3d5.(6S).20p,7P*,4,7,9,,,L2832,
184.3735,0.0009,184.3735,0.0010,54237.7,4a*,,,0.0000,54237.73,3d5.(6S).4s,a 7S,3,3d5.(6S).20p,7P*,2,7,5,,,L2832,
184.5135,0.0007,184.5135,0.0007,54196.6,5a*,,,0.0000,54196.58,3d5.(6S).4s,a 7S,3,3d5.(6S).19p,7P*,4,7,9,,,L2832,
184.5135,0.0007,184.5135,0.0007,54196.6,5a*,,,0.0000,54196.58,3d5.(6S).4s,a 7S,3,3d5.(6S).19p,7P*,3,7,7,,,L2832,
184.5135,0.0007,184.5135,0.0007,54196.6,5a*,,,0.0000,54196.58,3d5.(6S).4s,a 7S,3,3d5.(6S).19p,7P*,2,7,5,,,L2832,
184.6800,0.0007,184.6800,0.0007,54147.7,5a*,,,0.0000,54147.71,3d5.(6S).4s,a 7S,3,3d5.(6S).18p,7P*,3,7,7,,,L2832,
184.6800,0.0007,184.6800,0.0007,54147.7,5a*,,,0.0000,54147.71,3d5.(6S).4s,a 7S,3,3d5.(6S).18p,7P*,2,7,5,,,L2832,
184.6800,0.0007,184.6800,0.0007,54147.7,5a*,,,0.0000,54147.71,3d5.(6S).4s,a 7S,3,3d5.(6S).18p,7P*,4,7,9,,,L2832,
184.8805,0.0017,184.8805,0.0017,54089.0,5a*,,,0.0000,54089.0,3d5.(6S).4s,a 7S,3,3d5.(6S).17p,7P*,4,7,9,,,L2832,
184.8805,0.0017,184.8805,0.0017,54089.0,5a*,,,0.0000,54089.0,3d5.(6S).4s,a 7S,3,3d5.(6S).17p,7P*,3,7,7,,,L2832,
184.8805,0.0017,184.8805,0.0017,54089.0,5a*,,,0.0000,54089.0,3d5.(6S).4s,a 7S,3,3d5.(6S).17p,7P*,2,7,5,,,L2832,
