obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
84.9689,0.0035,84.969,0.004,117690.,10a,,,0.0000,117690.,5p6.6s,2S,1/2,5p5.6s.(3P*).5d,4D*,1/2,2,2,,,"L9536,L15673",
87.3015,0.0035,,,114546.,5a,,,,,,,,,,,1,1,,,"L9536,L15673",
88.1136,0.0035,,,113490.,8a,,,,,,,,,,,1,1,,,"L9536,L15673",
91.685,0.015,91.685,0.015,109069,5a,,,0.0000,109069,5p6.6s,2S,1/2,5p5.6s2,2P*,1/2,2,2,,,L15673,
96.90,0.05,96.908,0.005,103200,,,,14499.2568,117690.,5p6.5d,2D,3/2,5p5.6s.(3P*).5d,4D*,1/2,4,2,,,L11112,
100.75,0.03,100.75,0.03,99259,10a,,,0.0000,99259,5p6.6s,2S,1/2,5p5.6s2,2P*,3/2,2,4,,,L15673,
108.998,0.004,108.997,0.004,91745.,a,2.4e+06,D+,14499.2568,106245.,5p6.5d,2D,3/2,5p5.6s.(3P*).5d,4P*,5/2,4,6,,T5128,L16570,
109.111,0.004,109.113,0.004,91650.,a,4.0e+07,E,14596.84232,106245.,5p6.5d,2D,5/2,5p5.6s.(3P*).5d,4P*,5/2,6,6,,T5128,L16570,
119.58,0.03,119.537,0.004,83626.,,,,22588.8210,106245.,5p6.6d,2D,3/2,5p5.6s.(3P*).5d,4P*,5/2,4,6,,,L11806,
124.72,0.03,124.693,0.005,80180.,,,,26047.8342,106245.,5p6.7d,2D,3/2,5p5.6s.(3P*).5d,4P*,5/2,4,6,,,L11806,
320.8434,0.0005,320.8445391,0.0000015,31167.86,,8.5e+02,C,0.0000,31167.74257,5p6.6s,2S,1/2,5p6.25p,2P*,3/2,2,4,,T4515,L3287c91,
,,320.8520056,0.0000015,31167.01727,m,,,0.0000,31167.01727,5p6.6s,2S,1/2,5p6.25p,2P*,1/2,2,2,,,L3287c91,
321.0894,0.0005,321.0908,0.0003,31143.97,,9.4e+02,C,0.0000,31143.84,5p6.6s,2S,1/2,5p6.24p,2P*,3/2,2,4,,T4515,L3287c91,
,,321.0997188,0.0000021,31142.97340,m,,,0.0000,[31142.9734],5p6.6s,2S,1/2,5p6.24p,2P*,1/2,2,2,,,L3287c91,
321.3759,0.0005,321.3771355,0.0000021,31116.21,,1.19e+03,C,0.0000,31116.0904,5p6.6s,2S,1/2,5p6.23p,2P*,3/2,2,4,,T4515,L3287c91,
,,321.3871860,0.0000015,31115.11733,m,,,0.0000,31115.11733,5p6.6s,2S,1/2,5p6.23p,2P*,1/2,2,2,,,L3287c91,
321.7100,0.0005,321.7113,0.0003,31083.90,,1.49e+03,C,0.0000,31083.77,5p6.6s,2S,1/2,5p6.22p,2P*,3/2,2,4,,T4515,L3287c91,
,,321.7234297,0.0000021,31082.59790,m,,,0.0000,[31082.5979],5p6.6s,2S,1/2,5p6.22p,2P*,1/2,2,2,,,L3287c91,
322.1046,0.0005,322.10617,0.00003,31045.82,,1.7e+03,C,0.0000,31045.664,5p6.6s,2S,1/2,5p6.21p,2P*,3/2,2,4,,T4515,L3287c91,
322.1188,0.0005,322.1201884,0.0000016,31044.45,,1.07e+01,C,0.0000,31044.31315,5p6.6s,2S,1/2,5p6.21p,2P*,1/2,2,2,,T4515,L3287c91,
322.5748,0.0005,322.5765,0.0003,31000.56,,2.0e+03,C,0.0000,31000.40,5p6.6s,2S,1/2,5p6.20p,2P*,3/2,2,4,,T4515,L3287c91,
322.5913,0.0005,322.5932,0.0003,30998.97,,1.43e+01,C,0.0000,30998.79,5p6.6s,2S,1/2,5p6.20p,2P*,1/2,2,2,,T4515,L3287c91,
323.1410,0.0005,323.14236,0.00003,30946.25,,2.5e+03,C,0.0000,30946.113,5p6.6s,2S,1/2,5p6.19p,2P*,3/2,2,4,,T4515,L3287c91,
323.1613,0.0005,323.1626654,0.0000016,30944.30,,1.97e+01,C,0.0000,30944.16859,5p6.6s,2S,1/2,5p6.19p,2P*,1/2,2,2,,T4515,L3287c91,
323.8316,0.0005,323.8329091,0.0000021,30880.24,,2.8e+03,C,0.0000,30880.1228,5p6.6s,2S,1/2,5p6.18p,2P*,3/2,2,4,,T4515,L3287c91,
323.8564,0.0005,323.8578191,0.0000016,30877.88,,2.63e+01,C,0.0000,30877.74761,5p6.6s,2S,1/2,5p6.18p,2P*,1/2,2,2,,T4515,L3287c91,
324.6861,0.0005,324.68743,0.00003,30798.97,,3.45e+03,C,0.0000,30798.852,5p6.6s,2S,1/2,5p6.17p,2P*,3/2,2,4,,T4515,L3287c91,
324.7173,0.0005,324.7184762,0.0000016,30796.02,,3.7e+01,C,0.0000,30795.90702,5p6.6s,2S,1/2,5p6.17p,2P*,1/2,2,2,,T4515,L3287c91,
325.7611,0.0005,325.76271,0.00003,30697.34,,4.25e+03,C,0.0000,30697.191,5p6.6s,2S,1/2,5p6.16p,2P*,3/2,2,4,,T4515,L3287c91,
325.8010,0.0005,325.8021542,0.0000016,30693.58,,7.0e+01,C,0.0000,30693.47416,5p6.6s,2S,1/2,5p6.16p,2P*,1/2,2,2,,T4515,L3287c91,
327.1417,0.0005,327.14283,0.00003,30567.80,,6.5e+03,C+,0.0000,30567.688,5p6.6s,2S,1/2,5p6.15p,2P*,3/2,2,4,,T7227,L3287c91,
