obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""114.661""","=""0.002""","=""114.6610""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""87213.6""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).11p?""","=""2P*""","=""1/2""",,"=""""","=""L1923""",
"=""114.725""","=""0.002""","=""114.7249""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""87165.0""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).11p?""","=""2P*""","=""3/2""",,"=""""","=""L1923""",
"=""115.143""","=""0.002""","=""115.1430""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""86848.5""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).10p?""","=""2P*""","=""1/2""",,"=""""","=""L1923""",
"=""115.233""","=""0.002""","=""115.2330""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""86780.7""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).10p?""","=""2P*""","=""3/2""",,"=""""","=""L1923""",
"=""115.852""","=""0.002""","=""115.8520""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""86317.0""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).9p?""","=""2P*""","=""1/2""",,"=""""","=""L1923""",
"=""115.993""","=""0.002""","=""115.9930""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""86212.1""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).9p?""","=""2P*""","=""3/2""",,"=""""","=""L1923""",
"=""116.271""","=""0.002""","=""116.2710""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""86006.0""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).21p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""116.317""","=""0.002""","=""116.3169""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85972.0""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).20p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""116.379""","=""0.002""","=""116.3789""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85926.2""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).19p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""116.442""","=""0.002""","=""116.4420""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85879.7""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).18p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""116.524""","=""0.002""","=""116.5240""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85819.2""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).17p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""116.618""","=""0.002""","=""116.6179""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85750.1""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).14f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L1923""",
"=""116.629""","=""0.002""","=""116.6290""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85742.0""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).16p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""116.739""","=""0.002""","=""116.7390""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85661.2""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).13f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L1923""",
"=""116.753""","=""0.002""","=""116.7530""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85650.9""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).15p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""116.895""","=""0.002""","=""116.8949""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""85546.9""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).12f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L1923""",
"=""116.911""","=""0.002""","=""116.9109""","=""0.0021""","=""a""","=""""",,"=""0.000""","=""85535.2""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).14p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""116.964""","=""0.002""","=""116.9640""","=""0.0021""","=""a""","=""""",,"=""0.000""","=""85496.4""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).8p?""","=""2P*""","=""1/2""",,"=""""","=""L1923""",
"=""117.095""","=""0.002""","=""117.0951""","=""0.0021""","=""a""","=""""",,"=""0.000""","=""85400.7""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).11f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L1923""",
"=""117.114""","=""0.002""","=""117.1140""","=""0.0021""","=""a""","=""""",,"=""0.000""","=""85386.9""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).13p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""117.207""","=""0.002""","=""117.2070""","=""0.0021""","=""a""","=""""",,"=""0.000""","=""85319.1""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).8p?""","=""2P*""","=""3/2""",,"=""""","=""L1923""",
"=""117.358""","=""0.002""","=""117.3579""","=""0.0021""","=""a""","=""""",,"=""0.000""","=""85209.4""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).10f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L1923""",
"=""117.399""","=""0.002""","=""117.3990""","=""0.0021""","=""a""","=""""",,"=""0.000""","=""85179.6""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).12p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""117.716""","=""0.002""","=""117.7160""","=""0.0019""","=""a""","=""""",,"=""0.000""","=""84950.2""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).9f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L1923""",
"=""117.770""","=""0.002""","=""117.7700""","=""0.0019""","=""a""","=""""",,"=""0.000""","=""84911.3""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).11p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""117.849""","=""0.002""","=""117.8489""","=""0.0019""","=""a""","=""""",,"=""0.000""","=""84854.4""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).21p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""117.900""","=""0.002""","=""117.9001""","=""0.0019""","=""a""","=""""",,"=""0.000""","=""84817.6""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).20p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""117.960""","=""0.002""","=""117.9600""","=""0.0019""","=""a""","=""""",,"=""0.000""","=""84774.5""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).19p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""118.025""","=""0.002""","=""118.0250""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84727.8""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).18p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""118.110""","=""0.002""","=""118.1101""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84666.8""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).17p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""118.197""","=""0.002""","=""118.1970""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84604.5""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).16p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""118.221""","=""0.002""","=""118.2211""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84587.3""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).8f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L1923""",
"=""118.297""","=""0.002""","=""118.2970""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84533.0""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).10p""","=""*""","=""1/2""",,"=""""","=""L1923""",
"=""118.330""","=""0.002""","=""118.3300""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84509.4""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).13f""","=""*""","=""1/2,3/2""",,"=""""","=""L1923""",
"=""118.349""","=""0.002""","=""118.3489""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84495.9""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).15p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""118.491""","=""0.002""","=""118.4910""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84394.6""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).12f""","=""*""","=""1/2,3/2""",,"=""""","=""L1923""",
"=""118.516""","=""0.002""","=""118.5160""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84376.8""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).14p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""118.695""","=""0.002""","=""118.6949""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84249.6""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).11f""","=""*""","=""1/2,3/2""",,"=""""","=""L1923""",
"=""118.725""","=""0.002""","=""118.7249""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84228.3""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).13p<3/2>""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L1923""",
"=""118.862""","=""0.002""","=""118.8620""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84131.2""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(1D).7p?""","=""2P*""","=""1/2""",,"=""""","=""L1923""",
"=""118.970""","=""0.002""","=""118.9700""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84054.8""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<2>).10f""","=""*""","=""1/2,3/2""",,"=""""","=""L1923""",
"=""118.993""","=""0.002""","=""118.9929""","=""0.0020""","=""a""","=""""",,"=""0.000""","=""84038.6""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s.(3D<1>).7f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L1923""",
