obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
161.5571,0.0005,161.5568,61897.6,3r,,,557.1341,62454.86,4s2.4p2,3P,1,4s2.4p.7d,"(3/2,5/2)*",2,3,5,,,L3476,
162.41300,0.00010,162.4130,61571.43,2r,,,0.0000,61571.41,4s2.4p2,3P,0,4s2.4p.8d,"(1/2,3/2)*",1,1,3,,,L187,
163.0173,0.0005,163.017328,61343.18,2r,,,0.0000,61343.172,4s2.4p2,3P,0,4s2.4p.8s,"(3/2,1/2)*",1,1,3,,,L3476,
163.6312,0.0005,163.6313,61113.04,3r,,,1409.9609,62522.98,4s2.4p2,3P,2,4s2.4p.7d,"(3/2,5/2)*",3,5,7,,,L3476,
163.8958,0.0005,163.8961,61014.38,2,,,557.1341,61571.41,4s2.4p2,3P,1,4s2.4p.8d,"(1/2,3/2)*",1,3,3,,,L3476,
163.97300,0.00010,163.9732,60985.65,4r,,,557.1341,61542.72,4s2.4p2,3P,1,4s2.4p.8d,"(1/2,5/2)*",2,3,5,,,L187,
164.7530,0.0005,164.7531,60696.92,2,,,557.1341,61254.02,4s2.4p2,3P,1,4s2.4p.8s,"(3/2,1/2)*",2,3,5,,,L3476,
165.1527,0.0005,165.152881,60550.02,2,,,0.0000,60549.958,4s2.4p2,3P,0,4s2.4p.6d,"(3/2,3/2)*",1,1,3,,,L3476,
165.1953,0.0005,165.1955,60534.41,4r,,,557.1341,61091.48,4s2.4p2,3P,1,4s2.4p.6d,"(3/2,5/2)*",2,3,5,,,L3476,
166.1344,0.0005,166.134527,60192.23,3,,,557.1341,60749.318,4s2.4p2,3P,1,4s2.4p.9s,"(1/2,1/2)*",1,3,3,,,L3476,
166.35393,0.00010,166.3540,60112.80,4r,,,1409.9609,61522.73,4s2.4p2,3P,2,4s2.4p.8d,"(1/2,5/2)*",3,5,7,,,L187,
166.5275,0.0005,166.527511,60050.14,10h,,,557.1341,60607.272,4s2.4p2,3P,1,4s2.4p.6d,"(3/2,3/2)*",0,3,1,,,L3476,
166.7799,0.0005,166.780150,59959.26,4,,,557.1341,60516.308,4s2.4p2,3P,1,4s2.4p.7d,"(1/2,5/2)*",2,3,5,,,L3476,
167.0606,0.0005,167.0608,59858.52,3r,,,1409.9609,61268.39,4s2.4p2,3P,2,4s2.4p.6d,"(3/2,5/2)*",3,5,7,,,L3476,
169.1092,0.0005,169.108967,59133.39,100r,,,557.1341,59690.604,4s2.4p2,3P,1,4s2.4p.6d,"(1/2,5/2)*",2,3,5,,,L3476,
171.6781,0.0005,171.678447,58248.55,200r,,,1409.9609,59658.391,4s2.4p2,3P,2,4s2.4p.6d,"(1/2,5/2)*",3,5,7,,,L3476,
173.9102,0.0005,173.910243,57500.94,100h,,,557.1341,58058.060,4s2.4p2,3P,1,4s2.4p.5d,1P*,1,3,3,,,L3476,
174.2194,0.0005,174.219512,57398.89,100,,,0.0000,57398.852,4s2.4p2,3P,0,4s2.4p.5d,3P*,1,1,3,,,L3476,
174.60651,0.00010,174.6059,57271.63,50,,,557.1341,57828.98,4s2.4p2,3P,1,4s2.4p.5d,3P*,0,3,1,,,L187,
175.0044,0.0005,175.004321,57141.42,200,,,1409.9609,58551.407,4s2.4p2,3P,2,4s2.4p.5d,*,2,5,5,,,L3476,
175.8279,0.0005,175.827917,56873.80,100,,,557.1341,57430.924,4s2.4p2,3P,1,4s2.4p.5d,3P*,2,3,5,,,L3476,
176.4187,0.0005,176.418521,56683.33,100h,,,1409.9609,58093.352,4s2.4p2,3P,2,4s2.4p.5d,1F*,3,5,7,,,L3476,
176.5284,0.0005,176.528430,56648.11,100h,,,1409.9609,58058.060,4s2.4p2,3P,2,4s2.4p.5d,1P*,1,5,3,,,L3476,
176.64330,0.00010,176.6433,56611.26,50,,,557.1341,57168.39,4s2.4p2,3P,1,4s2.4p.7s,"(1/2,1/2)*",0,3,1,,,L187,
177.4175,0.0005,177.417546,56364.23,200,,,557.1341,56921.345,4s2.4p2,3P,1,4s2.4p.5d,*,2,3,5,,,L3476,
