obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
201.8551,0.0010,,,49540.48,1300,,,,,,,,,,,1,1,,,L16323,
202.3242,0.0010,,,49425.62,2500,,,,,,,,,,,1,1,,,L16323,
203.2334,0.0010,203.23502,0.00008,49204.52,1200,,,0.0000,49204.119,5d2.6s2,a 3F,2,5d3.(b 4F).6p,s 3D*,1,5,3,,,L16323,
204.2796,0.0010,204.28171,0.00005,48952.52,3600,,,0.0000,48952.008,5d2.6s2,a 3F,2,5d3.(b 4P).6p,y 5P*,2,5,5,,,L16323,
204.8497,0.0010,,,48816.29,1200,,,,,,,,,,,1,1,,,L16323,
205.4198,0.0010,,,48680.81,2300,,,,,,,,,,,1,1,,,L16323,
205.5958,0.0010,205.59555,0.00009,48639.13,2300,,,8983.7652,57622.950,5d2.6s2,a 3P,2,,5762*,2,5,5,,,L16323,
205.6818,0.0010,,,48618.78,1200,,,,,,,,,,,1,1,,,L16323,
206.1139,0.0010,,,48516.86,4600,,,,,,,,,,,1,1,,,L16323,
206.6380,0.0010,,,48393.81,1100,,,,,,,,,,,1,1,,,L16323,
206.9251,0.0010,,,48326.68,3400,,,,,,,,,,,1,1,,,L16323,
207.2141,0.0010,207.21442,0.00006,48259.26,3400,,,0.0000,48259.189,5d2.6s2,a 3F,2,5d3.(b 4P).6p,w 5D*,1,5,3,,,L16323,
207.3531,0.0010,207.35293,0.00009,48226.91,2300,,,2356.6756,50583.628,5d2.6s2,a 3F,3,,5058*,3,7,7,,,L16323,
207.6612,0.0010,,,48155.36,3400,,,,,,,,,,,1,1,,,L16323,
207.7142,0.0010,,,48143.07,2200,,,,,,,,,,,1,1,,,L16323,
207.9783,0.0010,207.98016,0.00004,48081.95,1100,,,0.0000,48081.510,5d2.6s2,a 3F,2,,4808*,3,5,7,,,L16323,
208.5254,0.0010,,,47955.80,2200,,,,,,,,,,,1,1,,,L16323,
208.5854,0.0010,,,47942.00,2200,,,,,,,,,,,1,1,,,L16323,
208.8094,0.0010,,,47890.56,3300,,,,,,,,,,,1,1,,,L16323,
