obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
74.4573,0.0025,74.457,0.003,134305.,a,,,0.000,134305,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).20p,2[1/2]*,1,1,3,,,L2725,
74.4810,0.0009,74.4810,0.0009,134262.4,a,,,0.000,134262.4,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).19p,2[1/2]*,1,1,3,,,L400,
74.5308,0.0009,74.5308,0.0009,134172.7,a,,,0.000,134172.7,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).18p,2[1/2]*,1,1,3,,,L400,
74.5834,0.0009,74.5834,0.0009,134078.1,a,,,0.000,134078.1,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).17p,2[1/2]*,1,1,3,,,L400,
74.6533,0.0009,74.6533,0.0009,133952.6,a,,,0.000,133952.6,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).16p,2[1/2]*,1,1,3,,,L400,
74.6543,0.0025,74.6542,0.0022,133951.,a,,,0.000,133951,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).13f,2[3/2]*,1,1,3,,,L2725,
74.7245,0.0009,74.7245,0.0009,133824.9,a,,,0.000,133824.9,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).12f,2[3/2]*,1,1,3,,,L400,
74.7315,0.0009,74.7315,0.0009,133812.4,a,,,0.000,133812.4,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).15p,2[1/2]*,1,1,3,,,L400,
74.8338,0.0009,74.8338,0.0009,133629.5,a,,,0.000,133629.5,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).11f,2[3/2]*,1,1,3,,,L400,
74.8520,0.0009,74.8520,0.0009,133597.0,a,,,0.000,133597.0,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).14p,2[1/2]*,1,1,3,,,L400,
74.9814,0.0009,74.9814,0.0009,133366.4,a,,,0.000,133366.4,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).10f,2[3/2]*,1,1,3,,,L400,
74.9960,0.0025,74.9963,0.0022,133340.,a,,,0.000,133340,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).13p,2[3/2]*,1,1,3,,,L2725,
75.0040,0.0009,75.0040,0.0009,133326.2,a,,,0.000,133326.2,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).13p,2[1/2]*,1,1,3,,,L400,
75.1788,0.0009,75.1788,0.0009,133016.2,a,,,0.000,133016.2,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).9f,2[3/2]*,1,1,3,,,L400,
75.2070,0.0025,75.2072,0.0023,132966.,a,,,0.000,132966,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).12p,2[3/2]*,1,1,3,,,L2725,
75.2272,0.0009,75.2272,0.0009,132930.6,a,,,0.000,132930.6,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).12p,2[1/2]*,1,1,3,,,L400,
75.4788,0.0009,75.4788,0.0009,132487.5,a,,,0.000,132487.5,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).8f,2[3/2]*,1,1,3,,,L400,
75.5368,0.0025,75.5367,0.0023,132386.,a,,,0.000,132386,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).11p,2[3/2]*,1,1,3,,,L2725,
75.5523,0.0009,75.5523,0.0009,132358.6,a,,,0.000,132358.6,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).11p,2[1/2]*,1,1,3,,,L400,
75.9537,0.0009,75.9537,0.0009,131659.2,a,,,0.000,131659.2,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).7f,2[3/2]*,1,1,3,,,L400,
76.0302,0.0009,76.0302,0.0009,131526.7,a,,,0.000,131526.7,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).10p,2[3/2]*,1,1,3,,,L400,
76.0724,0.0009,76.0724,0.0009,131453.7,a,,,0.000,131453.7,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).10p,2[1/2]*,1,1,3,,,L400,
76.7527,0.0009,76.7527,0.0009,130288.6,a,,,0.000,130288.6,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).6f,2[3/2]*,1,1,3,,,L400,
76.8951,0.0009,76.8951,0.0009,130047.3,a,,,0.000,130047.3,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).9p,2[3/2]*,1,1,3,,,L400,
76.967,0.005,76.967,0.005,129926.,a,,,0.000,129926,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).9p,2[1/2]*,1,1,3,,,L400,
78.264,0.005,78.264,0.005,127773.,a,,,0.000,127773,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).5f,2[3/2]*,1,1,3,,,L400,
78.5840,0.0009,78.5840,0.0009,127252.4,a,,,0.000,127252.4,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).8p,2[3/2]*,1,1,3,,,L400,
78.757,0.007,78.757,0.007,126973.,10h,,,0.000,126973,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).8p,2[1/2]*,1,1,3,,,L15166c86,
82.844,0.005,82.844,0.005,120709.,a,,,0.000,120709,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).7p,2[3/2]*,1,1,3,,,L400,
83.366,0.007,83.366,0.007,119953.,"20h,s",,,0.000,119953,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).7p,2[1/2]*,1,1,3,,,L15166c86,
83.8422,0.0009,83.8422,0.0009,119271.7,a,,,0.000,119271.7,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).20p,2[3/2]*,1,1,3,,,L400,
83.8870,0.0009,83.8870,0.0009,119208.0,a,,,0.000,119208.0,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).19p,2[3/2]*,1,1,3,,,L400,
83.9371,0.0009,83.9371,0.0009,119136.8,a,,,0.000,119136.8,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).18p,2[3/2]*,1,1,3,,,L400,
84.0071,0.0009,84.0071,0.0009,119037.6,a,,,0.000,119037.6,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).17p,2[3/2]*,1,1,3,,,L400,
84.0827,0.0025,84.082,0.003,118931.,a*,,,0.000,118931.2,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).13f,2[1/2]*,1,1,3,,,L2725,
84.0827,0.0025,84.083,0.003,118931.,a*,,,0.000,118930.3,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).13f,2[3/2]*,1,1,3,,,L2725,
84.0960,0.0009,84.0960,0.0009,118911.7,a,,,0.000,118911.7,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).16p,2[3/2]*,1,1,3,,,L400,
84.1877,0.0009,84.1871,0.0009,118782.2,a*,,,0.000,118783.1,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).12f,2[1/2]*,1,1,3,,,L400,
