obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
164.800,164.88,0.10,60680,2h,,,0.000,60652,5s2.5p,2P*,1/2,5s.5p2,2P,3/2,2,4,,,L611,
167.616,167.62,0.10,59660,1w,,,0.000,59657,5s2.5p,2P*,1/2,5s.5p2,2P,1/2,2,2,,,L611,
171.154,171.12,0.10,58427,5w,,,2212.599,60652,5s2.5p,2P*,3/2,5s.5p2,2P,3/2,4,4,,,L611,
174.123,174.08,0.10,57431,2w,,,2212.599,59657,5s2.5p,2P*,3/2,5s.5p2,2P,1/2,4,2,,,L611,
175.849,,,56867,1w,,,,,,,,,,,1,1,,,L611,
218.058,218.0583,0.0010,45859.3,2,,,0.000,45859.30,5s2.5p,2P*,1/2,5s2.14d,2D,3/2,2,4,,,L3547,
218.308,218.3078,0.0010,45806.8,2,,,0.000,45806.88,5s2.5p,2P*,1/2,5s2.15s,2S,1/2,2,2,,,L3547,
218.808,218.8084,0.0010,45702.1,2,,,0.000,45702.08,5s2.5p,2P*,1/2,5s2.13d,2D,3/2,2,4,,,L3547,
219.152,219.1520,0.0010,45630.3,2,,,0.000,45630.44,5s2.5p,2P*,1/2,5s2.14s,2S,1/2,2,2,,,L3547,
219.8093,219.8093,0.0010,45493.97,2,,,0.000,45493.98,5s2.5p,2P*,1/2,5s2.12d,2D,3/2,2,4,,,L3547,
220.2927,220.2928,0.0010,45394.14,2,,,0.000,45394.13,5s2.5p,2P*,1/2,5s2.13s,2S,1/2,2,2,,,L3547,
221.1826,221.1826,0.0010,45211.51,3,,,0.000,45211.51,5s2.5p,2P*,1/2,5s2.11d,2D,3/2,2,4,,,L3547,
223.1392,223.1393,0.0010,44815.07,5,,,0.000,44815.06,5s2.5p,2P*,1/2,5s2.10d,2D,3/2,2,4,,,L3547,
224.2360,224.2361,0.0010,44595.88,3,1.14e+06,C+,0.000,44595.86,5s2.5p,2P*,1/2,5s2.11s,2S,1/2,2,2,,T7227,L3547,
226.0691,226.0669,0.0010,44234.27,10,,,0.000,44234.70,5s2.5p,2P*,1/2,5s2.9d,2D,3/2,2,4,,,L3547,
227.8900,227.8877,0.0010,43880.83,5,1.81e+06,C+,0.000,43881.26,5s2.5p,2P*,1/2,5s2.10s,2S,1/2,2,2,,T7227,L3547,
228.445,228.46633,0.00010,43774.1,2,,,2212.599,45982.725,5s2.5p,2P*,3/2,5s2.15d,2D,5/2,4,6,,,L3547,
229.904,229.9040,0.0010,43496.5,2,,,2212.599,45709.02,5s2.5p,2P*,3/2,5s2.13d,2D,5/2,4,6,,,L3547,
229.941,229.9407,0.0010,43489.5,2,,,2212.599,45702.08,5s2.5p,2P*,3/2,5s2.13d,2D,3/2,4,4,,,L3547,
230.320,230.3201,0.0010,43417.9,2,,,2212.599,45630.44,5s2.5p,2P*,3/2,5s2.14s,2S,1/2,4,2,,,L3547,
230.757,230.75540,0.00010,43335.6,25,1.41e+05,C+,0.000,43335.93,5s2.5p,2P*,1/2,5s2.8d,2D,3/2,2,4,,T7227,L3547,
231.003,231.0032,0.0010,43289.5,3,,,2212.599,45502.04,5s2.5p,2P*,3/2,5s2.12d,2D,5/2,4,6,,,L3547,
231.046,231.0462,0.0010,43281.4,2,,,2212.599,45493.98,5s2.5p,2P*,3/2,5s2.12d,2D,3/2,4,4,,,L3547,
231.580,231.5805,0.0010,43181.6,2,,,2212.599,45394.13,5s2.5p,2P*,3/2,5s2.13s,2S,1/2,4,2,,,L3547,
232.5121,232.5123,0.0010,43008.52,5,,,2212.599,45221.08,5s2.5p,2P*,3/2,5s2.11d,2D,5/2,4,6,,,L3547,
232.5638,232.5640,0.0010,42998.96,3,,,2212.599,45211.51,5s2.5p,2P*,3/2,5s2.11d,2D,3/2,4,4,,,L3547,
233.3471,233.3472,0.0010,42854.62,3,,,2212.599,45067.19,5s2.5p,2P*,3/2,5s2.12s,2S,1/2,4,2,,,L3547,
234.0903,234.0878,0.0010,42718.55,10,3.04e+06,C+,0.000,42719.02,5s2.5p,2P*,1/2,5s2.9s,2S,1/2,2,2,,T7227,L3547,
234.6621,234.6623,0.0010,42614.46,8,,,2212.599,44827.02,5s2.5p,2P*,3/2,5s2.10d,2D,5/2,4,6,,,L3547,
234.7280,234.7282,0.0010,42602.51,5,,,2212.599,44815.06,5s2.5p,2P*,3/2,5s2.10d,2D,3/2,4,4,,,L3547,
235.9419,235.9422,0.0010,42383.31,5,2.01e+06,C+,2212.599,44595.86,5s2.5p,2P*,3/2,5s2.11s,2S,1/2,4,2,,T7227,L3547,
237.8867,237.8847,0.0010,42036.82,15,,,2212.599,44249.77,5s2.5p,2P*,3/2,5s2.9d,2D,5/2,4,6,,,L3547,
237.9722,237.9700,0.0010,42021.72,10,,,2212.599,44234.70,5s2.5p,2P*,3/2,5s2.9d,2D,3/2,4,4,,,L3547,
239.0271,239.0262,0.0010,41836.26,40,2.99e+06,C+,0.000,41836.41,5s2.5p,2P*,1/2,5s2.7d,2D,3/2,2,4,,T7227,L3547,
239.9907,239.9885,0.0010,41668.27,10,3.22e+06,C+,2212.599,43881.26,5s2.5p,2P*,3/2,5s2.10s,2S,1/2,4,2,,T7227,L3547,
243.0601,243.05778,0.00010,41142.08,20,7.83e+05,C+,2212.599,43355.08,5s2.5p,2P*,3/2,5s2.8d,2D,5/2,4,6,,T7227,L3547,
243.1724,243.17096,0.00010,41123.09,10,,,2212.599,43335.93,5s2.5p,2P*,3/2,5s2.8d,2D,3/2,4,4,,,L3547,
246.0823,246.08128,0.00010,40636.81,60,5.51e+06,C+,0.000,40636.98,5s2.5p,2P*,1/2,5s2.8s,2S,1/2,2,2,,T7227,L3547,
246.8769,246.8744,0.0010,40506.01,30w,5.21e+06,C+,2212.599,42719.02,5s2.5p,2P*,3/2,5s2.9s,2S,1/2,4,2,,T7227,L3547,
252.2130,252.2109,0.0010,39649.03,100,5.33e+06,C+,2212.599,41861.96,5s2.5p,2P*,3/2,5s2.7d,2D,5/2,4,6,,T7227,L3547,
252.3744,252.3735,0.0010,39623.67,10,1.27e+06,C+,2212.599,41836.41,5s2.5p,2P*,3/2,5s2.7d,2D,3/2,4,4,,T7227,L3547,
256.0918,256.09159,0.00010,39048.50,1100,1.97e+07,B,0.000,39048.53,5s2.5p,2P*,1/2,5s2.6d,2D,3/2,2,4,,T7227,L3547,
260.2534,260.25143,0.00010,38424.10,200,9.85e+06,C+,2212.599,40636.98,5s2.5p,2P*,3/2,5s2.8s,2S,1/2,4,2,,T7227,L3547,
271.1068,271.10718,0.00010,36885.83,1600,2.72e+07,B,2212.599,39098.38,5s2.5p,2P*,3/2,5s2.6d,2D,5/2,4,6,,T7227,L3547,
271.4740,271.47407,0.00010,36835.94,300,4.63e+06,C+,2212.599,39048.53,5s2.5p,2P*,3/2,5s2.6d,2D,3/2,4,4,,T7227,L3547,
275.4692,275.46795,0.00010,36301.70,700,1.30e+07,B,0.000,36301.864,5s2.5p,2P*,1/2,5s2.7s,2S,1/2,2,2,,T7227,L3547,
277.6175,277.617531,0.000010,36020.78,40,2.60e+05,C+,0.000,36020.780,5s2.5p,2P*,1/2,5s.5p2,4P,3/2,2,4,,T7227,L3547,
283.7737,283.77357,0.00010,35239.34,180c,1.45e+05,C+,2212.599,37451.962,5s2.5p,2P*,3/2,5s.5p2,4P,5/2,4,6,,T7227,L3547,
285.8970,285.896622,0.000010,34977.64,30c,6.53e+05,C+,0.000,34977.678,5s2.5p,2P*,1/2,5s.5p2,4P,1/2,2,2,,T7227,L3547,
293.3488,293.34748,0.00010,34089.11,1100,2.29e+07,B,2212.599,36301.864,5s2.5p,2P*,3/2,5s2.7s,2S,1/2,4,2,,T7227,L3547,
295.7859,295.78640,0.00010,33808.24,20c,3.43e+05,C+,2212.599,36020.780,5s2.5p,2P*,3/2,5s.5p2,4P,3/2,4,4,,T7227,L3547,
304.0230,304.02317,0.00010,32892.24,8000,1.11e+08,B+,0.000,32892.230,5s2.5p,2P*,1/2,5s2.5d,2D,3/2,2,4,,T7227,L4218,
305.2026,305.20299,0.00010,32765.12,8c,,,2212.599,34977.678,5s2.5p,2P*,3/2,5s.5p2,4P,1/2,4,2,,,L3547,
325.7018,325.70171,0.00010,30702.93,13000,1.30e+08,B+,2212.599,32915.539,5s2.5p,2P*,3/2,5s2.5d,2D,5/2,4,6,,T7227,L4218,
