obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
201.130,201.1297+,49719.1,9900,,,0.00,49719.17,5d7.6s2,a 4F,9/2,,4971*,11/2,10,12,,,L3475,
202.300,202.3010+,49431.5,8700,,,2834.98,52266.28,5d8.(3F).6s,b 4F,9/2,,5226*,11/2,10,12,,,L3475,
203.422,203.4232+,49158.8,15000,,,0.00,49158.61,5d7.6s2,a 4F,9/2,,4915*,9/2,10,10,,,L3475,
205.288,205.2881+,48712.1,6200,,,6323.91,55035.94,5d7.6s2,a 4F,7/2,,5503*,9/2,8,10,,,L3475,
206.130,206.1313+,48513.1,5000,,,7106.61,55619.39,5d8.(3F).6s,b 4F,7/2,,5561*,7/2,8,8,,,L3475,
208.388,208.3906+,47987.3,3700*,,,13087.90,61074.71,5d8.(3F).6s,a 2F,7/2,,6107*,7/2,8,8,,,L3475,
208.388,208.3886+,47987.3,3700*,,,5784.62,53771.90,5d7.6s2,a 4F,5/2,,5377*,7/2,6,8,,,L3475,
208.640,208.6405+,47929.4,3100,,,7106.61,55035.94,5d8.(3F).6s,b 4F,7/2,,5503*,9/2,8,10,,,L3475,
208.948,208.9494+,47858.7,17000,,,0.00,47858.47,5d7.6s2,a 4F,9/2,,4785*,11/2,10,12,,,L3475,
209.330,209.3303+,47771.6,14000,,,2834.98,50606.38,5d8.(3F).6s,b 4F,9/2,,5060*,11/2,10,12,,,L3475,
211.335,211.3354+,47318.3,2700,,,6323.91,53642.06,5d7.6s2,a 4F,7/2,,5364*,9/2,8,10,,,L3475,
212.021,212.0211+,47165.1,1800*,,,0.00,47165.12,5d7.6s2,a 4F,9/2,,4716*,7/2,10,8,,,L3475,
212.021,212.0205+,47165.1,1800*,,,9877.54,57042.80,5d8.(3F).6s,b 4F,5/2,,5704*,7/2,6,8,,,L3475,
212.611,212.6112+,47034.2,2000,,,7106.61,54140.83,5d8.(3F).6s,b 4F,7/2,,5414*,7/2,8,8,,,L3475,
212.819,212.8178+,46988.2,2000,,,2834.98,49823.54,5d8.(3F).6s,b 4F,9/2,,4982*,7/2,10,8,,,L3475,
212.861,212.8610+,46979.0,4500,,,0.00,46979.02,5d7.6s2,a 4F,9/2,,4697*,7/2,10,8,,,L3475,
214.890,214.8899+,46535.5,3700,,,7106.61,53642.06,5d8.(3F).6s,b 4F,7/2,,5364*,9/2,8,10,,,L3475,
215.122,215.1223+,46485.3,2500,,,4078.94,50564.12,5d7.6s2,a 4F,3/2,,5056*,3/2,4,4,,,L3475,
215.649,215.6490+,46371.7,2900,,,0.00,46371.64,5d7.6s2,a 4F,9/2,,4637*,9/2,10,10,,,L3475,
215.873,215.8725+,46323.6,7900,,,2834.98,49158.61,5d8.(3F).6s,b 4F,9/2,,4915*,9/2,10,10,,,L3475,
