obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
272.639,272.6398+,36678.6,55,,,1053.164,37731.59,5d.6s2,2D,5/2,,*,5/2,6,6,,,L3475,
321.674,321.6739+,31087.4,35,2.6e+07,C+,1053.164,32140.55,5d.6s2,2D,5/2,,*,7/2,6,8,,T9460,L3475,
334.319,334.3191+,29911.5,95,5.4e+07,B,1053.164,30964.71,5d.6s2,2D,5/2,,*,7/2,6,8,,T9460,L3475,
,338.9580+,29502.18,,1.01e+07,C+,0.000,29502.18&dagger;,5d.6s2,2D,3/2,4f.5d.(3D*).6s,*,5/2,4,6,,T9460,,
,340.5496+,29364.30,,1.4e+07,B,1053.164,30417.46&dagger;,5d.6s2,2D,5/2,4f.5d.(3P*).6s,4P*,3/2,6,4,,T9460,,
346.217,346.2175+,28883.6,65,1.96e+07,C+,1053.164,29936.74&dagger;,5d.6s2,2D,5/2,4f.5d.(3P*).6s,*,3/2,6,4,,T9460,L3475,
351.507,351.5060+,28448.9,45,1.75e+07,C+,1053.164,29502.18&dagger;,5d.6s2,2D,5/2,4f.5d.(3D*).6s,*,5/2,6,6,,T9460,L3475,
357.545,357.5446+,27968.5,200,9.5e+07,B+,0.000,27968.54,5d.6s2,2D,3/2,4f.5d.(3D*).6s,*,3/2,4,4,,T9460,L3475,
361.411,361.4105+,27669.3,75,1.57e+07,B,0.000,27669.37,5d.6s2,2D,3/2,4f.5d.(3F*).6s,2F*,5/2,4,6,,T9460,L3475,
363.771,363.7698+,27489.8,35,7.2e+06,B,1053.164,28543.08,5d.6s2,2D,5/2,4f.5d.(3F*).6s,2F*,7/2,6,8,,T9460,L3475,
364.257,364.2557+,27453.2,170u,9.1e+07,B+,1053.164,28506.41,5d.6s2,2D,5/2,5d.6s.(3D).6p,*,5/2,6,6,,T9460,L3475,
365.057,365.0562+,27393.0,90,1.88e+07,B,0.000,27393.04,5d.6s2,2D,3/2,5d2.(1D).6p,*,5/2,4,6,,T9460,L3475,
367.307,367.3060+,27225.2,17,1.26e+07,C+,0.000,27225.26,5d.6s2,2D,3/2,5d2.(3P).6p,2P*,3/2,4,4,,T9460,L3475,
,370.0603+,27022.62,,2.29e+06,B,0.000,27022.62,5d.6s2,2D,3/2,4f.5d.(3G*).6s,4G*,5/2,4,6,,T9460,,
370.559,370.5586+,26986.2,120,2.08e+07,B,1053.164,28039.45,5d.6s2,2D,5/2,5d.6s.(1D).6p,*,7/2,6,8,,T9460,L3475,
,371.5348+,26915.38,,5.9e+06,B,1053.164,27968.54,5d.6s2,2D,5/2,4f.5d.(3D*).6s,*,3/2,6,4,,T9460,,
,379.6525+,26339.88,,4.7e+06,B,1053.164,27393.04,5d.6s2,2D,5/2,5d2.(1D).6p,*,5/2,6,6,,T9460,,
,382.0863+,26172.10,,1.28e+06,C+,1053.164,27225.26,5d.6s2,2D,5/2,5d2.(3P).6p,2P*,3/2,6,4,,T9460,,
,383.4462+,26079.28,,1.9e+06,D+,1053.164,27132.44,5d.6s2,2D,5/2,5d2.(1G).6p,2G*,7/2,6,8,,T9460,,
,385.3517+,25950.32,,3.0e+06,C,0.000,25950.32,5d.6s2,2D,3/2,5d2.(3P).6p,*,3/2,4,4,,T9460,,
,387.9979+,25773.34,,8.2e+06,C+,4121.572,29894.91,5d2.(3F).6s,4F,9/2,4f.5d.(3D*).6s,*,7/2,10,8,,T9460,,
389.970,389.9700+,25643.0,50,9.5e+06,B,0.000,25643.00,5d.6s2,2D,3/2,5d2.(3P).6p,4P*,3/2,4,4,,T9460,L3475,
390.369,390.3665+,25616.8,35,1.24e+07,B,0.000,25616.95,5d.6s2,2D,3/2,5d2.(3P).6p,4P*,1/2,4,2,,T9460,L3475,
392.867,392.8663+,25453.9,160,9.3e+07,B+,0.000,25453.95,5d.6s2,2D,3/2,5d.6s.(3D).6p,*,1/2,4,2,,T9460,L3475,
395.480,395.4794+,25285.7,40,9.8e+06,C+,1053.164,26338.93,5d.6s2,2D,5/2,5d2.(3P).6p,4P*,5/2,6,6,,T9460,L3475,
,399.5294+,25029.45,,3.4e+06,B,3010.002,28039.45,5d2.(3F).6s,4F,5/2,5d.6s.(1D).6p,*,7/2,6,8,,T9460,,
,400.2515+,24984.29,,1.13e+06,C+,0.000,24984.29,5d.6s2,2D,3/2,5d2.(3P).6p?,*,5/2,4,6,,T9460,,
401.652,401.6523+,24897.1,180,6.5e+07,B+,1053.164,25950.32,5d.6s2,2D,5/2,5d2.(3P).6p,*,3/2,6,4,,T9460,L3475,
403.835,403.8348+,24762.6,140,3.86e+07,B+,0.000,24762.60,5d.6s2,2D,3/2,5d2.(3P).6p?,2D*?,3/2,4,4,,T9460,L3475,
406.148,406.1463+,24621.6,220,5.6e+07,B+,4121.572,28743.24,5d2.(3F).6s,4F,9/2,4f.5d.(3G*).6s,4G*,11/2,10,12,,T9460,L3475,
406.594,406.5926+,24594.6,160,4.32e+07,B+,3494.526,28089.17,5d2.(3F).6s,4F,7/2,4f.5d.(3G*).6s,4G*,9/2,8,10,,T9460,L3475,
406.673,406.6721+,24589.8,60,2.38e+07,B+,1053.164,25643.00,5d.6s2,2D,5/2,5d2.(3P).6p,4P*,3/2,6,4,,T9460,L3475,
408.033,408.0322+,24507.8,120,1.85e+07,B+,0.000,24507.87&dagger;,5d.6s2,2D,3/2,4f.5d.(3F*).6s,4F*,5/2,4,6,,T9460,L3475,
,408.8205+,24460.61,,5.3e+06,D+,7679.939,32140.55,5d2.(3P).6s,4P,5/2,,*,7/2,6,8,,T9460,,
409.076,409.0765+,24445.3,180,4.2e+07,B+,3010.002,27455.31,5d2.(3F).6s,4F,5/2,4f.5d.(3G*).6s,4G*,7/2,6,8,,T9460,L3475,
410.603,410.6029+,24354.4,110,4.12e+07,B+,2668.188,27022.62,5d2.(3F).6s,4F,3/2,4f.5d.(3G*).6s,4G*,5/2,4,6,,T9460,L3475,
,411.0641+,24327.11,,3.8e+06,C+,1053.164,25380.27,5d.6s2,2D,5/2,4f.5d.(3F*).6s,4F*,7/2,6,8,,T9460,,
