obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
,18.06,554000,"g,a",,,0.000,553710,2p6.3s2,1S,0,2p5.(2P*).3p2.(1S) (2P*<1/2>).4s?,*,1,1,3,,,L4561,
18.10,18.10,552000,"g,a",,,0.000,552490,2p6.3s2,1S,0,2p5.(2P*).3p2.(1S) (2P*<3/2>).4s?,*,1,1,3,,,L4561,
18.206,18.206,549300,"g,a",,,0.000,549270,2p6.3s2,1S,0,2p5.(2P*).3s.3d.(3D) (2P*<1/2>).5d?,*,1,1,3,,,L4561,
18.27,18.27,547000,"g,a",,,0.000,547350,2p6.3s2,1S,0,2p5.(2P*).3p2.(3P) (2P*).3d?,*,1,1,3,,,L4561,
18.303,18.303,546400,"g,a",,,0.000,546360,2p6.3s2,1S,0,2p5.(2P*).3s.3d.(3D) (2P*<1/2>).4d?,*,1,1,3,,,L4561,
18.315,18.313,546000,"g,a",,,0.000,546060,2p6.3s2,1S,0,2p5.(2P*).3s.3d.(3D) (2P*<3/2>).4d?,*,1,1,3,,,L4561,
18.353,18.353,544900,"g,a",,,0.000,544870,2p6.3s2,1S,0,2p5.(2P*).3s.3d.(3D) (2P*<3/2>).4d?,*,1,1,3,,,L4561,
18.595,18.595,537800,"g,a",,,0.000,537780,2p6.3s2,1S,0,2p5.(2P*).3s.3d2?,*,1,1,3,,,L4561,
18.74,18.74,534000,"g,a",,,0.000,533600,2p6.3s2,1S,0,2p5.(2P*).3p2.(3P) (2P*).4s?,*,1,1,3,,,L4561,
18.768,18.768,532800,"g,a",,,0.000,532820,2p6.3s2,1S,0,,*,1,1,3,,,L4561,
18.875,18.875,529800,"g,a",,,0.000,529800,2p6.3s2,1S,0,,*,1,1,3,,,L4561,
18.993,18.993,526500,"g,a",,,0.000,526510,2p6.3s2,1S,0,,*,1,1,3,,,L4561,
19.407,19.407,515300,"g,a",,,0.000,515280,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(1P*) (2S<1/2>).5p?,*,1,1,3,,,L4561,
19.466,19.466,513700,"g,a",,,0.000,513720,2p6.3s2,1S,0,2p5.(2P*).3p2.(1D) (2P*<3/2>).4s?,*,1,1,3,,,L4561,
19.68,19.68,508000,"g,a",,,0.000,508130,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(1P*) (2S<1/2>).4p?,*,1,1,3,,,L4561,
19.805,19.805,504900,"g,a",,,0.000,504920,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).9p?,*,1,1,3,,,L4561,
19.826,19.826,504400,"g,a",,,0.000,504390,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).8p?,*,1,1,3,,,L4561,
19.863,19.863,503400,"g,a",,,0.000,503450,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).7p?,*,1,1,3,,,L4561,
19.926,19.926,501900,"g,a",,,0.000,501860,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).6p?,*,1,1,3,,,L4561,
20.043,20.043,498930,"g,a",,,0.000,498930,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).5p?,*,1,1,3,,,L4561,
20.188,20.188,495340,"g,a",,,0.000,495340,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2P<3/2>).5p?,*,1,1,3,,,L4561,
20.242,20.242,494020,"g,a",,,0.000,494020,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*).4p?,*,1,1,3,,,L4561,
20.275,20.275,493220,"g,a",,,0.000,493220,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).4p?,*,1,1,3,,,L4561,
20.329,20.329,491910,"g,a",,,0.000,491910,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).4p?,*,1,1,3,,,L4561,
20.434,20.434,489380,"g,a",,,0.000,489380,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2P<3/2>).4p?,*,1,1,3,,,L4561,
21.000,21.000,476190,"g,a",,,0.000,476190,2p6.3s2,1S,0,2p5.(2P*).3s.3p2.(2P),1P*,1,1,3,,,L4561,
21.352,21.352,468340,"g,a",,,0.000,468340,2p6.3s2,1S,0,2p5.(2P*).3s.3p2.(2S),1P*,1,1,3,,,L4561,
21.5311,21.5299,464444,"g,a",,,0.000,464470,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.8d?,2[3/2]*?,1,1,3,,,L1184,
21.5447,21.5448,464151,"g,a",,,0.000,464150,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.9s<1/2>?,"(1/2,1/2)*?",1,1,3,,,L1184,
21.6202,21.6202,462530,"g,a",,,0.000,462530,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.6d,2[3/2]*,1,1,3,,,L1184,
21.6357,21.6371,462199,"g,a",,,0.000,462170,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.7s<1/2>,"(1/2,1/2)*",1,1,3,,,L1184,
21.6688,21.6694,461493,"g,a",,,0.000,461480,2p6.3s2,1S,0,2p5.(2P*<3/2>).3s2.7d,2[3/2]*,1,1,3,,,L1184,
21.7208,21.7212,460388,*,,,0.000,460380,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.5d,2[3/2]*,1,1,3,,,L1184,
21.7208,21.7212,460388,"g,a*",,,0.000,460380,2p6.3s2,1S,0,2p5.(2P*<3/2>).3s2.6d,2[3/2]*,1,1,3,,,L1184,
21.737,21.7368,460050,"g,a",,,0.000,460050,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.6s<1/2>,"(1/2,1/2)*",1,1,3,,,L2781,
21.8222,21.8221,458249,"g,a*",,,0.000,458250,2p6.3s2,1S,0,2p5.(2P*<3/2>).3s2.5d,2[1/2]*,1,1,3,,,L1184,
21.8222,21.8221,458249,"g,a*",,,0.000,458250,2p6.3s2,1S,0,2p5.(2P*<3/2>).3s2.5d,2[3/2]*,1,1,3,,,L1184,
21.837,21.8369,457940,"g,a",,,0.000,457940,2p6.3s2,1S,0,2p5.(2P*<3/2>).3s2.6s<1/2>,"(3/2,1/2)*",1,1,3,,,L4561,
21.9041,21.9039,456536,"g,a",,,0.000,456540,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.4d,2[3/2]*,1,1,3,,,L1184,
21.9266,21.9269,456067,"g,a",,,0.000,456060,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.5s<1/2>,"(1/2,1/2)*",1,1,3,,,L1184,
22.0056,22.0056,454430,"g,a",,,0.000,454430,2p6.3s2,1S,0,2p5.(2P*<3/2>).3s2.4d,2[3/2]*?,1,1,3,,,L1184,
22.0298,22.0308,453931,"g,a",,,0.000,453910,2p6.3s2,1S,0,2p5.(2P*<3/2>).3s2.5s<1/2>,"(3/2,1/2)*",1,1,3,,,L1184,
22.2044,22.2040,450361,"g,a",,,0.000,450370,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.3d,2[3/2]*,1,1,3,,,L1184,
