obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
199.606,,50099,9700,,,,,,,,,,,1,1,,,L3475,
199.951,,50012.3,14000,,,,,,,,,,,1,1,,,L3475,
200.450,,49887.8,18000,,,,,,,,,,,1,1,,,L3475,
209.283,,47782.3,1500,,,,,,,,,,,1,1,,,L3475,
211.025,,47387.8,1700,,,,,,,,,,,1,1,,,L3475,
220.950,,45259.1,290,,,,,,,,,,,1,1,,,L3475,
221.454,,45156.1,540,,,,,,,,,,,1,1,,,L3475,
222.253,,44993.7,770,,,,,,,,,,,1,1,,,L3475,
253.382,,39466.1,75,,,,,,,,,,,1,1,,,L3475,
257.353,,38857.1,580,,,,,,,,,,,1,1,,,L3475,
257.628,,38815.6,480,,,,,,,,,,,1,1,,,L3475,
258.508,,38683.5,550,,,,,,,,,,,1,1,,,L3475,
259.372,,38554.7,250,,,,,,,,,,,1,1,,,L3475,
259.654,,38512.8,250,,,,,,,,,,,1,1,,,L3475,
260.292,,38418.4,40,,,,,,,,,,,1,1,,,L3475,
262.368,,38114.4,140,,,,,,,,,,,1,1,,,L3475,
262.482,,38097.8,150,,,,,,,,,,,1,1,,,L3475,
262.742,,38060.1,95,,,,,,,,,,,1,1,,,L3475,
263.104,,38007.7,30,,,,,,,,,,,1,1,,,L3475,
263.135,,38003.2,60,,,,,,,,,,,1,1,,,L3475,
266.779,,37484.2,45,,,,,,,,,,,1,1,,,L3475,
267.713,,37353.5,30,,,,,,,,,,,1,1,,,L3475,
268.252,,37278.4,40,,,,,,,,,,,1,1,,,L3475,
268.382,,37260.4,45,,,,,,,,,,,1,1,,,L3475,
268.455,,37250.2,23,,,,,,,,,,,1,1,,,L3475,
269.346,,37127.0,85,,,,,,,,,,,1,1,,,L3475,
273.967,,36500.7,30,,,,,,,,,,,1,1,,,L3475,
276.175,,36209.0,45w,,,,,,,,,,,1,1,,,L3475,
277.226,,36071.7,30,,,,,,,,,,,1,1,,,L3475,
277.705,,36009.4,30w,,,,,,,,,,,1,1,,,L3475,
278.082,,35960.6,30,,,,,,,,,,,1,1,,,L3475,
279.002,,35842.0,55,,,,,,,,,,,1,1,,,L3475,
279.118,,35827.1,60,,,,,,,,,,,1,1,,,L3475,
279.190,,35817.9,60,,,,,,,,,,,1,1,,,L3475,
279.564,279.5641,35769.9,6200,3.7e+08,C,0.00,35769.97,3d5.4s2,a 6S,5/2,3d5.(6S).4s.4p.(1P*),y 6P*,7/2,6,8,,T474,L3475,
279.909,279.9094,35725.8,5100,3.6e+08,C,0.00,35725.85,3d5.4s2,a 6S,5/2,3d5.(6S).4s.4p.(1P*),y 6P*,5/2,6,6,,T474,L3475,
280.067,,35705.8,220,,,,,,,,,,,1,1,,,L3475,
280.189,280.1907,35690.3,3700,3.7e+08,C,0.00,35689.98,3d5.4s2,a 6S,5/2,3d5.(6S).4s.4p.(1P*),y 6P*,3/2,6,4,,T474,L3475,
280.493,,35651.6,70,,,,,,,,,,,1,1,,,L3475,
280.697,,35625.6,60,,,,,,,,,,,1,1,,,L3475,
280.885,,35601.8,55,,,,,,,,,,,1,1,,,L3475,
280.994,,35588.0,110,,,,,,,,,,,1,1,,,L3475,
281.367,,35540.8,60,,,,,,,,,,,1,1,,,L3475,
281.430,,35532.8,70,,,,,,,,,,,1,1,,,L3475,
281.880,,35476.1,85,,,,,,,,,,,1,1,,,L3475,
281.960,,35466.0,40,,,,,,,,,,,1,1,,,L3475,
282.228,,35432.3,55,,,,,,,,,,,1,1,,,L3475,
282.338,,35418.5,55,,,,,,,,,,,1,1,,,L3475,
283.162,,35315.4,80,,,,,,,,,,,1,1,,,L3475,
283.714,,35246.7,27,,,,,,,,,,,1,1,,,L3475,
288.375,,34677.1,40,,,,,,,,,,,1,1,,,L3475,
290.807,,34387.0,40,,,,,,,,,,,1,1,,,L3475,
291.545,,34300.0,140w,,,,,,,,,,,1,1,,,L3475,
292.643,,34171.4,190w,,,,,,,,,,,1,1,,,L3475,
292.954,,34135.1,27,,,,,,,,,,,1,1,,,L3475,
293.488,,34073.0,27,,,,,,,,,,,1,1,,,L3475,
294.125,,33999.2,250w,,,,,,,,,,,1,1,,,L3475,
294.134,,33998.1,,,,,,,,,,,,1,1,,,L3475,
294.190,,33991.6,60,,,,,,,,,,,1,1,,,L3475,
300.854,300.8527,33238.8,40,1.8e+07,E,25281.04,58519.90,3d5.4s2,a 4G,5/2,3d6.(3H).4p,y 4H*,7/2,6,8,,T1117,L3475,
301.204,301.2040,33200.1,40,1.1e+07,E,25285.43,58485.52,3d5.4s2,a 4G,9/2,3d6.(3H).4p,y 4H*,9/2,10,10,,T1117,L3475,
301.226,301.2250,33197.7,40,3.1e+07,E,25287.74,58485.52,3d5.4s2,a 4G,7/2,3d6.(3H).4p,y 4H*,9/2,8,10,,T1117,L3475,
301.555,,33161.5,40,,,,,,,,,,,1,1,,,L3475,
301.733,301.7331,33141.9,60,2.9e+07,E,25285.43,58427.30,3d5.4s2,a 4G,9/2,3d6.(3H).4p,y 4H*,11/2,10,12,,T1117,L3475,
302.363,,33072.8,70,,,,,,,,,,,1,1,,,L3475,
