obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""232.594""","=""0.010""","=""232.5878+""","=""130*""","=""""",,"=""12346.280""","=""55327.60?""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""98*""","=""3""",,"=""""","=""L3475""",
"=""232.594""","=""0.010""","=""232.59099+""","=""130*""","=""""",,"=""11858.498""","=""54839.231""","=""4d4.5s2""","=""a 5D""","=""3""","=""""","=""94*""","=""3""",,"=""""","=""L3475""",
"=""233.046""","=""0.010""","=""""","=""240""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
"=""234.047""","=""0.010""","=""234.04067+""","=""190""","=""""",,"=""10768.332""","=""53482.858""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""""","=""76*""","=""1""",,"=""""","=""L3475""",
"=""235.261""","=""0.010""","=""235.26115+""","=""80""","=""""",,"=""12346.280""","=""54839.231""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""94*""","=""3""",,"=""""","=""L3475""",
"=""235.522""","=""0.010""","=""235.52202+""","=""80""","=""""",,"=""11142.784""","=""53588.674""","=""4d4.5s2""","=""a 5D""","=""1""","=""""","=""77*""","=""2""",,"=""""","=""L3475""",
"=""236.437""","=""0.010""","=""236.43793+""","=""70""","=""""",,"=""11454.362""","=""53735.839""","=""4d4.5s2""","=""a 5D""","=""2""","=""""","=""81*""","=""3""",,"=""""","=""L3475""",
"=""237.227""","=""0.010""","=""237.22757+""","=""140""","=""""",,"=""11454.362""","=""53595.110""","=""4d4.5s2""","=""a 5D""","=""2""","=""""","=""78*""","=""3""",,"=""""","=""L3475""",
"=""238.041""","=""0.010""","=""238.04189+""","=""100""","=""""",,"=""11858.498""","=""53855.099""","=""4d4.5s2""","=""a 5D""","=""3""","=""""","=""83*""","=""4""",,"=""""","=""L3475""",
"=""238.352""","=""0.010""","=""238.35247+""","=""150""","=""""",,"=""11858.498""","=""53800.380""","=""4d4.5s2""","=""a 5D""","=""3""","=""""","=""82*""","=""4""",,"=""""","=""L3475""",
"=""240.586""","=""0.010""","=""240.5906+""","=""140""","=""""",,"=""16641.081""","=""58192.82""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""""","=""111*""","=""3""",,"=""""","=""L3475""",
"=""240.839""","=""0.010""","=""240.83941+""","=""40""","=""""",,"=""12346.280""","=""53855.099""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""83*""","=""4""",,"=""""","=""L3475""",
"=""241.533""","=""0.010""","=""241.53342+""","=""70""","=""""",,"=""12346.280""","=""53735.839""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""81*""","=""3""",,"=""""","=""L3475""",
"=""243.043""","=""0.010""","=""243.04289+""","=""65""","=""""",,"=""12346.280""","=""53478.799""","=""4d4.5s2""","=""a 5D""","=""4""","=""""","=""75*""","=""4""",,"=""""","=""L3475""",
"=""247.1971""","=""0.0010""","=""247.19708+""","=""150h""","=""""",,"=""10768.332""","=""51209.662""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""3""",,"=""""","=""L10250,L3475""",
