obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
15.710,0.010,15.708,0.010,636600,a,,,0.00000,636600,2p6.3s,2S,1/2,2s.2p6.(2S).3d.4p.(3P*),2P*,"1/2,3/2",2,6,,,L5279,
15.88,0.02,15.881,0.020,629700,a,,,0.00000,629700,2p6.3s,2S,1/2,2s.2p6.(2S).4s.5p.(3P*),2P*,"1/2,3/2",2,6,,,L5279,
16.160,0.010,16.158,0.010,618900,a,,,0.00000,618900,2p6.3s,2S,1/2,2s.2p6.(2S).4s.4p.(3P*),2P*,"1/2,3/2",2,6,,,L5279,
16.670,0.010,16.667,0.011,600000,a,,,0.00000,600000,2p6.3s,2S,1/2,2s.2p6.3p.(3P*).6s,2P*,"1/2,3/2",2,6,,,L5279,
16.770,0.010,16.767,0.011,596400,a,,,0.00000,596400,2p6.3s,2S,1/2,2s.2p6.3p.(3P*).5s,2P*,"1/2,3/2",2,6,,,L5279,
16.820,0.010,16.818,0.011,594600,a,,,0.00000,594600,2p6.3s,2S,1/2,2s.2p6.3p.(3P*).3d,2P*,"1/2,3/2",2,6,,,L5279,
16.910,0.010,16.909,0.009,591400,a,,,0.00000,591400,2p6.3s,2S,1/2,2s.2p6.3p.(1P*).4s,2P*,"1/2,3/2",2,6,,,L5279,
17.060,0.010,17.059,0.009,586200,a,,,0.00000,586200,2p6.3s,2S,1/2,2s.2p6.3p.(3P*).4s,2P*,"1/2,3/2",2,6,,,L5279,
17.870,0.010,17.870,0.010,559600,a,,,0.00000,559600,2p6.3s,2S,1/2,2s.2p6.3s.(3S).4p,2P*,"1/2,3/2",2,6,,,L5279,
18.290,0.010,18.295,0.010,546600,a,,,0.00000,546600,2p6.3s,2S,1/2,2s.(2S).2p6.3s.3p.(1P*),2P*,"1/2,3/2",2,6,,,L5279,
18.680,0.007,18.680,0.007,535330,a,,,0.00000,535330,2p6.3s,2S,1/2,2s.(2S).2p6.3s.3p.(3P*),2P*,"1/2,3/2",2,6,,,L5279,
26.7330,0.0010,26.7330,0.0011,374070,a,,,0.00000,374070,2p6.3s,2S,1/2,2p5.3d.(3D*<1>).16s,2[1]*,"1/2,3/2",2,6,,,L12868,
26.7380,0.0010,26.7380,0.0011,374000,a,,,0.00000,374000,2p6.3s,2S,1/2,2p5.3d.(3D*<1>).15s,2[1]*,"1/2,3/2",2,6,,,L12868,
26.7440,0.0010,26.7440,0.0011,373916,a,,,0.00000,373916,2p6.3s,2S,1/2,2p5.3d.(3D*<1>).14s,2[1]*,"1/2,3/2",2,6,,,L12868,
26.7540,0.0010,26.7540,0.0011,373776,a,,,0.00000,373776,2p6.3s,2S,1/2,2p5.3d.(3D*<1>).13s,2[1]*,"1/2,3/2",2,6,,,L12868,
26.7640,0.0010,26.7640,0.0011,373636,a,,,0.00000,373636,2p6.3s,2S,1/2,2p5.4s.(1P*<1>).11d,,"1/2,3/2",2,6,,,L12868,
26.7660,0.0010,26.7660,0.0011,373608,a,,,0.00000,373608,2p6.3s,2S,1/2,2p5.3d.(3D*<1>).12s,2[1]*,"1/2,3/2",2,6,,,L12868,
