obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
243.707,,41032.9,35,,,,,,,L3475,
246.364,,40590.4,65,,,,,,,L3475,
246.748,,40527.2,35,,,,,,,L3475,
246.983,,40488.7,55,,,,,,,L3475,
250.540,,39913.7,110,,,,,,,L3475,
256.618,,38968.4,130,,,,,,,L3475,
256.980,,38913.5,100,,,,,,,L3475,
257.951,,38767.0,200,,,,,,,L3475,
259.298,,38565.7,270,,,,,,,L3475,
261.726,,38207.9,130,,,,,,,L3475,
262.429,,38105.5,130,,,,,,,L3475,
262.822,,38048.5,130,,,,,,,L3475,
262.927,,38033.3,130,,,,,,,L3475,
264.829,,37760.2,330,,,,,,,L3475,
265.031,,37731.5,240,,,,,,,L3475,
265.524,,37661.4,330,,,,,,,L3475,
265.841,,37616.5,160,,,,,,,L3475,
266.908,,37466.0,130,,,,,,,L3475,
268.795,,37203.1,130,,,,,,,L3475,
274.772,,36393.8,200,,,,,,,L3475,
274.966,,36368.1,200,,,,,,,L3475,
275.382,,36313.1,190,,,,,,,L3475,
275.943,,36239.4,280,,,,,,,L3475,
277.402,,36048.8,310,,,,,,,L3475,
278.318,,35930.1,130,,,,,,,L3475,
283.707,,35247.6,150,,,,,,,L3475,
284.178,,35189.3,110,,,,,,,L3475,
285.229,,35059.6,110,,,,,,,L3475,
286.516,,34902.1,100,,,,,,,L3475,
304.899,,32797.8,150,,,,,,,L3475,
305.398,,32744.2,110,,,,,,,L3475,
311.235,,32130.0,150,,,,,,,L3475,
315.278,,31718.0,140,,,,,,,L3475,
318.841,,31363.6,200,,,,,,,L3475,
325.046,,30764.9,160,,,,,,,L3475,
326.553,,30622.9,160,,,,,,,L3475,
327.141,,30567.8,120,,,,,,,L3475,
327.170,,30565.1,100,,,,,,,L3475,
327.301,,30552.9,200,,,,,,,L3475,
327.861,,30500.7,160,,,,,,,L3475,
328.661,,30426.5,230,,,,,,,L3475,
328.854,,30408.7,200,,,,,,,L3475,
328.887,,30405.6,160,,,,,,,L3475,
329.696,,30331.0,320,,,,,,,L3475,
330.056,,30297.9,160,,,,,,,L3475,
330.578,,30250.0,120,,,,,,,L3475,
330.900,,30220.6,120,,,,,,,L3475,
331.142,,30198.5,120,,,,,,,L3475,
331.355,,30179.1,400,,,,,,,L3475,
331.617,,30155.2,200,,,,,,,L3475,
331.994,,30121.1,200,,,,,,,L3475,
332.022,,30118.5,120,,,,,,,L3475,
332.758,,30051.9,240,,,,,,,L3475,
333.032,,30027.2,170,,,,,,,L3475,
333.312,,30001.9,110,,,,,,,L3475,
334.293,,29913.9,1300,,,,,,,L3475,
334.467,,29898.3,1300,,,,,,,L3475,
334.789,,29869.5,130,,,,,,,L3475,
335.002,,29850.5,1700,,,,,,,L3475,
335.048,,29846.4,420,,,,,,,L3475,
335.570,,29800.0,340,,,,,,,L3475,
335.800,,29779.6,130,,,,,,,L3475,
335.939,,29767.4,1700,,,,,,,L3475,
336.793,,29691.9,340,,,,,,,L3475,
337.230,,29653.4,170,,,,,,,L3475,
337.589,,29621.8,350,,,,,,,L3475,
338.138,,29573.7,270,,,,,,,L3475,
338.183,,29569.8,130,,,,,,,L3475,
339.331,,29469.7,350,,,,,,,L3475,
339.690,,29438.6,170,,,,,,,L3475,
340.038,,29408.5,120,,,,,,,L3475,
340.639,,29356.6,230,,,,,,,L3475,
340.711,,29350.4,130,,,,,,,L3475,
340.936,,29331.0,270,,,,,,,L3475,
341.695,,29265.9,180,,,,,,,L3475,
342.474,,29199.3,180,,,,,,,L3475,
342.683,,29181.5,130,,,,,,,L3475,
342.843,,29167.8,230,,,,,,,L3475,
343.002,,29154.3,130,,,,,,,L3475,
346.480,,28861.7,170,,,,,,,L3475,
346.685,,28844.6,180,,,,,,,L3475,
347.043,,28814.8,130,,,,,,,L3475,
347.218,,28800.3,100,,,,,,,L3475,
347.401,,28785.1,140,,,,,,,L3475,
347.969,,28738.2,290,,,,,,,L3475,
349.203,,28636.6,230,,,,,,,L3475,
349.881,,28581.1,200,,,,,,,L3475,
349.963,,28574.4,500,,,,,,,L3475,
350.896,,28498.4,460,,,,,,,L3475,
352.107,,28400.5,200,,,,,,,L3475,
353.631,,28278.1,2000,,,,,,,L3475,
353.849,,28260.6,1300,,,,,,,L3475,
354.503,,28208.5,500,,,,,,,L3475,
354.566,,28203.5,250,,,,,,,L3475,
355.146,,28157.4,300,,,,,,,L3475,
355.554,,28125.2,250,,,,,,,L3475,
355.568,,28124.1,1000,,,,,,,L3475,
356.452,,28054.3,630,,,,,,,L3475,
356.464,,28053.3,630,,,,,,,L3475,
357.687,,27957.4,1500,,,,,,,L3475,
357.874,,27942.8,200,,,,,,,L3475,
358.129,,27922.9,5000,,,,,,,L3475,
358.599,,27886.3,500,,,,,,,L3475,
359.013,,27854.1,750,,,,,,,L3475,
359.038,,27852.2,500,,,,,,,L3475,
359.500,,27816.4,500,,,,,,,L3475,
360.359,,27750.1,500,,,,,,,L3475,
362.206,,27608.6,200,,,,,,,L3475,
364.037,,27469.8,200,,,,,,,L3475,
365.089,,27390.6,420,,,,,,,L3475,
365.185,,27383.4,250,,,,,,,L3475,
366.141,,27311.9,630,,,,,,,L3475,
366.574,,27279.6,900,,,,,,,L3475,
367.005,,27247.5,220,,,,,,,L3475,
367.583,,27204.8,270,,,,,,,L3475,
369.890,,27035.0,1500,,,,,,,L3475,
371.240,,26936.8,330,,,,,,,L3475,
371.407,,26924.7,3300,,,,,,,L3475,
371.805,,26895.8,480,,,,,,,L3475,
372.730,,26829.1,2700,,,,,,,L3475,
373.948,,26741.7,270,,,,,,,L3475,
374.086,,26731.8,2700,,,,,,,L3475,
374.284,,26717.7,270,,,,,,,L3475,
374.345,,26713.3,1700,,,,,,,L3475,
375.425,,26636.5,250,,,,,,,L3475,
375.684,,26618.1,210,,,,,,,L3475,
376.456,,26563.5,530,,,,,,,L3475,
376.615,,26552.3,350,,,,,,,L3475,
376.720,,26544.9,250,,,,,,,L3475,
377.292,,26504.7,530,,,,,,,L3475,
378.208,,26440.4,870,,,,,,,L3475,
378.814,,26398.2,1700,,,,,,,L3475,
379.123,,26376.7,1300,,,,,,,L3475,
379.229,,26369.3,3500,,,,,,,L3475,
379.920,,26321.3,2700,,,,,,,L3475,
380.238,,26299.3,270,,,,,,,L3475,
380.400,,26288.1,2700,,,,,,,L3475,
380.496,,26281.5,670,,,,,,,L3475,
380.582,,26275.5,530,,,,,,,L3475,
381.157,,26235.9,670,,,,,,,L3475,
381.211,,26232.2,530,,,,,,,L3475,
381.659,,26201.4,530,,,,,,,L3475,
382.023,,26176.4,210,,,,,,,L3475,
382.597,,26137.2,670,,,,,,,L3475,
383.627,,26067.0,350,,,,,,,L3475,
383.754,,26058.4,250,,,,,,,L3475,
384.699,,25994.3,210,,,,,,,L3475,
386.004,,25906.4,290,,,,,,,L3475,
386.448,,25876.7,350,,,,,,,L3475,
386.902,,25846.4,270,,,,,,,L3475,
387.866,,25782.1,530,,,,,,,L3475,
387.992,,25773.7,870,,,,,,,L3475,
388.424,,25745.1,670,,,,,,,L3475,
388.654,,25729.8,1100,,,,,,,L3475,
388.678,,25728.2,670,,,,,,,L3475,
388.717,,25725.6,210,,,,,,,L3475,
389.240,,25691.1,580,,,,,,,L3475,
391.008,,25574.9,210,,,,,,,L3475,
391.581,,25537.5,670,,,,,,,L3475,
392.131,,25501.7,530,,,,,,,L3475,
393.855,,25390.0,670,,,,,,,L3475,
394.479,,25349.9,520,,,,,,,L3475,
396.681,,25209.2,250,,,,,,,L3475,
396.721,,25206.6,910bl,,,,,,,L3475,
397.297,,25170.1,210,,,,,,,L3475,
403.366,,24791.4,1100,,,,,,,L3475,
404.067,,24748.4,250,,,,,,,L3475,
406.009,,24630.0,16000c,,,,,,,L3475,
406.066,,24626.6,210,,,,,,,L3475,
406.194,,24618.8,350,,,,,,,L3475,
406.941,,24573.6,210,,,,,,,L3475,
408.088,,24504.5,12000,,,,,,,L3475,
408.601,,24473.7,270,,,,,,,L3475,
410.156,,24381.0,440,,,,,,,L3475,
410.208,,24377.9,6700,,,,,,,L3475,
411.806,,24283.3,310,,,,,,,L3475,
412.497,,24242.6,5300,,,,,,,L3475,
413.059,,24209.6,670,,,,,,,L3475,
413.109,,24206.7,770,,,,,,,L3475,
413.827,,24164.7,2300,,,,,,,L3475,
414.061,,24151.0,440,,,,,,,L3475,
414.088,,24149.5,2700,,,,,,,L3475,
414.438,,24129.1,350,,,,,,,L3475,
415.129,,24088.9,870,,,,,,,L3475,
415.375,,24074.6,4400,,,,,,,L3475,
416.464,,24011.7,870,,,,,,,L3475,
416.483,,24010.6,4400,,,,,,,L3475,
416.583,,24004.8,4000,,,,,,,L3475,
416.930,,23984.8,3500,,,,,,,L3475,
418.562,,23891.3,310,,,,,,,L3475,
419.206,,23854.6,1200,,,,,,,L3475,
419.325,,23847.8,870,,,,,,,L3475,
419.627,,23830.7,870,,,,,,,L3475,
419.684,,23827.4,1300,,,,,,,L3475,
419.969,,23811.3,310,,,,,,,L3475,
420.270,,23794.2,350,,,,,,,L3475,
420.649,,23772.8,870,,,,,,,L3475,
421.592,,23719.6,350,,,,,,,L3475,
421.913,,23701.6,420,,,,,,,L3475,
423.034,,23638.8,420,,,,,,,L3475,
425.664,,23492.7,250,,,,,,,L3475,
426.325,,23456.3,770,,,,,,,L3475,
426.722,,23434.5,420,,,,,,,L3475,
427.189,,23408.8,290,,,,,,,L3475,
428.820,,23319.8,400,,,,,,,L3475,
430.081,,23251.4,580,,,,,,,L3475,
430.220,,23243.9,580,,,,,,,L3475,
431.077,,23197.7,120,,,,,,,L3475,
431.248,,23188.5,390,,,,,,,L3475,
431.366,,23182.2,120,,,,,,,L3475,
432.755,,23107.8,350,,,,,,,L3475,
432.860,,23102.2,120,,,,,,,L3475,
433.259,,23080.9,390,,,,,,,L3475,
434.404,,23020.0,140,,,,,,,L3475,
434.987,,22989.2,140,,,,,,,L3475,
435.025,,22987.2,110,,,,,,,L3475,
435.279,,22973.8,290,,,,,,,L3475,
436.966,,22885.1,210,,,,,,,L3475,
437.919,,22835.3,140,,,,,,,L3475,
438.959,,22781.2,130,,,,,,,L3475,
439.392,,22758.7,160,,,,,,,L3475,
441.145,,22668.3,330,,,,,,,L3475,
442.068,,22620.9,190,,,,,,,L3475,
443.847,,22530.3,230c,,,,,,,L3475,
444.843,,22479.8,290,,,,,,,L3475,
445.805,,22431.3,140,,,,,,,L3475,
445.867,,22428.2,140,,,,,,,L3475,
447.096,,22366.5,140,,,,,,,L3475,
447.254,,22358.6,140,,,,,,,L3475,
447.379,,22352.4,140,,,,,,,L3475,
450.430,,22201.0,150,,,,,,,L3475,
452.468,,22101.0,530,,,,,,,L3475,
454.809,,21987.2,480,,,,,,,L3475,
456.581,,21901.9,370,,,,,,,L3475,
457.436,,21861.0,720,,,,,,,L3475,
458.290,,21820.2,480,,,,,,,L3475,
460.806,,21701.1,1200,,,,,,,L3475,
461.746,,21656.9,170,,,,,,,L3475,
463.141,,21591.7,450,,,,,,,L3475,
465.025,,21504.2,450,,,,,,,L3475,
465.057,,21502.7,110,,,,,,,L3475,
466.514,,21435.6,450,,,,,,,L3475,
466.755,,21424.5,340,,,,,,,L3475,
466.853,,21420.0,240,,,,,,,L3475,
