obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
276.580,,36155.9,75,,,,,,,,,,,1,1,,,L3475,
278.661,,35885.9,60,,,,,,,,,,,1,1,,,L3475,
322.355,,31021.7,50,,,,,,,,,,,1,1,,,L3475,
348.588,,28687.2,120w,,,,,,,,,,,1,1,,,L3475,
452.852,,22082.3,120,,,,,,,,,,,1,1,,,L3475,
456.095,,21925.3,170,,,,,,,,,,,1,1,,,L3475,
458.791,,21796.4,100,,,,,,,,,,,1,1,,,L3475,
460.511,,21715.0,100,,,,,,,,,,,1,1,,,L3475,
461.116,,21686.5,100,,,,,,,,,,,1,1,,,L3475,
462.323,462.3226+,21629.9,300,5.6e+07,,2366.597,23996.513,4f4.6s2,5I,6,,*,6,13,13,,T7227,L3475,
462.928,,21601.6,100,,,,,,,,,,,1,1,,,L3475,
463.554,463.5508+,21572.5,510,8.4e+07,,0.000,21572.610,4f4.6s2,5I,4,4f4.6s.6p,5H*,3,9,7,,T7227,L3475,
464.240,,21540.6,340,,,,,,,,,,,1,1,,,L3475,
464.770,,21516.0,200,,,,,,,,,,,1,1,,,L3475,
465.097,,21500.9,300,,,,,,,,,,,1,1,,,L3475,
465.603,,21477.5,200,,,,,,,,,,,1,1,,,L3475,
468.476,468.4812+,21345.8,310,5.2e+07,,0.000,21345.572,4f4.6s2,5I,4,,*,6,9,13,,T7227,L3475,
468.535,,21343.1,110,,,,,,,,,,,1,1,,,L3475,
469.166,,21314.4,110,,,,,,,,,,,1,1,,,L3475,
469.775,,21286.8,190,,,,,,,,,,,1,1,,,L3475,
470.828,,21239.2,140,,,,,,,,,,,1,1,,,L3475,
472.034,472.0347+,21184.9,240,3.3e+07,,0.000,21184.881,4f4.6s2,5I,4,,*,4,9,9,,T7227,L3475,
473.309,,21127.8,140,,,,,,,,,,,1,1,,,L3475,
478.080,,20917.0,120,,,,,,,,,,,1,1,,,L3475,
486.810,,20541.9,190,,,,,,,,,,,1,1,,,L3475,
