obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
,196.3870,50919.9,,1.1e+07,C,204.787,51124.662,3d9.(2D).4s,3D,3,3d8.(1G).4s.4p.(3P*),3F*,3,7,7,,T3861,,
,196.8919,50789.3,,4.5e+06,C,0.000,50789.303,3d8.(3F).4s2,3F,4,3d8.(1G).4s.4p.(3P*),3F*,4,9,9,,T3861,,
,197.6890,50584.5,,1.1e+08,C,204.787,50789.303,3d9.(2D).4s,3D,3,3d8.(1G).4s.4p.(3P*),3F*,4,7,9,,T3861,,
,197.7166,50577.4,,8.3e+00,E,879.816,51457.250,3d9.(2D).4s,3D,2,3d9.(2D<3/2>).4d,2[1/2],0,5,1,E2,T848n,,
,198.1621,50463.7,,1.3e+07,C,879.816,51343.547,3d9.(2D).4s,3D,2,3d8.(1G).4s.4p.(3P*),3F*,2,5,5,,T3861,,
,199.0254,50244.8,,8.3e+07,C,879.816,51124.662,3d9.(2D).4s,3D,2,3d8.(1G).4s.4p.(3P*),3F*,3,5,7,,T3861,,
,199.430,50143,,5.7e+06,C,0.000,50142.8,3d8.(3F).4s2,3F,4,3d9.(2D).5p,*,3,9,7,,T3861,,
,200.1145,49971.38,,5.4e+06,C,879.816,50851.199,3d9.(2D).4s,3D,2,3d9.(2D).5p,3D*,1,5,3,,T3861,,
,200.248,49938.0,,7.3e+06,C,204.787,50142.8,3d9.(2D).4s,3D,3,3d9.(2D).5p,*,3,7,7,,T3861,,
,200.7642,49809.67,,1.7e+07,C,879.816,50689.489,3d9.(2D).4s,3D,2,3d9.(2D).5p,3D*,2,5,5,,T3861,,
,200.8335,49792.50,,9.0e+06,C,1332.164,51124.662,3d8.(3F).4s2,3F,3,3d8.(1G).4s.4p.(3P*),3F*,3,7,7,,T3861,,
,201.4892,49630.46,,9.3e+07,C,1713.087,51343.547,3d9.(2D).4s,3D,1,3d8.(1G).4s.4p.(3P*),3F*,2,3,5,,T3861,,
,202.6042,49357.33,,2.3e+07,D,1332.164,50689.489,3d8.(3F).4s2,3F,3,3d9.(2D).5p,3D*,2,7,5,,T3861,,
,202.7240,49328.14,,2.4e+07,C,0.000,49328.140,3d8.(3F).4s2,3F,4,3d9.(2D).5p,3D*,3,9,7,,T3861,,
,202.992,49263.0,,2.3e+06,C,879.816,50142.8,3d9.(2D).4s,3D,2,3d9.(2D).5p,*,3,5,7,,T3861,,
,203.0840,49240.70,,1.7e-01,E,2216.550,51457.250,3d8.(3F).4s2,3F,2,3d9.(2D<3/2>).4d,2[1/2],0,5,1,E2,T848n,,
,203.4200,49159.38,,3.0e+06,D,879.816,50039.191,3d9.(2D).4s,3D,2,3d9.(2D).5p,3F*,2,5,5,,T3861,,
,204.1800,48976.40,,3.2e+06,D,1713.087,50689.489,3d9.(2D).4s,3D,1,3d9.(2D).5p,3D*,2,3,5,,T3861,,
,204.7999,48828.14,,1.8e+07,C,204.787,49032.926,3d9.(2D).4s,3D,3,3d9.(2D).5p,1D*,2,7,5,,T3861,,
,205.1488,48745.11,,7.6e+06,E,1713.087,50458.192,3d9.(2D).4s,3D,1,3d9.(2D).5p,1P*,1,3,3,,T3861,,
,205.2731,48715.59,,9.7e+06,C,0.000,48715.586,3d8.(3F).4s2,3F,4,3d9.(2D).5p,3F*,4,9,9,,T3861,,
,205.3092,48707.03,,3.2e+06,C,1332.164,50039.191,3d8.(3F).4s2,3F,3,3d9.(2D).5p,3F*,2,7,5,,T3861,,
,205.457,48672.0,,7.5e+05,D,0.000,48672.049,3d8.(3F).4s2,3F,4,3d9.(2D).5p,1F*,3,9,7,,T3861,,
,205.6147,48634.65,,3.3e+07,C,2216.550,50851.199,3d8.(3F).4s2,3F,2,3d9.(2D).5p,3D*,1,5,3,,T3861,,
,206.0560,48530.50,,2.1e+07,D,204.787,48735.290,3d9.(2D).4s,3D,3,3d9.(2D).5p,3P*,2,7,5,,T3861,,
,206.0854,48523.57,,2.3e+07,E,879.816,49403.386,3d9.(2D).4s,3D,2,3d8.(3P).4s.4p.(3P*),3S*,1,5,3,,T3861,,
,206.3007,48472.94,,4.6e+06,E,2216.550,50689.489,3d8.(3F).4s2,3F,2,3d9.(2D).5p,3D*,2,5,5,,T3861,,
,206.4055,48448.32,,5.0e+06,D,879.816,49328.140,3d9.(2D).4s,3D,2,3d9.(2D).5p,3D*,3,5,7,,T3861,,
,206.5033,48425.37,,4.0e+07,D,1713.087,50138.458,3d9.(2D).4s,3D,1,3d9.(2D).5p,3P*,0,3,1,,T3861,,
,207.0165,48305.32,,1.1e+07,D,879.816,49185.138,3d9.(2D).4s,3D,2,3d8.(3P).4s.4p.(3P*),1D*,2,5,5,,T3861,,
,208.1282,48047.31,,8.2e+01,E,3409.937,51457.250,3d9.(2D).4s,1D,2,3d9.(2D<3/2>).4d,2[1/2],0,5,1,E2,T848n,,
,208.3508,47995.98,,8.5e+06,C,1332.164,49328.140,3d8.(3F).4s2,3F,3,3d9.(2D).5p,3D*,3,7,7,,T3861,,
,208.6016,47938.28,,7.7e+06,C,879.816,48818.097,3d9.(2D).4s,3D,2,3d8.(3P).4s.4p.(3P*),1P*,1,5,3,,T3861,,
,208.6219,47933.61,,2.6e+08,D,3409.937,51343.547,3d9.(2D).4s,1D,2,3d8.(1G).4s.4p.(3P*),3F*,2,5,5,,T3861,,
,208.9625,47855.47,,4.2e+06,D,879.816,48735.290,3d9.(2D).4s,3D,2,3d9.(2D).5p,3P*,2,5,5,,T3861,,
,208.9734,47852.97,,9.7e+06,D,1332.164,49185.138,3d8.(3F).4s2,3F,3,3d8.(3P).4s.4p.(3P*),1D*,2,7,5,,T3861,,
,209.5789,47714.72,,1.1e+07,E,3409.937,51124.662,3d9.(2D).4s,1D,2,3d8.(1G).4s.4p.(3P*),3F*,3,5,7,,T3861,,
,210.6503,47472.05,,3.0e+06,C,1713.087,49185.138,3d9.(2D).4s,3D,1,3d8.(3P).4s.4p.(3P*),1D*,2,3,5,,T3861,,
,211.0443,47383.42,,1.5e+06,C,1332.164,48715.586,3d8.(3F).4s2,3F,3,3d9.(2D).5p,3F*,4,7,9,,T3861,,
,211.2384,47339.89,,6.5e+06,C,1332.164,48672.049,3d8.(3F).4s2,3F,3,3d9.(2D).5p,1F*,3,7,7,,T3861,,
,211.5079,47279.55,,9.7e+06,C,3409.937,50689.489,3d9.(2D).4s,1D,2,3d9.(2D).5p,3D*,2,5,5,,T3861,,
,212.2061,47124.00,,2.8e+07,C,204.787,47328.784,3d9.(2D).4s,3D,3,3d8.(3P).4s.4p.(3P*),5S*,2,7,5,,T3861,,
,212.5477,47048.26,,3.8e+07,C,3409.937,50458.192,3d9.(2D).4s,1D,2,3d9.(2D).5p,1P*,1,5,3,,T3861,,
,212.6298,47030.10,,5.1e+06,C,0.000,47030.102,3d8.(3F).4s2,3F,4,3d8.(3P).4s.4p.(3P*),3D*,3,9,7,,T3861,,
