obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
200.210,,49947.6,9600,,,,,,,L3475,
200.438,,49890.8,13000,,,,,,,L3475,
201.080,,49731.5,17000,,,,,,,L3475,
201.879,,49534.6,29000,,,,,,,L3475,
202.341,,49421.5,14000,,,,,,,L3475,
202.888,,49288.2,14000,,,,,,,L3475,
203.509,,49137.8,18000,,,,,,,L3475,
204.602,,48875.5,26000,,,,,,,L3475,
205.935,,48559.0,8600,,,,,,,L3475,
205.944,,48556.9,,,,,,,,L3475,
206.235,,48488.4,13000,,,,,,,L3475,
207.761,,48132.2,7200,,,,,,,L3475,
208.063,,48062.3,14000,,,,,,,L3475,
208.320,,48003.0,2900,,,,,,,L3475,
208.969,,47853.9,2900,,,,,,,L3475,
208.987,,47849.8,2900,,,,,,,L3475,
209.827,,47658.4,6000,,,,,,,L3475,
210.130,,47589.7,5300,,,,,,,L3475,
211.833,,47207.0,2100,,,,,,,L3475,
211.863,,47200.3,4800,,,,,,,L3475,
212.451,,47069.6,1900,,,,,,,L3475,
213.778,,46777.4,5300,,,,,,,L3475,
215.527,,46398.0,2600,,,,,,,L3475,
215.852,,46328.1,1300,,,,,,,L3475,
215.921,,46313.3,1200,,,,,,,L3475,
216.758,,46134.4,3100,,,,,,,L3475,
216.843,,46116.3,1100,,,,,,,L3475,
217.233,,46033.5,2100,,,,,,,L3475,
218.536,,45759.0,960,,,,,,,L3475,
220.318,,45389.0,760,,,,,,,L3475,
222.867,,44869.8,600,,,,,,,L3475,
223.530,,44736.6,1100,,,,,,,L3475,
225.285,,44388.3,1300,,,,,,,L3475,
226.530,,44144.3,1400,,,,,,,L3475,
226.898,,44072.6,360,,,,,,,L3475,
227.087,,44036.0,960,,,,,,,L3475,
228.437,,43775.7,840,,,,,,,L3475,
229.003,,43667.6,570,,,,,,,L3475,
229.802,,43515.8,380,,,,,,,L3475,
230.902,,43308.4,660,,,,,,,L3475,
232.089,,43086.9,550,,,,,,,L3475,
232.469,,43016.4,310,,,,,,,L3475,
232.495,,43011.6,660,,,,,,,L3475,
232.770,,42960.8,330,,,,,,,L3475,
233.528,,42821.5,310,,,,,,,L3475,
233.935,,42747.0,430,,,,,,,L3475,
234.141,,42709.4,290,,,,,,,L3475,
234.446,,42653.8,430,,,,,,,L3475,
234.647,,42617.2,260,,,,,,,L3475,
234.810,,42587.6,430,,,,,,,L3475,
235.371,,42486.1,360,,,,,,,L3475,
235.764,,42415.3,240,,,,,,,L3475,
235.797,,42409.3,240,,,,,,,L3475,
236.313,,42316.7,310,,,,,,,L3475,
236.349,,42310.3,900,,,,,,,L3475,
236.996,,42194.7,290,,,,,,,L3475,
237.142,,42168.8,500,,,,,,,L3475,
237.190,,42160.2,480,,,,,,,L3475,
237.776,,42056.5,2600,,,,,,,L3475,
237.834,,42046.2,260,,,,,,,L3475,
238.012,,42014.8,900,,,,,,,L3475,
238.535,,41922.6,240,,,,,,,L3475,
238.802,,41875.7,1700,,,,,,,L3475,
239.502,,41753.3,330,,,,,,,L3475,
239.612,,41734.1,290,,,,,,,L3475,
239.661,,41725.6,1100,,,,,,,L3475,
239.751,,41709.9,220,,,,,,,L3475,
240.186,,41634.4,960,,,,,,,L3475,
240.296,,41615.3,260,,,,,,,L3475,
240.427,,41592.6,200,,,,,,,L3475,
240.458,,41587.3,330,,,,,,,L3475,
240.618,,41559.6,290,,,,,,,L3475,
240.669,,41550.8,200,,,,,,,L3475,
240.940,,41504.1,360,,,,,,,L3475,
241.171,,41464.3,240,,,,,,,L3475,
241.525,,41403.5,290,,,,,,,L3475,
241.872,,41344.1,530,,,,,,,L3475,
241.926,,41334.9,530,,,,,,,L3475,
242.530,,41232.1,500,,,,,,,L3475,
