obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
137.2033,,72884.5,15,,,,,,,,,,,1,1,,,L5148,
137.3500,,72806.7,15,,,,,,,,,,,1,1,,,L5148,
137.4732,,72741.5,10,,,,,,,,,,,1,1,,,L5148,
137.7080,,72617.4,15,,,,,,,,,,,1,1,,,L5148,
137.7937,,72572.3,15,,,,,,,,,,,1,1,,,L5148,
137.9429,,72493.8,25,,,,,,,,,,,1,1,,,L5148,
138.1469,,72386.7,25,,,,,,,,,,,1,1,,,L5148,
138.1637,,72377.9,15,,,,,,,,,,,1,1,,,L5148,
,153.4752,65157.1,,4.4e+04,E,0.00,65157.126,3s2.3p3,4S*,3/2,3s2.3p2.(1D).4s,2D,5/2,4,6,,T1220,,
,153.4772,65156.2,,8.2e+03,E,0.00,65156.242,3s2.3p3,4S*,3/2,3s2.3p2.(1D).4s,2D,3/2,4,4,,T1220,,
167.1070,,59841.9,140,,,,,,,,,,,1,1,,,L5148,
167.1510,,59826.1,100,,,,,,,,,,,1,1,,,L5148,
167.1680,167.1671,59820.1,180,3.9e+07,D,0.00,59820.371,3s2.3p3,4S*,3/2,3s.3p4,4P,1/2,4,2,,T8043,L5148,
167.2035,,59807.4,140,,,,,,,,,,,1,1,,,L5148,
167.2474,,59791.7,140,,,,,,,,,,,1,1,,,L5148,
167.4591,167.4595,59716.1,600,4.0e+07,D,0.00,59715.921,3s2.3p3,4S*,3/2,3s.3p4,4P,3/2,4,4,,T8043,L5148,
167.9695,167.9697,59534.6,600,3.9e+07,D,0.00,59534.549,3s2.3p3,4S*,3/2,3s.3p4,4P,5/2,4,6,,T8043,L5148,
168.5976,,59312.8,140,,,,,,,,,,,1,1,,,L5148,
169.4028,,59030.9,100,,,,,,,,,,,1,1,,,L5148,
169.4486,,59014.9,100,,,,,,,,,,,1,1,,,L5148,
170.6376,,58603.7,100,,,,,,,,,,,1,1,,,L5148,
170.7553,,58563.3,100,,,,,,,,,,,1,1,,,L5148,
