obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
174.0003,0.0003,174.000410,0.000020,57471.17,2,,,0.000,57471.129,6s2.6p2,"(1/2,1/2)",0,6s2.6p.(2P*<1/2>).10d,2[3/2]*,1,1,3,,,L50,
176.6637,0.0002,176.663666,0.000011,56604.72,2,,,0.000,56604.735,6s2.6p2,"(1/2,1/2)",0,6s2.6p.(2P*<1/2>).9d,2[3/2]*,1,1,3,,,L50,
179.46720,0.00017,179.467376,0.000011,55720.49,2,,,0.000,55720.4336,6s2.6p2,"(1/2,1/2)",0,6s2.6p.10s,"(1/2,1/2)*",1,1,3,,,L50,
181.2969,0.0002,181.296787,0.000010,55158.14,5,,,0.000,55158.1755,6s2.6p2,"(1/2,1/2)",0,6s2.6p.(2P*<1/2>).8d,2[3/2]*,1,1,3,,,L50,
186.8764,0.0002,186.876946,0.000012,53511.30,4,,,0.000,53511.1485,6s2.6p2,"(1/2,1/2)",0,6s2.6p.9s,"(1/2,1/2)*",1,1,3,,,L50,
190.4771,0.0002,190.477500,0.000011,52499.75,10,,,0.000,52499.6391,6s2.6p2,"(1/2,1/2)",0,6s2.6p.(2P*<1/2>).7d,2[3/2]*,1,1,3,,,L50,
197.2439,0.0003,197.245100,0.000009,50698.65,4p,,,7819.2626,58517.607,6s2.6p2,"(3/2,1/2)",1,6s2.6p.(2P*<3/2>).6d,2[5/2]*,2,3,5,,,L50,
197.78761,0.00007,197.78774,0.00004,50559.284,2,,,7819.2626,58378.513,6s2.6p2,"(3/2,1/2)",1,6s2.6p.(2P*<1/2>).12d,2[5/2]*,2,3,5,,,L50,
199.1604,0.0002,199.16099,0.00006,50210.78,2,,,7819.2626,58029.899,6s2.6p2,"(3/2,1/2)",1,6s2.6p.(2P*<1/2>).11d,2[3/2]*,1,3,3,,,L50,
199.2314,0.0002,199.23183,0.00003,50192.89,2,,,7819.2626,58012.046,6s2.6p2,"(3/2,1/2)",1,6s2.6p.(2P*<1/2>).11d,2[3/2]*,2,3,5,,,L50,
202.26681,0.00012,202.266941,0.000013,49439.65,5r,5.9e+06,C+,0.000,49439.6165,6s2.6p2,"(1/2,1/2)",0,6s2.6p.7s,"(3/2,1/2)*",1,1,3,,T7227,L50,
205.15372,0.00017,205.153739,0.000013,48743.94,5,,,7819.2626,56563.195,6s2.6p2,"(3/2,1/2)",1,6s2.6p.(2P*<1/2>).9d,2[3/2]*,2,3,5,,,L50,
205.39413,0.00010,205.393915,0.000013,48686.884,8r,1.02e+07,C,0.000,48686.9340,6s2.6p2,"(1/2,1/2)",0,6s2.6p.8s,"(1/2,1/2)*",1,1,3,,T7227,L50,
211.24270,0.00002,211.242705,0.000007,47338.914,6,,,7819.2626,55158.1755,6s2.6p2,"(3/2,1/2)",1,6s2.6p.(2P*<1/2>).8d,2[3/2]*,1,3,3,,,L50,
211.57360,0.00002,211.573601,0.000008,47264.877,10,,,7819.2626,55084.1385,6s2.6p2,"(3/2,1/2)",1,6s2.6p.(2P*<1/2>).8d,2[3/2]*,2,3,5,,,L50,
