obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
244.86474,244.86473,40838.873,1100,1.11e+07,,0.000,40838.874,4d10,1S,0,4d9.(2D<3/2>).5p,2[1/2]*,1,1,3,,T7227,L9430,
247.71608,247.71608,40368.796,1700,1.18e+07,,0.000,40368.796,4d10,1S,0,4d9.(2D<3/2>).5p,2[3/2]*,1,1,3,,T7227,L9430,
276.39062,276.39063,36180.678,1900,1.69e+07,,0.000,36180.677,4d10,1S,0,4d9.(2D<5/2>).5p,2[3/2]*,1,1,3,,T7227,L9430,
292.33476,292.33473,34207.359,520,,,6564.148,40771.510,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<3/2>).5p,2[3/2]*,2,7,5,,,L9430,
300.35253,300.35250,33294.209,650,,,6564.148,39858.361,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<3/2>).5p,2[5/2]*,3,7,7,,,L9430,
301.06509,301.06508,33215.409,45,,,25101.235,58316.645,4d8.5s2,3F,4,4d8.5s.(2F).5p,3F*,4,9,9,,,L9430,
302.87900,302.87900,33016.485,1500,,,7755.025,40771.510,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<3/2>).5p,2[3/2]*,2,5,5,,,L9430,
306.61895,306.61894,32613.770,1100,,,7755.025,40368.796,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<3/2>).5p,2[3/2]*,1,5,3,,,L9430,
311.49412,311.49411,32103.335,2600,,,7755.025,39858.361,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<3/2>).5p,2[5/2]*,3,5,7,,,L9430,
314.372,,31809.4,270,,,,,,,,,,,1,1,,,L3475,
324.36340,324.36345,30829.619,11000,7.7e+07,,6564.148,37393.762,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<5/2>).5p,2[5/2]*,3,7,7,,T4266,L9430,
325.25740,325.25739,30744.881,2700,,,10093.992,40838.874,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<3/2>).5p,2[1/2]*,1,3,3,,,L9430,
325.97162,325.97161,30677.517,3500,,,10093.992,40771.510,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<3/2>).5p,2[3/2]*,2,3,5,,,L9430,
328.81950,328.81946,30411.822,460,,,6564.148,36975.973,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<5/2>).5p,2[5/2]*,2,7,5,,,L9430,
330.30770,330.30767,30274.802,3600,,,10093.992,40368.796,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<3/2>).5p,2[3/2]*,1,3,3,,,L9430,
337.39631,337.39629,29638.735,5000,,,7755.025,37393.762,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).5p,2[5/2]*,3,5,7,,,L9430,
340.55533,340.55538,29363.804,24000,1.34e+08,,6564.148,35927.948,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<5/2>).5p,2[7/2]*,4,7,9,,T4266,L9430,
342.22026,342.22025,29220.946,13000,,,7755.025,36975.973,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).5p,2[5/2]*,2,5,5,,,L9430,
343.44121,343.44121,29117.065,5000,,,11721.809,40838.874,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).5p,2[1/2]*,1,5,3,,,L9430,
344.23759,344.23762,29049.704,6400,,,11721.809,40771.510,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).5p,2[3/2]*,2,5,5,,,L9430,
346.17294,346.17295,28887.296,7700,3.0e+07,,6564.148,35451.443,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<5/2>).5p,2[7/2]*,3,7,7,,T4266,L9430,
348.21481,348.21483,28717.905,10000,,,10093.992,38811.896,4d9.(2D<3/2>).5s,2[3/2],1,4d9.(2D<3/2>).5p,2[5/2]*,2,3,5,,,L9430,
349.07687,349.07685,28646.985,2000,,,11721.809,40368.796,4d9.(2D<3/2>).5s,2[3/2],2,4d9.(2D<3/2>).5p,2[3/2]*,1,5,3,,,L9430,
