obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
316.315,,31614.1,35,,,,,,,,,,,1,1,,,L4514c1,
316.974,,31548.4,35,,,,,,,,,,,1,1,,,L4514c1,
322.297,,31027.3,35,,,,,,,,,,,1,1,,,L4514c1,
323.948,,30869.1,35,,,,,,,,,,,1,1,,,L4514c1,
329.758,,30325.3,75,,,,,,,,,,,1,1,,,L4514c1,
331.433,,30172.0,50,,,,,,,,,,,1,1,,,L4514c1,
333.018,,30028.4,50,,,,,,,,,,,1,1,,,L4514c1,
333.253,,30007.2,75,,,,,,,,,,,1,1,,,L4514c1,
335.541,,29802.6,100,,,,,,,,,,,1,1,,,L4514c1,
336.700,,29700.1,300,,,,,,,,,,,1,1,,,L4514c1,
354.782,,28186.3,200,,,,,,,,,,,1,1,,,L4514c1,
367.026,,27246.0,300r,,,,,,,,,,,1,1,,,L4514c1,
367.590,,27204.2,200,,,,,,,,,,,1,1,,,L4514c1,
368.090,,27167.3,300r,,,,,,,,,,,1,1,,,L4514c1,
369.868,,27036.7,300r,,,,,,,,,,,1,1,,,L4514c1,
372.707,,26830.7,500,,,,,,,,,,,1,1,,,L4514c1,
373.949,,26741.6,200,,,,,,,,,,,1,1,,,L4514c1,
374.174,,26725.5,300,,,,,,,,,,,1,1,,,L4514c1,
374.403,,26709.2,300r,,,,,,,,,,,1,1,,,L4514c1,
376.275,,26576.3,200,,,,,,,,,,,1,1,,,L4514c1,
376.682,,26547.6,300,,,,,,,,,,,1,1,,,L4514c1,
377.649,,26479.6,300,,,,,,,,,,,1,1,,,L4514c1,
378.184,,26442.1,300,,,,,,,,,,,1,1,,,L4514c1,
378.250,,26437.5,200,,,,,,,,,,,1,1,,,L4514c1,
381.028,,26244.8,300r,,,,,,,,,,,1,1,,,L4514c1,
381.201,,26232.9,400,,,,,,,,,,,1,1,,,L4514c1,
384.061,,26037.5,300,,,,,,,,,,,1,1,,,L4514c1,
387.513,,25805.6,300,,,,,,,,,,,1,1,,,L4514c1,
388.689,,25727.5,300r,,,,,,,,,,,1,1,,,L4514c1,
389.207,,25693.3,250,,,,,,,,,,,1,1,,,L4514c1,
389.983,,25642.1,300,,,,,,,,,,,1,1,,,L4514c1,
395.588,,25278.8,300r,,,,,,,,,,,1,1,,,L4514c1,
405.771,,24644.5,200r,,,,,,,,,,,1,1,,,L4514c1,
408.646,,24471.0,200r,,,,,,,,,,,1,1,,,L4514c1,
426.552,,23443.8,300r,,,,,,,,,,,1,1,,,L4514c1,
428.558,,23334.1,300r,,,,,,,,,,,1,1,,,L4514c1,
430.685,,23218.8,200r,,,,,,,,,,,1,1,,,L4514c1,
432.001,,23148.1,400,,,,,,,,,,,1,1,,,L4514c1,
434.894,,22994.1,200,,,,,,,,,,,1,1,,,L4514c1,
436.515,,22908.7,350r,,,,,,,,,,,1,1,,,L4514c1,
437.087,,22878.8,300r,,,,,,,,,,,1,1,,,L4514c1,
438.972,,22780.5,400r,,,,,,,,,,,1,1,,,L4514c1,
441.066,,22672.4,400r,,,,,,,,,,,1,1,,,L4514c1,
441.371,,22656.7,500r,,,,,,,,,,,1,1,,,L4514c1,
443.711,,22537.2,250r,,,,,,,,,,,1,1,,,L4514c1,
443.780,,22533.7,300r,,,,,,,,,,,1,1,,,L4514c1,
443.993,,22522.9,300r,,,,,,,,,,,1,1,,,L4514c1,
446.941,,22374.3,250r,,,,,,,,,,,1,1,,,L4514c1,
447.984,,22322.2,350r,,,,,,,,,,,1,1,,,L4514c1,
448.286,,22307.2,300r,,,,,,,,,,,1,1,,,L4514c1,
448.631,,22290.0,300r,,,,,,,,,,,1,1,,,L4514c1,
449.176,,22263.0,300r,,,,,,,,,,,1,1,,,L4514c1,
450.159,,22214.4,350r,,,,,,,,,,,1,1,,,L4514c1,
450.810,,22182.3,250,,,,,,,,,,,1,1,,,L4514c1,
451.858,,22130.9,200,,,,,,,,,,,1,1,,,L4514c1,
452.459,,22101.5,200,,,,,,,,,,,1,1,,,L4514c1,
452.739,,22087.8,250r,,,,,,,,,,,1,1,,,L4514c1,
452.803,,22084.7,250r,,,,,,,,,,,1,1,,,L4514c1,
452.897,,22080.1,400r,,,,,,,,,,,1,1,,,L4514c1,
454.133,,22020.0,300,,,,,,,,,,,1,1,,,L4514c1,
454.269,,22013.4,300r,,,,,,,,,,,1,1,,,L4514c1,
454.302,,22011.8,450r,,,,,,,,,,,1,1,,,L4514c1,
454.535,,22000.5,500r,,,,,,,,,,,1,1,,,L4514c1,
454.644,,21995.2,200,,,,,,,,,,,1,1,,,L4514c1,
455.106,,21972.9,400r,,,,,,,,,,,1,1,,,L4514c1,
455.531,,21952.4,300r,,,,,,,,,,,1,1,,,L4514c1,
455.591,,21949.5,200,,,,,,,,,,,1,1,,,L4514c1,
455.662,,21946.1,500r,,,,,,,,,,,1,1,,,L4514c1,
455.734,,21942.6,200,,,,,,,,,,,1,1,,,L4514c1,
455.831,,21938.0,300,,,,,,,,,,,1,1,,,L4514c1,
456.049,,21927.5,300,,,,,,,,,,,1,1,,,L4514c1,
456.942,,21884.6,300r,,,,,,,,,,,1,1,,,L4514c1,
457.165,,21873.9,200,,,,,,,,,,,1,1,,,L4514c1,
457.343,,21865.4,300r,,,,,,,,,,,1,1,,,L4514c1,
457.655,,21850.5,400r,,,,,,,,,,,1,1,,,L4514c1,
457.956,,21836.1,300,,,,,,,,,,,1,1,,,L4514c1,
457.969,,21835.5,200r,,,,,,,,,,,1,1,,,L4514c1,
458.076,,21830.4,300r,,,,,,,,,,,1,1,,,L4514c1,
458.242,,21822.5,300,,,,,,,,,,,1,1,,,L4514c1,
