obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
213.969,,46735.6,250w,,,,,,,,,,,1,1,,,L3488,
222.136,,45017.4,300,,,,,,,,,,,1,1,,,L3489,
222.282,,44987.9,200,,,,,,,,,,,1,1,,,L3488,
234.533,,42638.0,250,,,,,,,,,,,1,1,,,L3488,
242.246,,41280.4,250,,,,,,,,,,,1,1,,,L3488,
242.683,,41206.1,300,,,,,,,,,,,1,1,,,L3488,
245.082,245.0818+,40802.6,1500w,,,0.00,40802.70,6p4,3P,2,6p3.(4S*).7s,3S*,1,5,3,,,L3488,
248.469,,40246.5,700,,,,,,,,,,,1,1,,,L3488,
249.128,,40140.0,700,,,,,,,,,,,1,1,,,L3488,
253.571,,39436.7,300,,,,,,,,,,,1,1,,,L3489,
255.810,,39091.6,300,,,,,,,,,,,1,1,,,L3489,
255.878,255.8776+,39081.2,1500w,,,0.00,39081.19,6p4,3P,2,6p3.(4S*).7s,5S*,2,5,5,,,L3489,
258.841,,38633.7,400,,,,,,,,,,,1,1,,,L3488,
264.615,,37790.8,300,,,,,,,,,,,1,1,,,L3489,
267.246,,37418.6,200,,,,,,,,,,,1,1,,,L3488,
276.274,,36196.0,600,,,,,,,,,,,1,1,,,L3488,
280.109,,35700.4,400,,,,,,,,,,,1,1,,,L3488,
282.494,,35399.0,250,,,,,,,,,,,1,1,,,L3488,
286.685,,34881.5,300,,,,,,,,,,,1,1,,,L3489,
292.016,,34244.6,400,,,,,,,,,,,1,1,,,L3489,
295.978,,33786.2,600,,,,,,,,,,,1,1,,,L3488,
300.409,300.4085+,33288.0,2500w,,,7514.69,40802.70,6p4,3P,0,6p3.(4S*).7s,3S*,1,1,3,,,L3488,
307.020,,32571.1,450,,,,,,,,,,,1,1,,,L3488,
318.994,,31348.5,400,,,,,,,,,,,1,1,,,L3488,
324.118,,30853.0,600,,,,,,,,,,,1,1,,,L3488,
328.733,,30419.9,250,,,,,,,,,,,1,1,,,L3488,
332.956,,30034.0,600,,,,,,,,,,,1,1,,,L3488,
386.302,,25886.4,500,,,,,,,,,,,1,1,,,L3489,
417.170,417.1692+,23971.1,1200,,,16831.61,40802.70,6p4,3P,1,6p3.(4S*).7s,3S*,1,3,3,,,L3488,
449.447,,22249.6,800,,,,,,,,,,,1,1,,,L3488,
461.273,,21679.1,350,,,,,,,,,,,1,1,,,L3488,
487.760,,20501.9,400,,,,,,,,,,,1,1,,,L3488,
532.471,,18780.4,350,,,,,,,,,,,1,1,,,L3488,
574.644,,17402.1,300,,,,,,,,,,,1,1,,,L3488,
796.481,,12555.23,600,,,,,,,,,,,1,1,,,L3488,
843.619,,11853.70,300,,,,,,,,,,,1,1,,,L3488,
862.063,,11600.08,500,,,,,,,,,,,1,1,,,L3489,
