obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
82.1887,0.0003,82.1888,121671.2,,,,12578.950,134250.1,4p6.5p,2P*,1/2,4p5.5s.5p,4S,3/2,2,4,,,L6831,
82.3496,0.0003,82.3496,121433.5,,,,12816.545,134250.1,4p6.5p,2P*,3/2,4p5.5s.5p,4S,3/2,4,4,,,L6831,
85.1419,0.0003,85.1417,117451.0,,,,19355.203,136806.4,4p6.4d,2D,5/2,4p5.5s.4d,4P*,5/2,6,6,,,L6831,
85.1419,0.0003,85.1421,117451.0,,,,19355.649,136806.4,4p6.4d,2D,3/2,4p5.5s.4d,4P*,5/2,4,6,,,L6831,
90.53,0.03,90.4691,110460,,,,23715.081,134250.1,4p6.6p,2P*,1/2,4p5.5s.5p,4S,3/2,2,4,,,L11806,
296.9912,0.0005,296.9909,33671.03,,,,0.000,33671.07,4p6.5s,2S,1/2,4p6.77p,2P*,1/2,2,2,,,L3287,
296.9912,0.0005,296.9909,33671.03,,,,0.000,33671.07,4p6.5s,2S,1/2,4p6.77p,2P*,3/2,2,4,,,L3287,
296.9952,0.0005,296.9949,33670.58,,,,0.000,33670.61,4p6.5s,2S,1/2,4p6.76p,2P*,3/2,2,4,,,L3287,
296.9952,0.0005,296.9949,33670.58,,,,0.000,33670.61,4p6.5s,2S,1/2,4p6.76p,2P*,1/2,2,2,,,L3287,
297.0005,0.0005,297.0002,33669.98,,,,0.000,33670.01,4p6.5s,2S,1/2,4p6.75p,2P*,3/2,2,4,,,L3287,
297.0005,0.0005,297.0002,33669.98,,,,0.000,33670.01,4p6.5s,2S,1/2,4p6.75p,2P*,1/2,2,2,,,L3287,
297.0062,0.0005,297.0059,33669.33,,,,0.000,33669.36,4p6.5s,2S,1/2,4p6.74p,2P*,1/2,2,2,,,L3287,
297.0062,0.0005,297.0059,33669.33,,,,0.000,33669.36,4p6.5s,2S,1/2,4p6.74p,2P*,3/2,2,4,,,L3287,
297.0112,0.0005,297.0110,33668.76,,,,0.000,33668.79,4p6.5s,2S,1/2,4p6.73p,2P*,3/2,2,4,,,L3287,
297.0112,0.0005,297.0110,33668.76,,,,0.000,33668.79,4p6.5s,2S,1/2,4p6.73p,2P*,1/2,2,2,,,L3287,
297.0172,0.0005,297.0170,33668.08,,,,0.000,33668.11,4p6.5s,2S,1/2,4p6.72p,2P*,3/2,2,4,,,L3287,
297.0172,0.0005,297.0170,33668.08,,,,0.000,33668.11,4p6.5s,2S,1/2,4p6.72p,2P*,1/2,2,2,,,L3287,
297.0226,0.0005,297.0224,33667.47,,,,0.000,33667.49,4p6.5s,2S,1/2,4p6.71p,2P*,1/2,2,2,,,L3287,
297.0226,0.0005,297.0224,33667.47,,,,0.000,33667.49,4p6.5s,2S,1/2,4p6.71p,2P*,3/2,2,4,,,L3287,
297.0289,0.0005,297.0287,33666.76,,,,0.000,33666.78,4p6.5s,2S,1/2,4p6.70p,2P*,3/2,2,4,,,L3287,
297.0289,0.0005,297.0287,33666.76,,,,0.000,33666.78,4p6.5s,2S,1/2,4p6.70p,2P*,1/2,2,2,,,L3287,
297.0354,0.0005,297.0352,33666.02,,,,0.000,33666.04,4p6.5s,2S,1/2,4p6.69p,2P*,3/2,2,4,,,L3287,
297.0354,0.0005,297.0352,33666.02,,,,0.000,33666.04,4p6.5s,2S,1/2,4p6.69p,2P*,1/2,2,2,,,L3287,
297.0421,0.0005,297.0419,33665.26,,,,0.000,33665.28,4p6.5s,2S,1/2,4p6.68p,2P*,3/2,2,4,,,L3287,
297.0421,0.0005,297.0419,33665.26,,,,0.000,33665.28,4p6.5s,2S,1/2,4p6.68p,2P*,1/2,2,2,,,L3287,
297.0492,0.0005,297.0490,33664.46,,,,0.000,33664.48,4p6.5s,2S,1/2,4p6.67p,2P*,1/2,2,2,,,L3287,
297.0492,0.0005,297.0490,33664.46,,,,0.000,33664.48,4p6.5s,2S,1/2,4p6.67p,2P*,3/2,2,4,,,L3287,
297.0567,0.0005,297.0565,33663.61,,,,0.000,33663.63,4p6.5s,2S,1/2,4p6.66p,2P*,3/2,2,4,,,L3287,
297.0567,0.0005,297.0565,33663.61,,,,0.000,33663.63,4p6.5s,2S,1/2,4p6.66p,2P*,1/2,2,2,,,L3287,
297.0586,0.0005,297.0644,33663.39,,,,0.000,33662.73,4p6.5s,2S,1/2,4p6.65p,2P*,3/2,2,4,,,L3287,
297.0586,0.0005,297.0644,33663.39,,,,0.000,33662.73,4p6.5s,2S,1/2,4p6.65p,2P*,1/2,2,2,,,L3287,
297.0728,0.0005,297.0726,33661.78,,,,0.000,33661.81,4p6.5s,2S,1/2,4p6.64p,2P*,1/2,2,2,,,L3287,
297.0728,0.0005,297.0726,33661.78,,,,0.000,33661.81,4p6.5s,2S,1/2,4p6.64p,2P*,3/2,2,4,,,L3287,
297.0815,0.0005,297.0813,33660.80,,,,0.000,33660.82,4p6.5s,2S,1/2,4p6.63p,2P*,3/2,2,4,,,L3287,
297.0815,0.0005,297.0813,33660.80,,,,0.000,33660.82,4p6.5s,2S,1/2,4p6.63p,2P*,1/2,2,2,,,L3287,
297.0905,0.0005,297.0903,33659.78,,,,0.000,33659.80,4p6.5s,2S,1/2,4p6.62p,2P*,3/2,2,4,,,L3287,
297.0905,0.0005,297.0903,33659.78,,,,0.000,33659.80,4p6.5s,2S,1/2,4p6.62p,2P*,1/2,2,2,,,L3287,
297.1003,0.0005,297.1001,33658.66,,,,0.000,33658.69,4p6.5s,2S,1/2,4p6.61p,2P*,1/2,2,2,,,L3287,
297.1003,0.0005,297.1001,33658.66,,,,0.000,33658.69,4p6.5s,2S,1/2,4p6.61p,2P*,3/2,2,4,,,L3287,
297.1104,0.0005,297.1102,33657.52,,,,0.000,33657.55,4p6.5s,2S,1/2,4p6.60p,2P*,3/2,2,4,,,L3287,
297.1104,0.0005,297.1102,33657.52,,,,0.000,33657.55,4p6.5s,2S,1/2,4p6.60p,2P*,1/2,2,2,,,L3287,
