obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
200.418,,49895.8,25000,,,,,,,L3475,
201.852,,49541.2,16000,,,,,,,L3475,
204.974,,48786.7,27000,,,,,,,L3475,
207.536,,48184.4,4200,,,,,,,L3475,
208.458,,47971.2,3700,,,,,,,L3475,
208.625,,47932.8,10000,,,,,,,L3475,
209.779,,47669.3,9800,,,,,,,L3475,
210.989,,47395.9,2700,,,,,,,L3475,
214.365,,46649.5,,,,,,,,L3475,
215.735,,46353.2,3700,,,,,,,L3475,
216.862,,46112.3,4900,,,,,,,L3475,
217.689,,45937.1,3400,,,,,,,L3475,
221.527,,45141.2,2200,,,,,,,L3475,
222.711,,44901.2,1700,,,,,,,L3475,
223.613,,44720.0,920,,,,,,,L3475,
225.643,,44317.8,440,,,,,,,L3475,
225.689,,44308.8,860,,,,,,,L3475,
226.509,,44148.3,2000,,,,,,,L3475,
227.532,,43949.8,2100,,,,,,,L3475,
228.232,,43815.0,1600,,,,,,,L3475,
228.822,,43702.2,2900,,,,,,,L3475,
229.520,,43569.2,2700,,,,,,,L3475,
230.048,,43469.2,390,,,,,,,L3475,
230.370,,43408.4,610,,,,,,,L3475,
230.725,,43341.6,680,,,,,,,L3475,
231.368,,43221.2,230,,,,,,,L3475,
231.405,,43214.3,220,,,,,,,L3475,
231.990,,43105.3,220,,,,,,,L3475,
232.087,,43087.2,370,,,,,,,L3475,
232.320,,43044.0,800,,,,,,,L3475,
232.937,,42930.0,300,,,,,,,L3475,
233.505,,42825.7,270,,,,,,,L3475,
233.645,,42800.0,270,,,,,,,L3475,
233.682,,42793.3,220,,,,,,,L3475,
233.867,,42759.4,270,,,,,,,L3475,
234.550,,42634.9,860,,,,,,,L3475,
235.011,,42551.2,230,,,,,,,L3475,
235.118,,42531.8,220bl,,,,,,,L3475,
235.279,,42502.7,680,,,,,,,L3475,
235.467,,42468.8,210bl,,,,,,,L3475,
235.722,,42422.8,250,,,,,,,L3475,
236.604,,42264.7,200,,,,,,,L3475,
236.662,,42254.3,1200,,,,,,,L3475,
236.840,,42222.5,570,,,,,,,L3475,
236.999,,42194.2,520,,,,,,,L3475,
237.224,,42154.2,210,,,,,,,L3475,
237.580,,42091.2,320,,,,,,,L3475,
238.050,,42008.1,370,,,,,,,L3475,
238.930,,41853.3,340,,,,,,,L3475,
239.438,,41764.5,230,,,,,,,L3475,
239.510,,41751.9,320,,,,,,,L3475,
239.752,,41709.8,320,,,,,,,L3475,
239.804,,41700.7,200,,,,,,,L3475,
240.145,,41641.5,210bl,,,,,,,L3475,
240.162,,41638.5,,,,,,,,L3475,
240.241,,41624.9,210,,,,,,,L3475,
240.579,,41566.4,1500,,,,,,,L3475,
240.633,,41557.0,740,,,,,,,L3475,
240.743,,41538.0,320,,,,,,,L3475,
241.110,,41474.8,270,,,,,,,L3475,
242.055,,41313.0,1200,,,,,,,L3475,
242.247,,41280.3,300,,,,,,,L3475,
242.262,,41277.7,300,,,,,,,L3475,
242.932,,41163.8,2500,,,,,,,L3475,
243.228,,41113.7,490,,,,,,,L3475,
243.292,,41102.9,420,,,,,,,L3475,
244.221,,40946.5,340c,,,,,,,L3475,
244.325,,40929.1,230,,,,,,,L3475,
244.568,,40888.4,250,,,,,,,L3475,
244.772,,40854.3,610,,,,,,,L3475,
245.045,,40808.8,610,,,,,,,L3475,
246.194,,40618.3,390,,,,,,,L3475,
247.977,,40326.3,200,,,,,,,L3475,
248.467,,40246.8,1200,,,,,,,L3475,
248.656,,40216.2,390,,,,,,,L3475,
248.808,,40191.6,980,,,,,,,L3475,
249.359,,40102.8,200,,,,,,,L3475,
249.679,,40051.4,370,,,,,,,L3475,
249.897,,40016.4,200,,,,,,,L3475,
250.247,,39960.5,370,,,,,,,L3475,
250.669,,39893.2,270,,,,,,,L3475,
250.975,,39844.7,1800c,,,,,,,L3475,
252.077,,39670.4,570,,,,,,,L3475,
252.226,,39647.0,540,,,,,,,L3475,
253.556,,39439.0,370,,,,,,,L3475,
254.127,,39350.4,570,,,,,,,L3475,
254.550,,39285.0,740bl,,,,,,,L3475,
254.624,,39273.5,370,,,,,,,L3475,
255.279,,39172.9,300,,,,,,,L3475,
255.728,,39104.1,1000,,,,,,,L3475,
255.985,,39064.8,250,,,,,,,L3475,
256.496,,38987.0,340,,,,,,,L3475,
258.756,,38646.4,380,,,,,,,L3475,
260.064,,38452.1,290,,,,,,,L3475,
260.467,,38392.6,290,,,,,,,L3475,
261.232,,38280.2,610bl,,,,,,,L3475,
262.354,,38116.4,200,,,,,,,L3475,
263.743,,37915.8,550,,,,,,,L3475,
264.354,,37828.1,270,,,,,,,L3475,
264.984,,37738.1,270,,,,,,,L3475,
265.269,,37697.6,660,,,,,,,L3475,
265.491,,37666.1,400,,,,,,,L3475,
266.442,,37531.6,220,,,,,,,L3475,
267.513,,37381.3,940,,,,,,,L3475,
268.933,,37184.0,220,,,,,,,L3475,
271.627,,36815.1,1300,,,,,,,L3475,
273.302,,36589.6,220,,,,,,,L3475,
275.882,,36247.4,220,,,,,,,L3475,
276.461,,36171.5,210,,,,,,,L3475,
276.721,,36137.5,200,,,,,,,L3475,
276.856,,36119.9,310,,,,,,,L3475,
276.967,,36105.4,220,,,,,,,L3475,
277.014,,36099.3,220,,,,,,,L3475,
277.124,,36085.0,350,,,,,,,L3475,
278.439,,35914.5,550,,,,,,,L3475,
279.211,,35815.2,220,,,,,,,L3475,
281.551,,35517.6,220,,,,,,,L3475,
282.078,,35451.2,880,,,,,,,L3475,
283.491,,35274.4,310,,,,,,,L3475,
283.838,,35231.3,200,,,,,,,L3475,
284.119,,35196.6,200,,,,,,,L3475,
284.384,,35163.8,220,,,,,,,L3475,
285.182,,35065.4,270,,,,,,,L3475,
286.803,,34867.1,240,,,,,,,L3475,
287.612,,34769.0,200,,,,,,,L3475,
288.429,,34670.6,200,,,,,,,L3475,
288.853,,34619.7,2900,,,,,,,L3475,
289.686,,34520.1,490,,,,,,,L3475,
290.333,,34443.2,830c,,,,,,,L3475,
290.643,,34406.5,210,,,,,,,L3475,
291.067,,34356.3,550,,,,,,,L3475,
292.828,,34149.8,830c,,,,,,,L3475,
293.147,,34112.6,270,,,,,,,L3475,
294.400,,33967.4,440,,,,,,,L3475,
296.314,,33748.0,270,,,,,,,L3475,
296.598,,33715.7,720,,,,,,,L3475,
296.663,,33708.3,1500,,,,,,,L3475,
297.716,,33589.1,310,,,,,,,L3475,
297.902,,33568.1,210,,,,,,,L3475,
298.169,,33538.0,220,,,,,,,L3475,
298.306,,33522.6,220,,,,,,,L3475,
298.934,,33452.2,220,,,,,,,L3475,
299.323,,33408.7,1800,,,,,,,L3475,
300.047,,33328.1,5500,,,,,,,L3475,
300.201,,33311.0,350,,,,,,,L3475,
300.502,,33277.7,220,,,,,,,L3475,
300.730,,33252.5,200,,,,,,,L3475,
