obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
207.709,207.7103+,48144.2,2400,,,0.00,48143.98,4d7.(a 4F).5s,a 5F,5,,31*,4,11,9,,,L3475,
208.443,208.4445+,47974.7,2600,,,1190.64,49165.05,4d7.(a 4F).5s,a 5F,4,,47*,4,9,9,,,L3475,
209.155,,47811.3,2400,,,,,,,,,,,1,1,,,L16319,
225.622,225.6226+,44321.9,690,,,0.00,44321.81,4d7.(a 4F).5s,a 5F,5,4d6.5s.(a 4D).5p,x 5F*,5,11,11,,,L3475,
226.023,226.0220+,44243.3,290,,,0.00,44243.49,4d7.(a 4F).5s,a 5F,5,4d6.5s.(a 4D).5p,w 5D*,4,11,9,,,L3475,
227.279,227.2800+,43998.7,780,,,0.00,43998.60,4d7.(a 4F).5s,a 5F,5,,2*(5G*),6,11,13,,,L3475,
227.889,227.8903+,43880.9,240,,,1190.64,45071.40,4d7.(a 4F).5s,a 5F,4,4d6.5s.(a 4D).5p,w 5D*,3,9,7,,,L3475,
228.0288,,43854.11,780,,,,,,,,,,,1,1,,,L16319,
228.609,228.6090+,43742.9,170,,,0.00,43742.81,4d7.(a 4F).5s,a 5F,5,,w 3G*,5,11,11,,,L3475,
230.325,230.3247+,43416.9,290,,,1190.64,44607.61,4d7.(a 4F).5s,a 5F,4,4d6.5s.(a 4D).5p,x 5F*,4,9,9,,,L3475,
231.851,231.8509+,43131.1,480,,,1190.64,44321.81,4d7.(a 4F).5s,a 5F,4,4d6.5s.(a 4D).5p,x 5F*,5,9,11,,,L3475,
232.272,232.2727+,43052.9,150,,,1190.64,44243.49,4d7.(a 4F).5s,a 5F,4,4d6.5s.(a 4D).5p,w 5D*,4,9,9,,,L3475,
234.141,234.1412+,42709.4,240,,,2091.54,44800.81,4d7.(a 4F).5s,a 5F,3,4d6.5s.(a 4D).5p,x 5F*,3,7,7,,,L3475,
235.006,235.0056+,42552.1,190,,,1190.64,43742.81,4d7.(a 4F).5s,a 5F,4,,w 3G*,5,9,11,,,L3475,
235.205,235.2052+,42516.1,310,,,2091.54,44607.61,4d7.(a 4F).5s,a 5F,3,4d6.5s.(a 4D).5p,x 5F*,4,7,9,,,L3475,
236.128,236.1272+,42349.9,140,,,2091.54,44441.59,4d7.(a 4F).5s,a 5F,3,,4*,3,7,7,,,L3475,
237.089,237.0895+,42178.2,170,,,2713.24,44891.40,4d7.(a 4F).5s,a 5F,2,,5*(5G*),2,5,5,,,L3475,
237.600,237.5998+,42087.6,240,,,2713.24,44800.81,4d7.(a 4F).5s,a 5F,2,4d6.5s.(a 4D).5p,x 5F*,3,5,7,,,L3475,
239.315,239.3151+,41785.9,160,,,3105.49,44891.40,4d7.(a 4F).5s,a 5F,1,,5*(5G*),2,3,5,,,L3475,
241.161,,41466.0,55,,,,,,,,,,,1,1,,,L16319,
242.1561,,41295.67,130,,,,,,,,,,,1,1,,,L16319,
242.366,242.3644+,41260.0,55,,,8043.69,49303.88?,4d7.(a 4P).5s,a 5P,2,,48*,3,5,7,,,L3475,
243.034,243.0325+,41146.6,45,,,8575.42,49722.18,4d6.5s2,a 5D,3,,52*,4,7,9,,,L3475,
243.367,243.3664+,41090.2,65,,,6545.03,47635.33,4d7.(a 4F).5s,a 3F,4,,23*,3,9,7,,,L3475,
244.819,244.8183+,40846.5,30,,,9492.37,50338.99,4d6.5s2,a 5D,0,,58*,1,1,3,,,L3475,
245.132,245.1323+,40794.3,30,,,6545.03,47339.32,4d7.(a 4F).5s,a 3F,4,4d7.(a 4F).6p?,s 3D*,3,9,7,,,L3475,
245.566,245.5664+,40722.2,65,,,8043.69,48765.88,4d7.(a 4P).5s,a 5P,2,,40*,3,5,7,,,L3475,
245.936,245.9365+,40660.9,65w,,,7483.07,48143.98,4d6.5s2,a 5D,4,,31*,4,9,9,,,L3475,
246.369,246.3683+,40589.6,55,,,8575.42,49165.05,4d6.5s2,a 5D,3,,47*,4,7,9,,,L3475,
246.545,246.5444+,40560.6,85,,,8043.69,48604.34,4d7.(a 4P).5s,a 5P,2,,39*,1,5,3,,,L3475,
247.479,247.4778+,40407.5,30,,,9620.29,50027.96,4d7.(a 4P).5s,a 5P,1,,56*,2,3,5,,,L3475,
247.616,247.6150+,40385.1,110,,,7483.07,47868.35,4d6.5s2,a 5D,4,,28*,3,9,7,,,L3475,
247.763,247.7615+,40361.2,100,,,8043.69,48405.09,4d7.(a 4P).5s,a 5P,2,,34*,3,5,7,,,L3475,
249.066,249.0661+,40150.0,30,,,6545.03,46695.02,4d7.(a 4F).5s,a 3F,4,,14*,4,9,9,,,L3475,
249.253,249.2509+,40119.9,18,,,9183.66,49303.88?,4d7.(a 4F).5s,a 3F,2,,48*,3,5,7,,,L3475,
249.477,249.4775+,40083.8,85,,,9057.64,49141.42,4d6.5s2,a 5D,2,,46*,3,5,7,,,L3475,
249.731,249.7314+,40043.0,65,,,7483.07,47526.09,4d6.5s2,a 5D,4,,22*,3,9,7,,,L3475,
250.0538,,39991.40,85,,,,,,,,,,,1,1,,,L16319,
250.903,250.9017+,39856.1,130,,,7483.07,47339.32,4d6.5s2,a 5D,4,4d7.(a 4F).6p?,s 3D*,3,9,7,,,L3475,
250.9822,,39843.47,110,,,,,,,,,,,1,1,,,L16319,
251.357,251.3559+,39784.1,110,,,8084.12,47868.35,4d7.(a 4F).5s,a 3F,3,,28*,3,7,7,,,L3475,
254.498,254.4987+,39293.0,280,,,8575.42,47868.35,4d6.5s2,a 5D,3,,28*,3,7,7,,,L3475,
254.743,254.7433+,39255.2,120,,,8084.12,47339.32,4d7.(a 4F).5s,a 3F,3,4d7.(a 4F).6p?,s 3D*,3,7,7,,,L3475,
255.025,255.0243+,39211.9,280,,,7483.07,46695.02,4d6.5s2,a 5D,4,,14*,4,9,9,,,L3475,
255.035,255.0336+,39210.4,550,,,6545.03,45755.55,4d7.(a 4F).5s,a 3F,4,4d7.(a 4F).6p?,w 3F*,4,9,9,,,L3475,
256.103,256.1022+,39046.8,130,,,8770.93,47817.84,4d7.(a 4P).5s,a 5P,3,,27*,4,7,9,,,L3475,
256.1613,,39037.91,120,,,,,,,,,,,1,1,,,L16319,
256.392,256.3915+,39002.8,110,,,8043.69,47046.54,4d7.(a 4P).5s,a 5P,2,,16*,3,5,7,,,L3475,
256.954,256.9537+,38917.5,160,,,7483.07,46400.58,4d6.5s2,a 5D,4,,13*,4,9,9,,,L3475,
257.1743,,38884.13,100,,,,,,,,,,,1,1,,,L16319,
257.934,257.9335+,38769.6,100,,,8575.42,47345.10,4d6.5s2,a 5D,3,,20*(5D*),2,7,5,,,L3475,
258.030,258.0302+,38755.1,100,,,8770.93,47526.09,4d7.(a 4P).5s,a 5P,3,,22*,3,7,7,,,L3475,
259.034,259.0334+,38604.9,100,,,9183.66,47788.72,4d7.(a 4F).5s,a 3F,2,,25*,3,5,7,,,L3475,
259.189,259.1892+,38581.8,170,,,8575.42,47157.28,4d6.5s2,a 5D,3,,17*,4,7,9,,,L3475,
259.280,259.2797+,38568.4,120,,,8770.93,47339.32,4d7.(a 4P).5s,a 5P,3,4d7.(a 4F).6p?,s 3D*,3,7,7,,,L3475,
259.448,259.4470+,38543.4,100,,,12816.69,51360.21,4d7.(a 2G).5s,a 3G,4,,61*,4,9,9,,,L3475,
259.563,259.5625+,38526.4,110,,,6545.03,45071.40,4d7.(a 4F).5s,a 3F,4,4d6.5s.(a 4D).5p,w 5D*,3,9,7,,,L3475,
260.984,260.9844+,38316.5,370,,,8084.12,46400.58,4d7.(a 4F).5s,a 3F,3,,13*,4,7,9,,,L3475,
261.285,261.2843+,38272.4,830,,,7483.07,45755.55,4d6.5s2,a 5D,4,4d7.(a 4F).6p?,w 3F*,4,9,9,,,L3475,
261.587,261.5871+,38228.2,100,,,8575.42,46803.60,4d6.5s2,a 5D,3,4d6.5s.(b 4P).5p,x 5P*,2,7,5,,,L3475,
263.208,263.2085+,37992.7,220,,,7483.07,45475.77,4d6.5s2,a 5D,4,,6*,3,9,7,,,L3475,
263.665,263.6641+,37927.0,220,,,9620.29,47547.33,4d7.(a 4P).5s,a 5P,1,4d7.(a 4F).6p?,s 3D*,2,3,5,,,L3475,
263.746,263.7454+,37915.3,170,,,12207.05,50122.41,4d7.(a 2G).5s,a 3G,5,,v 3G*,5,11,11,,,L3475,
264.112,264.1109+,37862.8,110,,,9183.66,47046.54,4d7.(a 4F).5s,a 3F,2,,16*,3,5,7,,,L3475,
264.375,264.3743+,37825.1,460,,,8575.42,46400.58,4d6.5s2,a 5D,3,,13*,4,7,9,,,L3475,
264.811,264.8100+,37762.8,110,,,9183.66,46946.58,4d7.(a 4F).5s,a 3F,2,4d7.(a 4F).6p?,w 3F*,3,5,7,,,L3475,
265.208,265.2077+,37706.3,110,,,8084.12,45790.41,4d7.(a 4F).5s,a 3F,3,4d6.5s.(a 4D).5p,w 5D*,2,7,5,,,L3475,
265.263,265.2628+,37698.4,330,,,6545.03,44243.49,4d7.(a 4F).5s,a 3F,4,4d6.5s.(a 4D).5p,w 5D*,4,9,9,,,L3475,
266.041,266.0400+,37588.2,400,,,7483.07,45071.40,4d6.5s2,a 5D,4,4d6.5s.(a 4D).5p,w 5D*,3,9,7,,,L3475,
266.555,266.5549+,37515.7,200,,,1190.64,38706.36,4d7.(a 4F).5s,a 5F,4,4d7.(a 4P).5p,y 5P*,3,9,7,,,L3475,
268.709,268.7089+,37215.0,220,,,8575.42,45790.41,4d6.5s2,a 5D,3,4d6.5s.(a 4D).5p,w 5D*,2,7,5,,,L3475,
270.214,270.2137+,37007.7,110,,,9183.66,46191.40,4d7.(a 4F).5s,a 3F,2,4d6.5s.(a 4D).5p,w 5D*,1,5,3,,,L3475,
270.363,270.3632+,36987.3,110,,,8084.12,45071.40,4d7.(a 4F).5s,a 3F,3,4d6.5s.(a 4D).5p,w 5D*,3,7,7,,,L3475,
271.000,271.0001+,36900.3,170,,,8575.42,45475.77,4d6.5s2,a 5D,3,,6*,3,7,7,,,L3475,
