obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
143.076,143.0758,0.0010,69893,10,,,0.000,69893.0,5p3,4S*,3/2,5p2.(3P).9d,,1/2?,4,2,,,L7406,
146.419,,,68297,10w?,,,,,,,,,,,1,1,,,L7406,
148.657,148.658005,0.000010,67269,20r,,,0.000,67268.493,5p3,4S*,3/2,5p2.(3P).6d,2D?,3/2,4,4,,,L7406,
149.136,149.135465,0.000010,67053,40w,,,0.000,67053.132,5p3,4S*,3/2,,67053,3/2,4,4,,,L7406,
151.257,151.255686,0.000010,66113,50r,,,0.000,66113.217,5p3,4S*,3/2,5p2.(3P).8s,4P,3/2,4,4,,,L7406,
153.274,153.272561,0.000010,65243,120r,,,0.000,65243.250,5p3,4S*,3/2,5p2.(1D).5d,2D,5/2,4,6,,,L7406,
153.506,153.50702,0.00010,65144,80r,,,0.000,65143.60,5p3,4S*,3/2,5p2.(3P).6d,4D,3/2?,4,4,,,L7406,
159.996,159.995576,0.000010,62502,80r,,,0.000,62501.728,5p3,4S*,3/2,5p2.(3P).6d,4F,5/2,4,6,,,L7406,
161.28,,,62000,200w,,,,,,,,,,,1,1,,,L7406,
162.33,,,61600,100w,,,,,,,,,,,1,1,,,L7406,
165.120,,,60562,50w,,,,,,,,,,,1,1,,,L7406,
166.26,166.2821,0.0010,60150,100w,,,8512.125,68650.9,5p3,2D*,3/2,5p2.(3P).8s,4P,5/2,4,6,,,L7406,
169.885,169.886327,0.000010,58863,50,,,0.000,58862.889,5p3,4S*,3/2,5p2.(3P).5d,4D,5/2,4,6,,,L7406,
171.693,,,58243,80r,,,,,,,,,,,1,1,,,L7406,
171.745,171.745531,0.000010,58226,150r,,,9854.018,68079.696,5p3,2D*,5/2,5p2.(3P).6d,2F,7/2,6,8,,,L7406,
172.343,172.34526,0.00010,58024,150r,,,8512.125,66535.19,5p3,2D*,3/2,,66535,"3/2,5/2",4,10,,,L7406,
173.619,173.619542,0.000010,57597,100r,,,0.000,57597.203,5p3,4S*,3/2,5p2.(3P).5d,4D,1/2,4,2,,,L7406,
175.779,175.780576,0.000010,56890,50,,,9854.018,66743.125,5p3,2D*,5/2,5p2.(3P).6d,4D,7/2,6,8,,,L7406,
176.576,176.58025,0.00010,56633,100w,,,8512.125,65143.60,5p3,2D*,3/2,5p2.(3P).6d,4D,3/2?,4,4,,,L7406,
178.087,178.088675,0.000010,56152,100r,,,0.000,56151.802,5p3,4S*,3/2,5p2.(3P).5d,4P,3/2,4,4,,,L7406,
178.824,178.826032,0.000010,55921,100r,,,8512.125,64432.395,5p3,2D*,3/2,5p2.(3P).7d,,3/2,4,4,,,L7406,
180.018,180.018715,0.000010,55550,150,,,9854.018,65403.798,5p3,2D*,5/2,5p2.(1D).5d,2F,7/2,6,8,,,L7406,
181.050,181.051304,0.000010,55233,50r,,,0.000,55232.963,5p3,4S*,3/2,5p2.(1D).6s,2D,3/2,4,4,,,L7406,
181.420,181.419247,0.000010,55121,80r,,,0.000,55120.943,5p3,4S*,3/2,5p2.(3P).5d,4F,5/2,4,6,,,L7406,
182.950,182.950188,0.000010,54660,100,,,9854.018,64513.705,5p3,2D*,5/2,5p2.(3P).6d,2F,5/2,6,6,,,L7406,
185.889,185.889348,0.000010,53796,60,,,9854.018,63649.462,5p3,2D*,5/2,5p2.(3P).7s,2P,3/2,6,4,,,L7406,
186.817,186.818267,0.000010,53528,50r,,,0.000,53527.956,5p3,4S*,3/2,5p2.(3P).5d,4F,3/2,4,4,,,L7406,
187.115,187.115360,0.000010,53443,300r,,,0.000,53442.967,5p3,4S*,3/2,5p2.(3P).5d,4P,5/2,4,6,,,L7406,
188.256,188.25677,0.00010,53119,150r,,,8512.125,61631.065,5p3,2D*,3/2,5p2.(3P).5d,2D,5/2,4,6,,,L7406,
189.128,189.12750,0.00010,52874,70,,,8512.125,61386.509,5p3,2D*,3/2,5p2.(3P).7s,2P,1/2,4,2,,,L7406,
189.939,189.94178,0.00010,52648,70,,,9854.018,62501.728,5p3,2D*,5/2,5p2.(3P).6d,4F,5/2,6,6,,,L7406,
192.708,192.70663,0.00010,51892,100,,,8512.125,60404.475,5p3,2D*,3/2,5p2.(3P).5d,,5/2,4,6,,,L7406,
195.039,195.03928,0.00010,51272,200r,,,9854.018,61125.741,5p3,2D*,5/2,5p2.(3P).5d,2F,7/2,6,8,,,L7406,
196.43,,,50910,80w,,,,,,,,,,,1,1,,,L7406,
198.605,198.60672,0.00010,50351,60,,,8512.125,58862.889,5p3,2D*,3/2,5p2.(3P).5d,4D,5/2,4,6,,,L7406,
202.465,202.46549,0.00010,49391.2,50,,,0.000,49391.133,5p3,4S*,3/2,5p2.(3P).6s,2P,3/2,4,4,,,L7406,
203.014,203.00838,0.00010,49257.6,60r,,,16395.359,65654.41,5p3,2P*,1/2,5p2.(1S).6s,2S,1/2?,2,2,,,L7406,
204.043,204.04469,0.00010,49009.4,70r,,,9854.018,58862.889,5p3,2D*,5/2,5p2.(3P).5d,4D,5/2,6,6,,,L7406,
205.023,205.02337,0.00010,48775.1,150r,,,8512.125,57287.052,5p3,2D*,3/2,5p2.(3P).5d,2F,5/2,4,6,,,L7406,
206.409,206.40661,0.00010,48447.5,50,,,16395.359,64843.421,5p3,2P*,1/2,5p2.(1D).5d,2D,3/2,2,4,,,L7406,
206.899,206.90044,0.00010,48332.7,1000r,1.81e+08,,0.000,48332.424,5p3,4S*,3/2,5p2.(3P).6s,4P,5/2,4,6,,T3880,L7406,
208.022,208.02568,0.00010,48071.8,100,,,18464.202,66535.19,5p3,2P*,3/2,,66535,"3/2,5/2",4,10,,,L7406,
209.908,209.90906,0.00010,47640.0,50r,,,8512.125,56151.802,5p3,2D*,3/2,5p2.(3P).5d,4P,3/2,4,4,,,L7406,
211.915,211.90837,0.00010,47188.7,80r,,,18464.202,65654.41,5p3,2P*,3/2,5p2.(1S).6s,2S,1/2?,4,2,,,L7406,
212.806,212.80645,0.00010,46991.1,100r,,,0.000,46991.058,5p3,4S*,3/2,5p2.(3P).6s,2P,1/2,4,2,,,L7406,
213.772,213.77092,0.00010,46778.7,50r,,,18464.202,65243.250,5p3,2P*,3/2,5p2.(1D).5d,2D,5/2,4,6,,,L7406,
214.036,214.03726,0.00010,46721.0,100r,1.74e+08,,8512.125,55232.963,5p3,2D*,3/2,5p2.(1D).6s,2D,3/2,4,4,,T3880,L7406,
214.250,214.25152,0.00010,46674.3,50r,,,9854.018,56528.132,5p3,2D*,5/2,5p2.(3P).5d,4F,7/2,6,8,,,L7406,
214.554,214.55168,0.00010,46608.4,100r,,,8512.125,55120.943,5p3,2D*,3/2,5p2.(3P).5d,4F,5/2,4,6,,,L7406,
215.959,215.95953,0.00010,46305.1,50,,,18464.202,64769.175,5p3,2P*,3/2,5p2.(3P).6d,4D,1/2,4,2,,,L7406,
217.649,217.64993,0.00010,45945.5,1500r,1.75e+08,,0.000,45945.340,5p3,4S*,3/2,5p2.(3P).6s,4P,3/2,4,4,,T3880,L7406,
217.987,217.98723,0.00010,45874.2,250r,2.39e+08,,9854.018,55728.264,5p3,2D*,5/2,5p2.(1D).6s,2D,5/2,6,6,,T3880,L7406,
220.201,220.19962,0.00010,45413.1,200r,,,16395.359,61808.698,5p3,2P*,1/2,5p2.(3P).5d,2D,3/2,2,4,,,L7406,
220.914,220.91185,0.00010,45266.5,300r,,,9854.018,55120.943,5p3,2D*,5/2,5p2.(3P).5d,4F,5/2,6,6,,,L7406,
222.142,222.14407,0.00010,45016.2,150r,,,8512.125,53527.956,5p3,2D*,3/2,5p2.(3P).5d,4F,3/2,4,4,,,L7406,
222.267,222.26593,0.00010,44990.9,100,,,16395.359,61386.509,5p3,2P*,1/2,5p2.(3P).7s,2P,1/2,2,2,,,L7406,
222.562,222.56427,0.00010,44931.3,120r,,,8512.125,53442.967,5p3,2D*,3/2,5p2.(3P).5d,4P,5/2,4,6,,,L7406,
226.321,226.31838,0.00010,44185.0,300r,,,16395.359,60580.899,5p3,2P*,1/2,5p2.(3P).6d,2D,3/2,2,4,,,L7406,
228.969,228.96951,0.00010,43674.1,120,,,9854.018,53527.956,5p3,2D*,5/2,5p2.(3P).5d,4F,3/2,6,4,,,L7406,
