obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
155.332,0.002,155.3321,0.0020,64378.2,"g,a",,,0.0000,64378.2,3d.4s2,2D,3/2,4s2.20f,2F*,5/2,4,6,,,L2110,
155.405,0.002,155.4052,0.0016,64348.0,"g,a",,,0.0000,64347.9,3d.4s2,2D,3/2,4s2.19f,2F*,5/2,4,6,,,L2110,
155.491,0.002,155.4910,0.0016,64312.4,"g,a",,,0.0000,64312.4,3d.4s2,2D,3/2,4s2.18f,2F*,5/2,4,6,,,L2110,
155.576,0.002,155.576,0.003,64277.3,"g,a*",,,168.3371,64445.6,3d.4s2,2D,5/2,4s2.23f,2F*,7/2,6,8,,,L2110,
155.576,0.002,155.576,0.003,64277.3,"g,a*",,,168.3371,64445.6,3d.4s2,2D,5/2,4s2.23f,2F*,5/2,6,6,,,L2110,
155.590,0.002,155.5904,0.0016,64271.5,"g,a",,,0.0000,64271.3,3d.4s2,2D,3/2,4s2.17f,2F*,5/2,4,6,,,L2110,
155.622,0.002,155.622,0.003,64258.3,"g,a*",,,168.3371,64426.6,3d.4s2,2D,5/2,4s2.22f,2F*,7/2,6,8,,,L2110,
155.622,0.002,155.622,0.003,64258.3,"g,a*",,,168.3371,64426.6,3d.4s2,2D,5/2,4s2.22f,2F*,5/2,6,6,,,L2110,
155.675,0.002,155.675,0.003,64236.4,"g,a*",,,168.3371,64404.7,3d.4s2,2D,5/2,4s2.21f,2F*,7/2,6,8,,,L2110,
155.675,0.002,155.675,0.003,64236.4,"g,a*",,,168.3371,64404.7,3d.4s2,2D,5/2,4s2.21f,2F*,5/2,6,6,,,L2110,
155.813,0.002,155.8128,0.0016,64179.5,"g,a*",,,168.3371,64347.9,3d.4s2,2D,5/2,4s2.19f,2F*,5/2,6,6,,,L2110,
155.813,0.002,155.813,0.003,64179.5,"g,a*",,,168.3371,64347.8,3d.4s2,2D,5/2,4s2.19f,2F*,7/2,6,8,,,L2110,
155.862,0.002,155.8608,0.0017,64159.3,"g,a",,,0.0000,64159.8,3d.4s2,2D,3/2,4s2.15f,2F*,5/2,4,6,,,L2110,
155.899,0.002,155.899,0.003,64144.1,"g,a*",,,168.3371,64312.4,3d.4s2,2D,5/2,4s2.18f,2F*,7/2,6,8,,,L2110,
155.899,0.002,155.8991,0.0016,64144.1,"g,a*",,,168.3371,64312.4,3d.4s2,2D,5/2,4s2.18f,2F*,5/2,6,6,,,L2110,
156.000,0.002,155.9990,0.0016,64102.6,"g,a*",,,168.3371,64271.3,3d.4s2,2D,5/2,4s2.17f,2F*,5/2,6,6,,,L2110,
156.000,0.002,156.000,0.003,64102.6,"g,a*",,,168.3371,64270.9,3d.4s2,2D,5/2,4s2.17f,2F*,7/2,6,8,,,L2110,
156.039,0.002,156.0396,0.0016,64086.5,"g,a",,,0.0000,64086.3,3d.4s2,2D,3/2,4s2.14f,2F*,5/2,4,6,,,L2110,
156.267,0.002,156.2644,0.0022,63993.0,"g,a*",,,0.0000,63994.1,3d.4s2,2D,3/2,4s2.13f,2F*,5/2,4,6,,,L2110,
156.267,0.002,156.267,0.003,63993.0,"g,a*",,,168.3371,64161.4,3d.4s2,2D,5/2,4s2.15f,2F*,7/2,6,8,,,L2110,
156.267,0.002,156.2708,0.0017,63993.0,"g,a*",,,168.3371,64159.8,3d.4s2,2D,5/2,4s2.15f,2F*,5/2,6,6,,,L2110,
156.452,0.002,156.4505,0.0016,63917.4,"g,a*",,,168.3371,64086.3,3d.4s2,2D,5/2,4s2.14f,2F*,5/2,6,6,,,L2110,
156.452,0.002,156.452,0.003,63917.4,"g,a*",,,168.3371,64085.7,3d.4s2,2D,5/2,4s2.14f,2F*,7/2,6,8,,,L2110,
156.547,0.002,156.5472,0.0016,63878.6,"g,a",,,0.0000,63878.5,3d.4s2,2D,3/2,4s2.12f,2F*,5/2,4,6,,,L2110,
156.675,0.002,156.675,0.003,63826.4,"g,a*",,,168.3371,63994.7,3d.4s2,2D,5/2,4s2.13f,2F*,7/2,6,8,,,L2110,
156.675,0.002,156.6765,0.0022,63826.4,"g,a*",,,168.3371,63994.1,3d.4s2,2D,5/2,4s2.13f,2F*,5/2,6,6,,,L2110,
156.913,0.002,156.9127,0.0016,63729.6,"g,a",,,0.0000,63729.7,3d.4s2,2D,3/2,4s2.11f,2F*,5/2,4,6,,,L2110,
156.961,0.002,156.9608,0.0016,63710.1,"g,a*",,,168.3371,63878.5,3d.4s2,2D,5/2,4s2.12f,2F*,5/2,6,6,,,L2110,
156.961,0.002,156.961,0.003,63710.1,"g,a*",,,168.3371,63878.4,3d.4s2,2D,5/2,4s2.12f,2F*,7/2,6,8,,,L2110,
157.328,0.002,157.328,0.003,63561.5,"g,a*",,,168.3371,63729.8,3d.4s2,2D,5/2,4s2.11f,2F*,7/2,6,8,,,L2110,
157.328,0.002,157.3283,0.0016,63561.5,"g,a*",,,168.3371,63729.7,3d.4s2,2D,5/2,4s2.11f,2F*,5/2,6,6,,,L2110,
157.398,0.002,157.3980,0.0016,63533.2,"g,a",,,0.0000,63533.2,3d.4s2,2D,3/2,4s2.10f,2F*,5/2,4,6,,,L2110,
157.816,0.002,157.816,0.003,63364.9,"g,a*",,,168.3371,63533.3,3d.4s2,2D,5/2,4s2.10f,2F*,7/2,6,8,,,L2110,
157.816,0.002,157.8162,0.0016,63364.9,"g,a*",,,168.3371,63533.2,3d.4s2,2D,5/2,4s2.10f,2F*,5/2,6,6,,,L2110,
158.061,0.002,158.0605,0.0016,63266.7,"g,a",,,0.0000,63266.9,3d.4s2,2D,3/2,4s2.9f,2F*,5/2,4,6,,,L2110,
158.481,0.002,158.481,0.003,63099.0,"g,a*",,,168.3371,63267.4,3d.4s2,2D,5/2,4s2.9f,2F*,7/2,6,8,,,L2110,
158.481,0.002,158.4822,0.0016,63099.0,"g,a*",,,168.3371,63266.9,3d.4s2,2D,5/2,4s2.9f,2F*,5/2,6,6,,,L2110,
159.016,0.002,159.0166,0.0016,62886.8,"g,a",,,0.0000,62886.5,3d.4s2,2D,3/2,4s2.8f,2F*,5/2,4,6,,,L2110,
