obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
125.528,,79664,10,,,,,,,,,,,1,1,,,L3521,
125.649,,79587,40,,,,,,,,,,,1,1,,,L3521,
125.880,,79441,50,,,,,,,,,,,1,1,,,L3521,
157.387,,63538,50,,,,,,,,,,,1,1,,,L3521,
157.482,,63499,50,,,,,,,,,,,1,1,,,L3521,
,158.9173,62925.8,,4.44e+07,E,0.000,62925.80,3s2.3p2,3P,0,3s2.3p.6d,3D*,1,1,3,,T6066LS,,
,159.1123,62848.7,,3.32e+07,E,77.115,62925.80,3s2.3p2,3P,1,3s2.3p.6d,3D*,1,3,3,,T6066LS,,
159.241,,62798,50,,,,,,,,,,,1,1,,,L3521,
159.455,,62714,150,,,,,,,,,,,1,1,,,L3521,
,159.4566,62713.0,,7.91e+07,D,223.157,62936.14,3s2.3p2,3P,2,3s2.3p.6d,3D*,3,5,7,,T6066LS,,
,159.4829,62702.6,,2.19e+06,E,223.157,62925.80,3s2.3p2,3P,2,3s2.3p.6d,3D*,1,5,3,,T6066LS,,
159.493,,62699,50,,,,,,,,,,,1,1,,,L3521,
,159.4950,62697.9,,5.92e+07,E,77.115,62774.99,3s2.3p2,3P,1,3s2.3p.6d,3D*,2,3,5,,T6066LS,,
159.795,,62580,30,,,,,,,,,,,1,1,,,L3521,
,159.8674,62551.8,,1.96e+07,E,223.157,62774.99,3s2.3p2,3P,2,3s2.3p.6d,3D*,2,5,5,,T6066LS,,
162.287,,61619,100,,,,,,,,,,,1,1,,,L3521,
162.571,162.5705,61512,30,7.16e+07,E,0.000,61511.77,3s2.3p2,3P,0,3s2.3p.5d,3D*,1,1,3,,T8363,L3521,
,162.7746,61434.7,,5.34e+07,E,77.115,61511.77,3s2.3p2,3P,1,3s2.3p.5d,3D*,1,3,3,,T8363,,
162.943,162.9441,61371,300,8.73e+07,C,77.115,61447.86,3s2.3p2,3P,1,3s2.3p.5d,3D*,2,3,5,,T5071,L3521,
162.992,,61353,200,,,,,,,,,,,1,1,,,L3521,
,162.9948,61351.7,,2.11e+08,C,223.157,61574.814,3s2.3p2,3P,2,3s2.3p.5d,3D*,3,5,7,,T5071,,
163.113,,61307,75,,,,,,,,,,,1,1,,,L3521,
,163.1624,61288.6,,3.54e+06,E,223.157,61511.77,3s2.3p2,3P,2,3s2.3p.5d,3D*,1,5,3,,T8363,,
,163.3328,61224.7,,1.12e+07,D,223.157,61447.86,3s2.3p2,3P,2,3s2.3p.5d,3D*,2,5,5,,T5071,,
163.398,,61200,50,,,,,,,,,,,1,1,,,L3521,
165.335,,60483,30w,,,,,,,,,,,1,1,,,L3521,
,166.0475,60223.7,,7.67e+06,D,77.115,60300.860,3s2.3p2,3P,1,3s2.3p.5d,1D*,2,3,5,,T5071,,
166.452,,60077,30,,,,,,,,,,,1,1,,,L3521,
166.637,166.6376,60011,50,1.75e+07,D,0.000,60010.458,3s2.3p2,3P,0,3s2.3p.nd,a 3P*,1,1,3,,T5071,L3521,
166.762,166.7629,59966,100,8.27e+07,E,77.115,60042.50,3s2.3p2,3P,1,3s2.3p.nd,a 3P*,0,3,1,,T8363,L3521,
166.852,166.8520,59933,100,2.58e+07,D,77.115,60010.458,3s2.3p2,3P,1,3s2.3p.nd,a 3P*,1,3,3,,T5071,L3521,
