obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
165.54,0.03,,,60408,200000,,,,,,,,,,,1,1,,,L7363,
168.85,0.03,,,59224,400000,,,,,,,,,,,1,1,,,L7363,
169.990,0.003,169.990112,0.000017,58827,1200000,4.08e+08,,0.000,58826.951,5p4,3P,2,5p3.(4S*).5d,3D*,3,5,7,,T7227,"L5704,L5789,L7363,L3682",
170.806,0.003,170.805538,0.000017,58546,240000,,,4750.712,63296.823,5p4,3P,1,5p3.(2D*).5d,3P*,2,3,5,,,"L5704,L5789,L7363,L3682",
175.088,0.003,175.087788,0.000018,57114,850000,,,0.000,57114.206,5p4,3P,2,5p3.(2D*).6s,1D*,2,5,5,,,"L5704,L5789,L7363,L3682",
175.9232,0.0025,175.924587,0.000018,56843.0,420000,,,0.000,56842.538,5p4,3P,2,5p3.(2D*).6s,3D*,3,5,7,,,"L5789,L7363,L5704,L3682",
177.50,0.03,,,56338,350000,,,,,,,,,,,1,1,,,L7363,
179.604,0.003,179.605049,0.000019,55678,640000,,,0.000,55677.722,5p4,3P,2,5p3.(4S*).5d,5D*,3,5,7,,,"L5704,L5789,L7363,L3682",
182.2151,0.0025,182.215511,0.000019,54880.2,3400000,,,0.000,54880.070,5p4,3P,2,5p3.(2D*).6s,3D*,2,5,5,,,"L5789,L7363,L5704,L3682",
182.55,0.03,,,54780,260000,,,,,,,,,,,1,1,,,L7363,
185.0481,0.0025,185.049554,0.000020,54040.0,190000,,,4706.495,58746.074,5p4,3P,0,5p3.(4S*).5d,3D*,1,1,3,,,"L5789,L7363,L5704,L3682",
185.2013,0.0025,185.201092,0.000020,53995.3,190000,,,4750.712,58746.074,5p4,3P,1,5p3.(4S*).5d,3D*,1,3,3,,,"L5789,L7363,L5704,L3682",
185.371,0.003,,,53946,180000,,,,,,,,,,,1,1,,,"L5704,L7363",
185.7279,0.0025,185.729572,0.000020,53842.2,500000,,,4750.712,58592.434,5p4,3P,1,5p3.(4S*).5d,3D*,2,3,5,,,"L5789,L7363,L5704,L3682",
186.050,0.003,186.045605,0.000020,53749,61000,,,10557.877,64308.139,5p4,1D,2,5p3.(2D*).5d,1P*,1,5,3,,,"L5704,L7363,L3682",
199.4841,0.0025,199.483903,0.000023,50129.3,320000,,,4750.712,54880.070,5p4,3P,1,5p3.(2D*).6s,3D*,2,3,5,,,"L5789,L7363,L5704,L3682,L3475",
200.091,0.003,200.090477,0.000023,49977,190000,,,4706.495,54683.886,5p4,3P,0,5p3.(2D*).6s,3D*,1,1,3,,,"L5704,L5789,L5813,L7363,L3682",
200.2667,0.0025,200.267662,0.000023,49933.4,530000,,,4750.712,54683.886,5p4,3P,1,5p3.(2D*).6s,3D*,1,3,3,,,"L5789,L5704,L3475,L5813",
207.172,0.003,207.17199,0.00003,48269.1,90000,,,10557.877,58826.951,5p4,1D,2,5p3.(4S*).5d,3D*,3,5,7,,,"L5813,L5704,L7363,L3682",
208.183,0.003,208.18345,0.00003,48034.7,340000,,,10557.877,58592.434,5p4,1D,2,5p3.(4S*).5d,3D*,2,5,5,,,"L5813,L3475,L5704,L7363",
214.349,0.002,214.34969,0.00003,46655.0,7400000,3.12e+08,,0.000,46652.738,5p4,3P,2,5p3.(4S*).6s,3S*,1,5,3,,T7227,"L3475,L5813,L5789,L5704,L7363",
214.793,0.002,214.79357,0.00003,46558.50021,190000,,,10557.877,57114.206,5p4,1D,2,5p3.(2D*).6s,1D*,2,5,5,,,"L3475,L5813,L7363,L5704",
216.054,0.003,216.05430,0.00003,46284.7,77000,,,10557.877,56842.538,5p4,1D,2,5p3.(2D*).6s,3D*,3,5,7,,,"L5813,L3475,L7363,L5704",
220.952,0.003,220.94841,0.00003,45258.7,58000,,,10557.877,55817.311,5p4,1D,2,5p3.(4S*).5d,5D*,2,5,5,,,"L17457,L7363,L5813,L5704,L3682",
225.622,0.003,225.62061,0.00003,44322.0,130000,,,10557.877,54880.070,5p4,1D,2,5p3.(2D*).6s,3D*,2,5,5,,,"L5813,L7363,L17457,L5704,L3682",
225.973,0.002,225.97338,0.00003,44254.6,970000,1.28e+07,,0.000,44253.000,5p4,3P,2,5p3.(4S*).6s,5S*,2,5,5,,T7227,"L3475,L5813,L5704,L17457,L7363",
226.623,0.003,226.62371,0.00003,44126.1,140000,,,10557.877,54683.886,5p4,1D,2,5p3.(2D*).6s,3D*,1,5,3,,,"L5813,L17457,L7363,L3682",
238.401,0.003,238.40037,0.00003,41946.2,930000,4.04e+07,,4706.495,46652.738,5p4,3P,0,5p3.(4S*).6s,3S*,1,1,3,,T7227,"L5813,L3475,L17457,L7363",
238.652,0.003,238.65194,0.00003,41902.0,1200000,8.08e+07,,4750.712,46652.738,5p4,3P,1,5p3.(4S*).6s,3S*,1,3,3,,T7227,"L5813,L3475,L17457,L7363",
253.150,0.003,253.14989,0.00004,39502.3,190000,1.09e+06,,4750.712,44253.000,5p4,3P,1,5p3.(4S*).6s,5S*,2,3,5,,T7227,"L5813,L3475,L17457,L7363",
267.793,0.002,,,37343.2503,98000,,,,,,,,,,,1,1,,,"L3475,L17457",
277.047,0.002,277.04775,0.00004,36095.0,57000,,,10557.877,46652.738,5p4,1D,2,5p3.(4S*).6s,3S*,1,5,3,,,"L7363,L17457,L5813,L3682",
317.607,0.003,317.60658,0.00006,31485.5,3400,,,23198.392,54683.886,5p4,1S,0,5p3.(2D*).6s,3D*,1,1,3,,,"L7363,L3475,L5813,L17457",
508.430,0.003,508.42757,0.00018,19668.4,130,,,44253.000,63921.485,5p3.(4S*).6s,5S*,2,5p3.(4S*).7p,3P,2,5,5,,,"L5813,L3315,L3682",
515.020,0.003,515.01410,0.00019,19416.7,130,,,44253.000,63669.944,5p3.(4S*).6s,5S*,2,5p3.(4S*).7p,b 5P,1,5,3,,,"L5813,L3315,L3682",
