obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
235.48913,235.489524,0.000012,42464.805,50,,,530.351,42995.085,4d.5s2,a 2D,5/2,4d2.(1G).5p,v 2F*,7/2,6,8,,,"L7610,L3475",
249.1154,249.115528,0.000014,40142.03,25,,,530.351,40672.369,4d.5s2,a 2D,5/2,4d2.(3P).5p,v 2D*,5/2,6,6,,,"L7610,L3475",
268.2461,268.24622,0.00009,37279.21,20,,,0.000,37279.183,4d.5s2,a 2D,3/2,4d2.(1D).5p,w 2F*,5/2,4,6,,,"L7610,L3475",
269.5000,269.50021,0.00008,37105.76,60,,,0.000,37105.723,4d.5s2,a 2D,3/2,5s2.(1S).6p,2P*,1/2,4,2,,,"L7610,L3475",
269.6181,269.618246,0.000016,37089.50,26,,,530.351,37619.829,4d.5s2,a 2D,5/2,4d2.(1D).5p,w 2F*,7/2,6,8,,,"L7610,L3475",
272.3799,272.379882,0.000023,36713.43,95,,,530.351,37243.782,4d.5s2,a 2D,5/2,4d2.(1D).5p,w 2P*,3/2,6,4,,,"L7610,L3475",
273.08956,273.089543,0.000024,36618.024,22,,,530.351,37148.377,4d.5s2,a 2D,5/2,4d2.(3P).5p,y 4P*,3/2,6,4,,,"L7610,L3475",
274.33131,274.33115,0.00008,36452.274,70,6.6e+05,B,0.000,36452.295,4d.5s2,a 2D,3/2,4d2.(1D).5p,w 2D*,3/2,4,4,,T9421,"L7610,L3475",
276.0889,276.088500,0.000017,36220.22,140,,,530.351,36750.621,4d.5s2,a 2D,5/2,4d2.(1D).5p,w 2D*,5/2,6,6,,,"L7610,L3475",
279.2017,279.20165,0.00008,35816.40,12,,,0.000,35816.407,4d.5s2,a 2D,3/2,4d2.(3P).5p,x 4D*,3/2,4,4,,,"L7610,L3475",
281.4486,281.44840,0.00003,35530.47,26,,,530.351,36060.842,4d.5s2,a 2D,5/2,4d2.(3P).5p,x 4D*,5/2,6,6,,,"L7610,L3475",
281.9680,281.96808,0.00003,35465.02,18,,,10529.169,45994.176,5s2.5p,z 2P*,1/2,5p2.(3P).4d?,f 2P,3/2,2,4,,,"L7610,L3475",
282.339629,282.33963,0.00003,35418.3365,45,,,10529.169,45947.505,5s2.5p,z 2P*,1/2,5p2.(3P).4d?,f 2P,1/2,2,2,,,"L7610,L3475",
288.73012,288.73012,0.00003,34634.419,95,1.72e+06,C+,11359.757,45994.176,5s2.5p,z 2P*,3/2,5p2.(3P).4d?,f 2P,3/2,4,4,,T9421,"L7610,L3475",
