obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
53.028,0.004,53.028,0.004,188580,15a,,,0.0000,188580,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).14d,1P*,1,1,3,,,L4256,
53.057,0.004,53.057,0.004,188477,15a,,,0.0000,188477,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).13d,1P*,1,1,3,,,L4256,
53.100,0.004,53.100,0.004,188324,15a,,,0.0000,188324,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).12d,1P*,1,1,3,,,L4256,
53.155,0.004,53.155,0.004,188129,2a,,,0.0000,188129,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).11d,1P*,1,1,3,,,L4256,
53.231,0.004,53.231,0.004,187860,2a,,,0.0000,187860,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).10d,1P*,1,1,3,,,L4256,
53.301,0.004,53.301,0.004,187614,70a,,,0.0000,187614,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).11s,1P*,1,1,3,,,L4256,
53.333,0.004,53.333,0.004,187501,2a,,,0.0000,187501,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).9d,1P*,1,1,3,,,L4256,
53.437,0.004,53.437,0.004,187136,2a,,,0.0000,187136,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).10s,1P*,1,1,3,,,L4256,
53.496,0.004,53.496,0.004,186930,2a,,,0.0000,186930,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).8d,1P*,1,1,3,,,L4256,
53.673,0.004,53.673,0.004,186313,2a,,,0.0000,186313,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).9s,1P*,1,1,3,,,L4256,
53.735,0.004,53.735,0.004,186098,2a,,,0.0000,186098,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).7d,1P*,1,1,3,,,L4256,
53.992,0.010,53.992,0.009,185210,2aBq,,,0.0000,185213,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).8s,1P*,1,1,3,,,L4256,
54.157,0.004,54.157,0.004,184648,2a,,,0.0000,184648,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).6d,1P*,1,1,3,,,L4256,
54.637,0.010,54.637,0.009,183030,3aBq,,,0.0000,183026,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).7s,1P*,1,1,3,,,L4256,
54.870,0.004,54.870,0.004,182249,2aq,,,0.0000,182249,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).5d,1P*,1,1,3,,,L4256,
56.039,0.010,56.039,0.009,178450,4aBq,,,0.0000,178447,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).6s,1P*,1,1,3,,,L4256,
56.481,0.004,56.481,0.004,177051,3a,,,0.0000,177051,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).4d,1P*,1,1,3,,,L4256,
60.089,0.020,60.089,0.022,166420,7aBq,,,0.0000,166420,3d10.4s2,1S,0,3d9.(2D).4s.4p.(3P*).5s,1P*,1,1,3,,,L4256,
61.360,0.008,61.360,0.008,162973,500a,,,0.0000,162973,3d10.4s2,1S,0,3d10.5s.12p,1P*,1,1,3,,,L4256,
61.468,0.008,61.468,0.008,162686,100a,,,0.0000,162686,3d10.4s2,1S,0,3d10.5s.11p,1P*,1,1,3,,,L4256,
61.626,0.008,61.626,0.008,162269,100a,,,0.0000,162269,3d10.4s2,1S,0,3d10.5s.10p,1P*,1,1,3,,,L4256,
61.860,0.008,61.860,0.008,161655,110a,,,0.0000,161655,3d10.4s2,1S,0,3d10.5s.9p,1P*,1,1,3,,,L4256,
62.201,0.008,62.201,0.008,160769,600a,,,0.0000,160769,3d10.4s2,1S,0,3d10.5s.8p,1P*,1,1,3,,,L4256,
62.691,0.008,62.691,0.008,159513,1200a,,,0.0000,159513,3d10.4s2,1S,0,3d10.5s.7p,1P*,1,1,3,,,L4256,
70.8957,0.0004,70.8957,0.0006,141052.3,a,,,0.0000,141052.3,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.28p,2[1/2]*,1,1,3,,,L6852,
70.8957,0.0004,70.8957,0.0006,141052.3,a,,,0.0000,141052.3,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.28p,2[3/2]*,1,1,3,,,L6852,
70.9017,0.0004,70.9017,0.0006,141040.3,a,,,0.0000,141040.3,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.27p,2[3/2]*,1,1,3,,,L6852,
70.9017,0.0004,70.9017,0.0006,141040.3,a,,,0.0000,141040.3,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.27p,2[1/2]*,1,1,3,,,L6852,
70.9093,0.0004,70.9093,0.0006,141025.2,a,,,0.0000,141025.2,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.26p,2[3/2]*,1,1,3,,,L6852,
70.9093,0.0004,70.9093,0.0006,141025.2,a,,,0.0000,141025.2,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.26p,2[1/2]*,1,1,3,,,L6852,
70.9185,0.0004,70.9185,0.0006,141006.9,a,,,0.0000,141006.9,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.25p,2[1/2]*,1,1,3,,,L6852,
70.9185,0.0004,70.9185,0.0006,141006.9,a,,,0.0000,141006.9,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.25p,2[3/2]*,1,1,3,,,L6852,
70.9287,0.0004,70.9287,0.0006,140986.7,a,,,0.0000,140986.7,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.24p,2[3/2]*,1,1,3,,,L6852,
70.9287,0.0004,70.9287,0.0006,140986.7,a,,,0.0000,140986.7,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.24p,2[1/2]*,1,1,3,,,L6852,
70.9405,0.0004,70.9405,0.0006,140963.2,a,,,0.0000,140963.2,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.23p,2[3/2]*,1,1,3,,,L6852,
70.9405,0.0004,70.9405,0.0006,140963.2,a,,,0.0000,140963.2,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.23p,2[1/2]*,1,1,3,,,L6852,
70.9532,0.0004,70.9532,0.0006,140938.0,a,,,0.0000,140938.0,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.22p,2[1/2]*,1,1,3,,,L6852,
70.9532,0.0004,70.9532,0.0006,140938.0,a,,,0.0000,140938.0,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.22p,2[3/2]*,1,1,3,,,L6852,
70.9693,0.0004,70.9693,0.0006,140906.0,a,,,0.0000,140906.0,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.21p,2[3/2]*,1,1,3,,,L6852,
70.9693,0.0004,70.9693,0.0006,140906.0,a,,,0.0000,140906.0,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.21p,2[1/2]*,1,1,3,,,L6852,
70.9873,0.0004,70.9873,0.0006,140870.3,a,,,0.0000,140870.3,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.20p,2[3/2]*,1,1,3,,,L6852,
70.9873,0.0004,70.9873,0.0006,140870.3,a,,,0.0000,140870.3,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.20p,2[1/2]*,1,1,3,,,L6852,
71.0092,0.0004,71.0092,0.0006,140826.8,a,,,0.0000,140826.8,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.19p,2[3/2]*,1,1,3,,,L6852,
71.0092,0.0004,71.0092,0.0006,140826.8,a,,,0.0000,140826.8,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.19p,2[1/2]*,1,1,3,,,L6852,
71.0292,0.0004,71.0292,0.0004,140787.2,a,,,0.0000,140787.2,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.16f,2[3/2]*,1,1,3,,,L6852,
71.0348,0.0004,71.0348,0.0006,140776.1,a,,,0.0000,140776.1,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.18p,2[3/2]*,1,1,3,,,L6852,
71.0348,0.0004,71.0348,0.0006,140776.1,a,,,0.0000,140776.1,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.18p,2[1/2]*,1,1,3,,,L6852,
71.0590,0.0004,71.0590,0.0004,140728.1,a,,,0.0000,140728.1,3d10.4s2,1S,0,3d9.(2D<3/2>).4s2.15f,2[3/2]*,1,1,3,,,L6852,
