Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
150.737,150.7370,0.0014,"50r,h",,,0.000000,-,66 340.7,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
151.563,151.5629,0.0023,"100r,h",,,0.000000,-,65 979.2,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
154.858,154.8575,0.0010,"50r,h",,,0.000000,-,64 575.5,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4D°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
165.187,165.1870,0.0003,60w,,,0.000000,-,60 537.45,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
170.811,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
170.926,170.926771,0.000015,50,,,0.000000,-,58 504.586,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
176.620,176.613304,0.000009,10w,,,0.000000,-,56 620.876,4d105s,2S,1/2,4d<sup>10</sup>8p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
184.773,184.770792,0.000007,20,,,0.000000,-,54 121.108,4d105s,2S,1/2,4d<sup>10</sup>7p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
206.1162,206.116209,0.000004,200,3.1e+06,D,0.000000,-,48 500.8105,4d105s,2S,1/2,4d<sup>10</sup>6p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
206.9844,206.984380,0.000013,100,1.5e+06,D,0.000000,-,48 297.406,4d105s,2S,1/2,4d<sup>10</sup>6p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
217.000,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
230.956,230.955,0.004,30w,,,30 242.298349,-,73 527.5,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>1</sup>D)5p,2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
231.260,231.260,0.003,10w,,,34 714.22643,-,77 942.3,4d95s2,2D,3/2,4d<sup>9</sup>5s(<sup>1</sup>D)5p,2D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
237.502,237.5023,0.0017,50w,,,30 242.298349,-,72 334.3,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>1</sup>D)5p,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
