Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
159.360,159.360+,100r,,,0.0,-,62 751.1,4s24p3,4S°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)4d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
175.860,175.859+,100,,,0.0,-,56 863.6,4s24p3,4S°,3/2,4s4p<sup>4</sup>,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
180.615,180.615+,170,,,0.0,-,55 366.4,4s24p3,4S°,3/2,4s4p<sup>4</sup>,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
189.042,189.043+,1000r,2.66e+08,C+,0.0,-,52 897.9,4s24p3,4S°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,4P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
193.759,193.760+,800r,2.19e+08,C+,0.0,-,51 610.2,4s24p3,4S°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,4P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
197.262,197.263+,585r,2.02e+08,C+,0.0,-,50 693.8,4s24p3,4S°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>3</sup>P)5s,4P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
199.035,199.035+,170r,,,10 592.5,-,60 834.8,4s24p3,2D°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>1</sup>D)5s,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
199.113,199.114+,100r,,,10 592.5,-,60 815.0,4s24p3,2D°,3/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>1</sup>D)5s,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
199.543,199.543+,100r,,,18 186.1,-,68 300.6,4s24p3,2P°,1/2,4s4p<sup>4</sup>,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
200.334,200.334+,230r,,,10 914.6,-,60 815.0,4s24p3,2D°,5/2,4s<sup>2</sup>4p<sup>2</sup>(<sup>1</sup>D)5s,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4831&amp;comment_code=&amp;element=As&amp;spectr_charge=1&amp;ref=4831&amp;type=
