Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
191.36661,0.00020,191.36662+,1700,,,0.000,-,52 255.717,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)9s,2[0],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
195.47059,0.00020,195.47096+,16000,5.86e+07,B,0.000,-,51 158.494,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7d,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
196.00491,0.00020,196.00506+,4200,1.54e+07,C+,0.000,-,51 019.090,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)7d,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
202.11493,0.00020,202.11469+,3300,5.79e+06,C+,0.000,-,49 460.910,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
206.16336,0.00020,206.16272+,42000,9.62e+07,B,0.000,-,48 489.869,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
211.02175,0.00020,211.02172+,10000,9.04e+07,B,0.000,-,47 373.477,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)8s,2[0],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
213.35999,0.00020,213.35960+,1900,,,11 419.039,-,58 273.483,6p3,2D°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)6d,5827,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
217.72127,0.00020,217.72135+,260hfs,2.6e+06,D+,0.000,-,45 915.883,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3401&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=3401&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
222.82092,0.00020,222.82124+,37000,8.8e+07,C+,0.000,-,44 865.076,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
223.06088,0.00020,223.06108+,140000,2.34e+08,C+,0.000,-,44 816.841,6p3,4S°,3/2,6p<sup>2</sup>(<sup>3</sup>P<sub>0</sub>)6d,2[2],5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6498&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=6498&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=1&amp;ref=9843&amp;type=
