Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
110.1498,0.0004,110.1498+,250,,,3 685.24,-,94 470.7,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>1</sup>D<sub>2</sub>)6s,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
113.4588,0.0007,113.46221+,300*,,,0.00,-,88 135.07,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
113.4588,0.0007,113.45753+,300*,,,3 685.24,-,91 823.95,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)7d,2[0],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
113.6294,0.0004,113.62900+,250,,,3 685.24,-,91 690.94,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)7d,2[1],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
117.7233,0.0004,117.72301+,250,,,0.00,-,84 945.16,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>0</sub>)4d,2[2],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
117.8895,0.0004,117.88894+,400,6.e+06,E,0.00,-,84 825.60,4s24p5,2P°,3/2,4s4p<sup>6</sup>,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3187&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=3187&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
118.9279,0.0004,118.92767+,1000,,,3 685.24,-,87 769.96,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)5d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
118.9378,0.0004,118.93786+,250,,,0.00,-,84 077.52,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)4d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
118.9498,0.0004,118.95001+,1000,,,3 685.24,-,87 754.17,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)5d,2[0],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
119.8371,0.0004,119.83739+,500,,,3 685.24,-,87 131.65,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)5d,2[1],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
120.9756,0.0004,120.97520+,800,,,0.00,-,82 661.57,4s24p5,2P°,3/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)6s,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
121.0734,0.0004,121.07392+,1000,,,3 685.24,-,86 279.41,4s24p5,2P°,1/2,4s<sup>2</sup>4p<sup>4</sup>(<sup>3</sup>P<sub>0</sub>)6s,2[0],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=351&amp;comment_code=&amp;element=Br&amp;spectr_charge=1&amp;ref=351&amp;type=
