Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
367.218,367.21808+,220,,,1 279.424,-,28 503.446,4f5d6s2,3H°,4,,,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
450.641,450.6413+,100,5.8e+06,B+,0.000,-,22 184.376,4f5d6s2,1G°,4,,,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
463.232,463.2321+,170,1.38e+07,B+,0.000,-,21 581.408,4f5d6s2,1G°,4,4f5d(<sup>3</sup>H°)6s6p(<sup>3</sup>P°),,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
465.051,465.0506+,110,1.62e+07,B+,228.849,-,21 725.865,4f5d6s2,3F°,2,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>1</sup>D) (<sup>2</sup>P°)6p,,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
482.255,482.2548+,110,1.33e+07,B+,0.000,-,20 730.135,4f5d6s2,1G°,4,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>I°)6p,,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
484.777,484.7772+,140,,,4 762.718,-,25 384.989,4f26s2,3H,4,,°,3 or 4 or 5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
494.344,494.3489+,110bl,,,5 519.751,-,25 742.736,4f(2F°) 5d2(3F)6s (4F),°,3,,,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
499.463,499.4625+,130,,,7 780.202,-,27 796.140,4f26s2,3H,6,,°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
500.910,500.9103+,210,6.2e+07,B+,3 196.607,-,23 154.693,4f(2F°) 5d2(3F)6s (4F),5I°,4,,,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
504.085,504.0846+,120,4.39e+07,B+,3 764.008,-,23 596.416,4f(2F°) 5d2(3F)6s (4F),5I°,5,,,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
507.178,507.1775+,120,,,7 780.202,-,27 491.670,4f26s2,3H,6,4f<sup>2</sup>(<sup>3</sup>H<sub>6</sub>)6s6p(<sup>1</sup>P°<sub>1</sub>)?,"(6,1)°?",6,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
511.270,511.2704+,130,3.41e+07,B+,4 455.756,-,24 009.430,4f(2F°) 5d2(3F)6s (4F),5I°,6,,,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
512.957,512.9600+,170,,,8 902.306,-,28 391.572,4f(2F°) 5d2(3F)6s (2F),°,3,,,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
514.999,514.9992+,100,,,7 780.202,-,27 192.300?,4f26s2,3H,6,4f<sup>2</sup>(<sup>3</sup>H<sub>6</sub>)6s6p(<sup>1</sup>P°<sub>1</sub>)?,"(6,1)°?",5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
515.969,515.9688+,280*,,,2 437.629,-,21 813.247,4f(2F°) 5d2(3F)6s (4F),5H°,4,,,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
515.969,515.9680+,280*,,,7 169.751,-,26 545.399,4f(2F°) 5d2(3F)6s (4F),°,3,,,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
515.969,515.9686+,280*,,,5 315.803,-,24 691.432,4f(2F°) 5d2(3F)6s (4F),5I°,7,,,6,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
516.148,516.1407+,280bl,,,4 766.323,-,24 135.490,4f5d6s2,3D°,2,,,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
517.455,517.4585+,190,,,7 853.119,-,27 172.959,4f(2F°) 5d2(1D)6s (2D),°,1,,,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
521.192,521.1920+,190,4.82e+07,B+,6 809.128,-,25 990.573,4f(2F°) 5d2(3F)6s (4F),5I°,8,4f(<sup>2</sup>F°)5d<sup>2</sup>(<sup>3</sup>F) (<sup>4</sup>I°)6p,,7,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
522.346,522.3461+,260,6.5e+07,B+,4 762.718,-,23 901.786,4f26s2,3H,4,4f<sup>2</sup>(<sup>3</sup>H<sub>4</sub>)6s6p(<sup>1</sup>P°<sub>1</sub>),"(4,1)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
522.975,522.9742+,180,1.78e+07,B+,2 208.657,-,21 324.736,4f5d6s2,3H°,5,4f5d(<sup>3</sup>H°)6s6p(<sup>3</sup>P°),,6,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8748&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=8748&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=1&amp;ref=3475&amp;type=
