Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
96.992,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
97.8284,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
99.8372,,25,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
99.8432,,25,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
100.2346,,75,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
101.3664,,150,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
102.5553,,90,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
108.4667,,200,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
108.5171,,200,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
108.5304,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
108.806,,400,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
109.0271,,350,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
109.0982,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
109.2437,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=298&amp;comment_code=&amp;element=Cl&amp;spectr_charge=1&amp;ref=298&amp;type=
