Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
84.9689,0.0035,84.969,0.004,10a,,,0.0000,-,117 690.,5p66s,2S,1/2,5p<sup>5</sup>6s(<sup>3</sup>P°)5d,4D°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9536&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=9536&amp;type=
87.3015,0.0035,,,5a,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9536&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=9536&amp;type=
88.1136,0.0035,,,8a,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9536&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=9536&amp;type=
91.685,0.015,91.685,0.015,5a,,,0.0000,-,109 069,5p66s,2S,1/2,5p<sup>5</sup>6s<sup>2</sup>,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=15673&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=15673&amp;type=
96.90,0.05,96.908,0.005,,,,14 499.2568,-,117 690.,5p65d,2D,3/2,5p<sup>5</sup>6s(<sup>3</sup>P°)5d,4D°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11112&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=11112&amp;type=
100.75,0.03,100.75,0.03,10a,,,0.0000,-,99 259,5p66s,2S,1/2,5p<sup>5</sup>6s<sup>2</sup>,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=15673&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=15673&amp;type=
108.998,0.004,108.997,0.004,a,2.4e+06,D+,14 499.2568,-,106 245.,5p65d,2D,3/2,5p<sup>5</sup>6s(<sup>3</sup>P°)5d,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5128&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5128&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16570&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=16570&amp;type=
109.111,0.004,109.113,0.004,a,4.0e+07,E,14 596.84232,-,106 245.,5p65d,2D,5/2,5p<sup>5</sup>6s(<sup>3</sup>P°)5d,4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5128&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=5128&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=16570&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=16570&amp;type=
119.58,0.03,119.537,0.004,,,,22 588.8210,-,106 245.,5p66d,2D,3/2,5p<sup>5</sup>6s(<sup>3</sup>P°)5d,4P°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11806&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=11806&amp;type=
124.72,0.03,124.693,0.005,,,,26 047.8342,-,106 245.,5p67d,2D,3/2,5p<sup>5</sup>6s(<sup>3</sup>P°)5d,4P°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11806&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=11806&amp;type=
320.7507,0.0005,320.751864,0.000003,,8.5e+02,C,0.0000,-,31 167.74257,5p66s,2S,1/2,5p<sup>6</sup>25p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
,,320.759329,0.000003,m,,,0.0000,-,31 167.01727,5p66s,2S,1/2,5p<sup>6</sup>25p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
320.9967,0.0005,320.9980,0.0003,,9.4e+02,C,0.0000,-,31 143.84,5p66s,2S,1/2,5p<sup>6</sup>24p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
,,321.006979,0.000003,m,,,0.0000,-,[31 142.9734],5p66s,2S,1/2,5p<sup>6</sup>24p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
321.2831,0.0005,321.284326,0.000003,,1.19e+03,C,0.0000,-,31 116.0904,5p66s,2S,1/2,5p<sup>6</sup>23p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Cs&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3287&amp;comment_code=c91&amp;element=Cs&amp;spectr_charge=1&amp;ref=3287&amp;type=
