Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
237.2831,237.2840+,20w,2.2e+07,C+,0.00,-,42 130.72,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>7</sup>D°)6p,8P,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
237.5298,237.5304+,60w,2.3e+07,C+,0.00,-,42 087.02,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>7</sup>D°)6p,8P,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
237.9640,237.9645+,50w,2.3e+07,C+,0.00,-,42 010.25,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>7</sup>D°)6p,8P,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
260.4608,,26,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7586&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7586&amp;type=
261.9268,261.9272+,10,8.e+05,E,0.00,-,38 167.16,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>7</sup>D°)6p,z 6D,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
264.3815,264.3820+,6,7.e+05,E,0.00,-,37 812.80,4f76s2,a 8S°,7/2,,143,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
265.9398,265.9405+,15,1.39e+06,C+,0.00,-,37 591.21,4f76s2,a 8S°,7/2,,141,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
268.2582,268.2588+,8,1.4e+06,E,0.00,-,37 266.36,4f76s2,a 8S°,7/2,,135,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
270.9981,270.9986+,180,1.6e+07,C+,0.00,-,36 889.62,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>7</sup>D°)6p,y 8D,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
272.3954,272.3960+,70,1.37e+07,C+,0.00,-,36 700.39,4f76s2,a 8S°,7/2,4f<sup>7</sup>(<sup>8</sup>S°)5d (<sup>7</sup>D°)6p,y 8D,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3780&amp;comment_code=&amp;element=Eu&amp;spectr_charge=1&amp;ref=3780&amp;type=
