Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
78.0390,0.0015,78.03935+,15,,,0.000,-,128 140.48,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
78.0519,0.0030,78.05235+,10*,,,404.141,-,128 523.28,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3d,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
78.0519,0.0030,78.05017+,10*,,,0.000,-,128 122.72,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3d,4D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
78.0519,0.0030,78.05422+,10*,,,404.141,-,128 520.22,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3d,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
78.2378,0.0015,78.23766+,10,,,404.141,-,128 219.83,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
79.1875,0.0015,79.18749+,12,,,0.000,-,126 282.58,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4s,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
79.2536,0.0015,79.25372+,10,,,404.141,-,126 581.18,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4s,2P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
79.4417,0.0030,79.44245+,10*,,,0.000,-,125 877.28,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4s,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
79.4417,0.0030,79.44172+,10*,,,404.141,-,126 282.58,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)4s,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
80.6970,0.0005,80.697051+,150*,3.13e+08,B,0.000,-,123 920.265,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>1</sup>D)3s,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
80.6970,0.0005,80.696474+,150*,,,0.000,-,123 921.152,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>1</sup>D)3s,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
80.9607,0.0005,80.960508+,125,2.64e+08,B,404.141,-,123 921.152,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>1</sup>D)3s,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.1871,0.0003,95.18707+,500,2.42e+08,B+,0.000,-,105 056.28,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.4825,0.0003,95.48267+,1000,5.98e+08,B+,0.000,-,104 731.05,2s22p5,2P°,3/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,2P,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
95.5545,0.0003,95.55466+,750,4.74e+08,B+,404.141,-,105 056.28,2s22p5,2P°,1/2,2s<sup>2</sup>2p<sup>4</sup>(<sup>3</sup>P)3s,2P,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7663&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7663&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7481&amp;comment_code=&amp;element=F&amp;spectr_charge=1&amp;ref=7481&amp;type=
