Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,,91.2323660,0.0000008,,1.2258e+02,AAA,0.0000000000,-,[109 610.2232],1s,2S,1/2,40,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2353295,0.0000008,,1.3913e+02,AAA,0.0000000000,-,[109 606.6628],1s,2S,1/2,39,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2385303,0.0000008,,1.5843e+02,AAA,0.0000000000,-,[109 602.8177],1s,2S,1/2,38,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2419943,0.0000008,,1.8103e+02,AAA,0.0000000000,-,[109 598.6566],1s,2S,1/2,37,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2457513,0.0000008,,2.0762e+02,AAA,0.0000000000,-,[109 594.1439],1s,2S,1/2,36,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2498352,0.0000008,,2.3903e+02,AAA,0.0000000000,-,[109 589.2390],1s,2S,1/2,35,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2542852,0.0000008,,2.7631e+02,AAA,0.0000000000,-,[109 583.8949],1s,2S,1/2,34,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2591463,0.0000008,,3.2081e+02,AAA,0.0000000000,-,[109 578.0577],1s,2S,1/2,33,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2644709,0.0000008,,3.7418e+02,AAA,0.0000000000,-,[109 571.6647],1s,2S,1/2,32,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
,,91.2703197,0.0000008,,4.3857e+02,AAA,0.0000000000,-,[109 564.6431],1s,2S,1/2,31,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=H&amp;spectr_charge=1&amp;ref=8637&amp;type=,
