Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
40.5774,,,"a,w",,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
40.6170,,,a,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
40.6764,,,a,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
40.9259,,,"a,w",,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
40.9760,,,a,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
41.1016,,,"a,w",,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
42.2514,42.2515,0.0007,a,,,0.0000,-,236 678,3p64s,2S,1/2,3p<sup>5</sup>3d(<sup>1</sup>P°)23s,2P°,"1/2,3/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
42.2567,42.2567,0.0007,a,,,0.0000,-,236 649,3p64s,2S,1/2,3p<sup>5</sup>3d(<sup>1</sup>P°)22s,2P°,"1/2,3/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
42.2634,42.2633,0.0007,a,,,0.0000,-,236 612,3p64s,2S,1/2,3p<sup>5</sup>3d(<sup>1</sup>P°)21s,2P°,"1/2,3/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
42.2710,42.2710,0.0007,a,,,0.0000,-,236 569,3p64s,2S,1/2,3p<sup>5</sup>3d(<sup>1</sup>P°)20s,2P°,"1/2,3/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6851&amp;comment_code=&amp;element=K&amp;spectr_charge=1&amp;ref=6851&amp;type=
