Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
13.109,13.1091+,,,,0.0000,-,762 830,4s24p6,1S,0,3d<sup>9</sup>4s<sup>2</sup>4p<sup>6</sup>8p,"(3/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3379&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=3379&amp;type=
13.143,13.1430+,,,,0.0000,-,760 860,4s24p6,1S,0,3d<sup>9</sup>4s<sup>2</sup>4p<sup>6</sup>7p,"(3/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3379&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=3379&amp;type=
13.212,13.2120+,,,,0.0000,-,756 890,4s24p6,1S,0,3d<sup>9</sup>4s<sup>2</sup>4p<sup>6</sup>6p,"(3/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3379&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=3379&amp;type=
13.282,13.2820+,,,,0.0000,-,752 900,4s24p6,1S,0,3d<sup>9</sup>4s<sup>2</sup>4p<sup>6</sup>8p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3379&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=3379&amp;type=
13.317,13.3170+,,,,0.0000,-,750 920,4s24p6,1S,0,3d<sup>9</sup>4s<sup>2</sup>4p<sup>6</sup>7p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3379&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=3379&amp;type=
13.390,13.3899+,,,,0.0000,-,746 830,4s24p6,1S,0,3d<sup>9</sup>4s<sup>2</sup>4p<sup>6</sup>6p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3379&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=3379&amp;type=
13.409,13.4090+,,,,0.0000,-,745 770,4s24p6,1S,0,3d<sup>9</sup>4s<sup>2</sup>4p<sup>6</sup>5p,"(3/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3379&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=3379&amp;type=
13.588,13.5881+,,,,0.0000,-,735 940,4s24p6,1S,0,3d<sup>9</sup>4s<sup>2</sup>4p<sup>6</sup>5p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3379&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=3379&amp;type=
45.145,45.1451+,,,,0.0000,-,221 508.,4s24p6,1S,0,4s4p<sup>6</sup>19p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.156,45.1559+,,,,0.0000,-,221 455.,4s24p6,1S,0,4s4p<sup>6</sup>18p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.169,45.1690+,,,,0.0000,-,221 391.,4s24p6,1S,0,4s4p<sup>6</sup>17p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.186,45.1861+,,,,0.0000,-,221 307.,4s24p6,1S,0,4s4p<sup>6</sup>16p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.207,45.2069+,,,,0.0000,-,221 205.,4s24p6,1S,0,4s4p<sup>6</sup>15p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.234,45.2339+,,,,0.0000,-,221 073.,4s24p6,1S,0,4s4p<sup>6</sup>14p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.268,45.2679+,,,,0.0000,-,220 907.,4s24p6,1S,0,4s4p<sup>6</sup>13p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.315,45.3151+,,,,0.0000,-,220 677.,4s24p6,1S,0,4s4p<sup>6</sup>12p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.373,45.3731+,,,,0.0000,-,220 395.,4s24p6,1S,0,4s4p<sup>6</sup>11p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.473,45.4729+,,,,0.0000,-,219 911.,4s24p6,1S,0,4s4p<sup>6</sup>10p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.612,45.6119+,,,,0.0000,-,219 241.,4s24p6,1S,0,4s4p<sup>6</sup>9p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
45.869,45.8690+,,,,0.0000,-,218 012.,4s24p6,1S,0,4s4p<sup>6</sup>8p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
46.271,46.2710+,,,,0.0000,-,216 118.,4s24p6,1S,0,4s4p<sup>6</sup>7p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
47.123,47.1229+,,,,0.0000,-,212 211.,4s24p6,1S,0,4s4p<sup>6</sup>6p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
47.148,47.1480+,,,,0.0000,-,212 098.,4s24p6,1S,0,4s4p<sup>6</sup>6p,"(1/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
49.607,49.6071+,,,,0.0000,-,201 584,4s24p6,1S,0,4s4p<sup>6</sup>5p,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
49.750,49.7500+,,,,0.0000,-,201 005,4s24p6,1S,0,4s4p<sup>6</sup>5p,"(1/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1526&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=1526&amp;type=
84.7646,84.7646+,,,,0.0000,-,117 973.8,4s24p6,1S,0,4s<sup>2</sup>4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)20d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
84.7903,84.7904+,,,,0.0000,-,117 937.9,4s24p6,1S,0,4s<sup>2</sup>4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)19d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
84.8173,84.8173+,5,,,0.0000,-,117 900.5,4s24p6,1S,0,4s<sup>2</sup>4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)20s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
84.8209,84.8209+,,,,0.0000,-,117 895.5,4s24p6,1S,0,4s<sup>2</sup>4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)18d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
84.8532,84.8532+,7,,,0.0000,-,117 850.6,4s24p6,1S,0,4s<sup>2</sup>4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)19s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
84.8577,84.8577+,,,,0.0000,-,117 844.4,4s24p6,1S,0,4s<sup>2</sup>4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)17d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
84.8964,84.8964+,8,,,0.0000,-,117 790.6,4s24p6,1S,0,4s<sup>2</sup>4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)18s,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
84.9018,84.9018+,,,,0.0000,-,117 783.1,4s24p6,1S,0,4s<sup>2</sup>4p<sup>5</sup>(<sup>2</sup>P°<sub>1/2</sub>)16d,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4676&amp;comment_code=&amp;element=Kr&amp;spectr_charge=1&amp;ref=4676&amp;type=
