Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
272.558,272.5591+,55,,,1 053.164,-,37 731.59,5d6s2,2D,5/2,,°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
321.581,321.5810+,35,2.6e+07,C+,1 053.164,-,32 140.55,5d6s2,2D,5/2,,°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
334.223,334.2230+,95,5.4e+07,B,1 053.164,-,30 964.71,5d6s2,2D,5/2,,°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
,338.8607+,,1.01e+07,C+,0.000,-,29 502.18†,5d6s2,2D,3/2,4f5d(<sup>3</sup>D°)6s,°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,
,340.4519+,,1.4e+07,B,1 053.164,-,30 417.46†,5d6s2,2D,5/2,4f5d(<sup>3</sup>P°)6s,4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,
346.118,346.1184+,65,1.96e+07,C+,1 053.164,-,29 936.74†,5d6s2,2D,5/2,4f5d(<sup>3</sup>P°)6s,°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
351.407,351.4055+,45,1.75e+07,C+,1 053.164,-,29 502.18†,5d6s2,2D,5/2,4f5d(<sup>3</sup>D°)6s,°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
357.443,357.4425+,200,9.5e+07,B+,0.000,-,27 968.54,5d6s2,2D,3/2,4f5d(<sup>3</sup>D°)6s,°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
361.308,361.3074+,75,1.57e+07,B,0.000,-,27 669.37,5d6s2,2D,3/2,4f5d(<sup>3</sup>F°)6s,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
363.667,363.6661+,35,7.2e+06,B,1 053.164,-,28 543.08,5d6s2,2D,5/2,4f5d(<sup>3</sup>F°)6s,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
364.153,364.1519+,170u,9.1e+07,B+,1 053.164,-,28 506.41,5d6s2,2D,5/2,5d6s(<sup>3</sup>D)6p,°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9460&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=9460&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=1&amp;ref=3475&amp;type=
