Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
25.635,0.003,25.635,0.003,a,,,0.0000,-,390 090,2s22p6,1S,0,2s2p<sup>6</sup>12p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
25.646,0.003,25.646,0.003,a,,,0.0000,-,389 920,2s22p6,1S,0,2s2p<sup>6</sup>11p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
25.663,0.003,25.663,0.003,a,,,0.0000,-,389 670,2s22p6,1S,0,2s2p<sup>6</sup>10p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
25.685,0.003,25.685,0.003,a,,,0.0000,-,389 330,2s22p6,1S,0,2s2p<sup>6</sup>9p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
25.719,0.003,25.719,0.003,a,,,0.0000,-,388 820,2s22p6,1S,0,2s2p<sup>6</sup>8p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
25.768,0.003,25.768,0.003,a,,,0.0000,-,388 080,2s22p6,1S,0,2s2p<sup>6</sup>7p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
25.848,0.003,25.848,0.003,a,,,0.0000,-,386 880,2s22p6,1S,0,2s2p<sup>6</sup>6p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
25.996,0.003,25.996,0.003,a,,,0.0000,-,384 670,2s22p6,1S,0,2s2p<sup>6</sup>5p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
26.311,0.003,26.311,0.003,a,,,0.0000,-,380 070,2s22p6,1S,0,2s2p<sup>6</sup>4p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
27.221,0.005,27.221,0.005,a,,,0.0000,-,367 360,2s22p6,1S,0,2s2p<sup>6</sup>3p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3359&amp;comment_code=&amp;element=Ne&amp;spectr_charge=1&amp;ref=3359&amp;type=
