Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,196.3870,,1.1e+07,C,204.787,-,51 124.662,3d9(2D)4s,3D,3,3d<sup>8</sup>(<sup>1</sup>G)4s4p(<sup>3</sup>P°),3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,196.8919,,4.5e+06,C,0.000,-,50 789.303,3d8(3F)4s2,3F,4,3d<sup>8</sup>(<sup>1</sup>G)4s4p(<sup>3</sup>P°),3F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,197.6890,,1.1e+08,C,204.787,-,50 789.303,3d9(2D)4s,3D,3,3d<sup>8</sup>(<sup>1</sup>G)4s4p(<sup>3</sup>P°),3F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,197.7166,,8.3e+00,E,879.816,-,51 457.250,3d9(2D)4s,3D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)4d,2[1/2],0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=848&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=1&amp;ref=848&amp;type=E2,
,198.1621,,1.3e+07,C,879.816,-,51 343.547,3d9(2D)4s,3D,2,3d<sup>8</sup>(<sup>1</sup>G)4s4p(<sup>3</sup>P°),3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,199.0254,,8.3e+07,C,879.816,-,51 124.662,3d9(2D)4s,3D,2,3d<sup>8</sup>(<sup>1</sup>G)4s4p(<sup>3</sup>P°),3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,199.430,,5.7e+06,C,0.000,-,50 142.8,3d8(3F)4s2,3F,4,3d<sup>9</sup>(<sup>2</sup>D)5p,°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,200.0497,,5.4e+06,C,879.816,-,50 851.199,3d9(2D)4s,3D,2,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,200.183,,7.3e+06,C,204.787,-,50 142.8,3d9(2D)4s,3D,3,3d<sup>9</sup>(<sup>2</sup>D)5p,°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,200.6993,,1.7e+07,C,879.816,-,50 689.489,3d9(2D)4s,3D,2,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,200.7685,,9.0e+06,C,1 332.164,-,51 124.662,3d8(3F)4s2,3F,3,3d<sup>8</sup>(<sup>1</sup>G)4s4p(<sup>3</sup>P°),3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,201.4241,,9.3e+07,C,1 713.087,-,51 343.547,3d9(2D)4s,3D,1,3d<sup>8</sup>(<sup>1</sup>G)4s4p(<sup>3</sup>P°),3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,202.5389,,2.3e+07,D,1 332.164,-,50 689.489,3d8(3F)4s2,3F,3,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,202.6588,,2.4e+07,C,0.000,-,49 328.140,3d8(3F)4s2,3F,4,3d<sup>9</sup>(<sup>2</sup>D)5p,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,202.927,,2.3e+06,C,879.816,-,50 142.8,3d9(2D)4s,3D,2,3d<sup>9</sup>(<sup>2</sup>D)5p,°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3861&amp;comment_code=&amp;element=Ni&amp;spectr_charge=1&amp;ref=3861&amp;type=,
,203.0187,,1.7e-01,E,2 216.550,-,51 457.250,3d8(3F)4s2,3F,2,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)4d,2[1/2],0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=848&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=1&amp;ref=848&amp;type=E2,
