Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
68.5544,,70,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3760&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=3760&amp;type=
,69.7528,,6.02e+05,D,0.000,-,143 363.4,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,69.7528,,2.05e+07,C,0.000,-,143 363.4,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)4d,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,69.7528,,5.30e+06,D,0.000,-,143 363.4,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)4d,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,69.8299,,1.58e+07,C,158.265,-,143 363.4,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)4d,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,69.8299,,8.97e+06,C,158.265,-,143 363.4,2s22p4,3P,1,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,69.8634,,1.19e+07,C,226.977,-,143 363.4,2s22p4,3P,0,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)4d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,72.4835,,1.35e+06,D,0.000,-,137 962.5,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)3d,3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,72.4835,,4.60e+07,C+,0.000,-,137 962.5,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)3d,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
,72.4835,,1.19e+07,C,0.000,-,137 962.5,2s22p4,3P,2,2s<sup>2</sup>2p<sup>3</sup>(<sup>2</sup>P°)3d,3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5803&amp;comment_code=&amp;element=O&amp;spectr_charge=1&amp;ref=5803&amp;type=,
