Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
244.79058,244.79058,1100,1.11e+07,,0.000,-,40 838.874,4d10,1S,0,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[1/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
247.64127,247.64127,1700,1.18e+07,,0.000,-,40 368.796,4d10,1S,0,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
276.30899,276.30900,1900,1.69e+07,,0.000,-,36 180.677,4d10,1S,0,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)5p,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7227&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=7227&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
292.24922,292.24919,520,,,6 564.148,-,40 771.510,4d9(2D5/2)5s,2[5/2],3,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
300.26500,300.26497,650,,,6 564.148,-,39 858.361,4d9(2D5/2)5s,2[5/2],3,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[5/2]°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
300.97738,300.97737,45,,,25 101.235,-,58 316.645,4d85s2,3F,4,4d<sup>8</sup>5s(<sup>2</sup>F)5p,3F°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
302.79084,302.79084,1500,,,7 755.025,-,40 771.510,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
306.52986,306.52985,1100,,,7 755.025,-,40 368.796,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
311.40380,311.40379,2600,,,7 755.025,-,39 858.361,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[5/2]°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
314.281,,270,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=3475&amp;type=
324.26983,324.26989,11000,7.7e+07,,6 564.148,-,37 393.762,4d9(2D5/2)5s,2[5/2],3,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)5p,2[5/2]°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4266&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=4266&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
325.16361,325.16360,2700,,,10 093.992,-,40 838.874,4d9(2D3/2)5s,2[3/2],1,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
325.87765,325.87764,3500,,,10 093.992,-,40 771.510,4d9(2D3/2)5s,2[3/2],1,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
328.72480,328.72477,460,,,6 564.148,-,36 975.973,4d9(2D5/2)5s,2[5/2],3,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)5p,2[5/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9430&amp;comment_code=&amp;element=Pd&amp;spectr_charge=1&amp;ref=9430&amp;type=
