Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
316.223,,35,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
316.882,,35,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
322.204,,35,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
323.855,,35,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
329.663,,75,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
331.338,,50,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
332.922,,50,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
333.157,,75,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
335.445,,100,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
336.603,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4514&amp;comment_code=c1&amp;element=Pm&amp;spectr_charge=1&amp;ref=4514&amp;type=
