Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
213.902,,250w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
222.067,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3489&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3489&amp;type=
222.213,,200,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
234.461,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
242.172,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
242.609,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
245.008,245.0076+,1500w,,,0.00,-,40 802.70,6p4,3P,2,6p<sup>3</sup>(<sup>4</sup>S°)7s,3S°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
248.394,,700,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
249.053,,700,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
253.495,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3489&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3489&amp;type=
255.733,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3489&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3489&amp;type=
255.801,255.8009+,1500w,,,0.00,-,39 081.19,6p4,3P,2,6p<sup>3</sup>(<sup>4</sup>S°)7s,5S°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3489&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3489&amp;type=
258.764,,400,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
264.536,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3489&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3489&amp;type=
267.167,,200,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
276.192,,600,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
280.026,,400,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
282.411,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
286.601,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3489&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3489&amp;type=
291.931,,400,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3489&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3489&amp;type=
295.892,,600,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
300.321,300.3209+,2500w,,,7 514.69,-,40 802.70,6p4,3P,0,6p<sup>3</sup>(<sup>4</sup>S°)7s,3S°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
306.931,,450,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
318.902,,400,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
324.024,,600,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
328.638,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
332.860,,600,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
386.193,,500,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3489&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3489&amp;type=
417.052,417.0516+,1200,,,16 831.61,-,40 802.70,6p4,3P,1,6p<sup>3</sup>(<sup>4</sup>S°)7s,3S°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3488&amp;comment_code=&amp;element=Po&amp;spectr_charge=1&amp;ref=3488&amp;type=
