Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),Type,TPRef.,LineRef.
257.827,,25,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
257.931,,30,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
284.298,,20,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
285.062,,20,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
288.160,,50,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
395.944,,190,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
463.228,,140,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
463.568,,140,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
463.955,,200,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
468.780,,180,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
469.577,,290,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
470.952,,140,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
473.067,,180,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
473.669,,250,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Pr&amp;spectr_charge=1&amp;ref=3475&amp;type=
