Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
228.857,228.8564,140,,,2 598.03,-,46 280.09,4d8(3F)5s,a 4F,5/2,,21°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
230.982,230.9816,110,,,3 472.68,-,46 752.86,4d8(3F)5s,a 4F,3/2,,23°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
231.836,231.8370,55,,,5 690.97,-,48 811.47,4d8(3F)5s,a 2F,7/2,,26°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
231.910,231.9109,95,,,5 690.97,-,48 797.74,4d8(3F)5s,a 2F,7/2,,25°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
232.173,232.1728,95,,,1 529.97,-,44 588.12,4d8(3F)5s,a 4F,7/2,,17°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
232.258,232.2582,350,,,0.00,-,43 042.31,4d8(3F)5s,a 4F,9/2,,15°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
232.647,232.6478,140,,,3 309.86,-,46 280.09,4d9,a 2D,5/2,,21°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
232.864,232.8647,80,,,7 791.23,-,50 721.44,4d8(3F)5s,a 2F,5/2,,29°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
234.541,,55,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
235.247,235.2472,55,,,0.00,-,42 495.48,4d8(3F)5s,a 4F,9/2,,14°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
235.918,235.9174,55,,,1 529.97,-,43 904.73,4d8(3F)5s,a 4F,7/2,4d<sup>8</sup>(<sup>1</sup>G)5p,x 2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Rh&amp;spectr_charge=1&amp;ref=3475&amp;type=
