Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),Type,TPRef.,LineRef.
140.54,,100,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
140.64,,100,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
140.66,,100,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
143.53,,120,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
143.58,,120,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
144.48,,100,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
144.68,,100,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
144.70,,100,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
144.92,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
145.63,,120,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
150.09,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
153.04,,250,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
153.13,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
153.18,,200,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
154.71,,120,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
156.03,,120,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
157.53,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
157.76,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
157.79,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
157.95,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
158.00,,200,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
158.75,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
159.32,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3316&amp;comment_code=&amp;element=Se&amp;spectr_charge=1&amp;ref=3316&amp;type=
