Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
173.361,0.004,173.363,0.008,500w,,,1 691.806,-,59 374.2,5s25p2,3P,1,5s<sup>2</sup>5p9s,3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
173.72436,0.00015,173.72439,0.00015,710r,,,0.000,-,57 562.44,5s25p2,3P,0,5s<sup>2</sup>5p10d,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
175.14880,0.00015,175.14874,0.00016,880r,,,0.000,-,57 094.33,5s25p2,3P,0,5s<sup>2</sup>5p9d,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
175.352,0.008,175.363,0.008,690w,,,3 427.673,-,60 452.1,5s25p2,3P,2,5s<sup>2</sup>5p8d,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
176.49391,0.00016,176.49391,0.00003,1500r,,,0.000,-,56 659.180,5s25p2,3P,0,5s<sup>2</sup>5p6d,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
177.33603,0.00016,177.33605,0.00004,960,,,0.000,-,56 390.113,5s25p2,3P,0,5s<sup>2</sup>5p10s,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
179.07835,0.00016,179.07830,0.00016,1900r,,,1 691.806,-,57 533.30,5s25p2,3P,1,5s<sup>2</sup>5p10d,a 3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
180.46343,0.00016,180.46332,0.00016,5000r,,,1 691.806,-,57 104.73,5s25p2,3P,1,5s<sup>2</sup>5p9d,b 3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
180.49717,0.00016,180.49719,0.00016,630,,,1 691.806,-,57 094.33,5s25p2,3P,1,5s<sup>2</sup>5p9d,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
181.30157,0.00016,181.30154,0.00004,1400,,,0.000,-,55 156.731,5s25p2,3P,0,5s<sup>2</sup>5p9s,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
181.57659,0.00016,181.57654,0.00004,2200r,,,0.000,-,55 073.194,5s25p2,3P,0,5s<sup>2</sup>5p7d,b 3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
181.92611,0.00017,181.926100,0.000023,2200,,,1 691.806,-,56 659.180,5s25p2,3P,1,5s<sup>2</sup>5p6d,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
182.30095,0.00017,182.30101,0.00003,6400r,,,1 691.806,-,56 546.137,5s25p2,3P,1,5s<sup>2</sup>5p9d,a 3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
184.87692,0.00017,184.87655,0.00014,3100r,,,3 427.673,-,57 517.82,5s25p2,3P,2,5s<sup>2</sup>5p10d,a 3F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
185.19695,0.00017,185.196945,0.000024,1400,,,1 691.806,-,55 688.377,5s25p2,3P,1,5s<sup>2</sup>5p6d,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
185.42531,0.00017,185.42523,0.00024,600,,,1 691.806,-,55 621.90,5s25p2,3P,1,5s<sup>2</sup>5p6d,3P°,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
186.03253,0.00017,186.03254,0.00017,8600r,,,3 427.673,-,57 181.71,5s25p2,3P,2,5s<sup>2</sup>5p6d,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
186.14175,0.00017,186.141733,0.000020,1000,,,3 427.673,-,57 150.177,5s25p2,3P,2,5s<sup>2</sup>5p8s,3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
186.55164,0.00017,186.551690,0.000022,1500,,,1 691.806,-,55 296.252,5s25p2,3P,1,5s<sup>2</sup>5p6d,3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
186.59233,0.00017,186.59232,0.00004,1500,,,0.000,-,53 592.774,5s25p2,3P,0,5s<sup>2</sup>5p7d,a 3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
187.12680,0.00018,187.126715,0.000025,550,,,1 691.806,-,55 131.530,5s25p2,3P,1,5s<sup>2</sup>5p9s,3P°,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
187.22732,0.00018,187.22733,0.00018,670,,,3 427.673,-,56 838.68,5s25p2,3P,2,5s<sup>2</sup>5p9d,a 3F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
187.33124,0.00018,187.331210,0.000022,860,,,1 691.806,-,55 073.194,5s25p2,3P,1,5s<sup>2</sup>5p7d,b 3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
188.25847,0.00018,188.25846,0.00003,2000,,,3 427.673,-,56 546.137,5s25p2,3P,2,5s<sup>2</sup>5p9d,a 3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
188.603,0.005,188.602722,0.000023,3700bl*,,,1 691.806,-,54 713.310,5s25p2,3P,1,5s<sup>2</sup>5p6d,1D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
188.603,0.005,188.60469,0.00004,3700bl*,,,0.000,-,53 020.952,5s25p2,3P,0,5s<sup>2</sup>5p8s,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
189.14207,0.00018,189.14199,0.00003,4900,,,3 427.673,-,56 298.005,5s25p2,3P,2,5s<sup>2</sup>5p6d,1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
189.72880,0.00018,189.72872,0.00004,780,,,0.000,-,52 706.832,5s25p2,3P,0,5s<sup>2</sup>5p7s,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
190.92102,0.00018,190.920985,0.000023,4200,,,3 427.673,-,55 805.362,5s25p2,3P,2,5s<sup>2</sup>5p8d,3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
191.15525,0.00018,191.15528,0.00003,2900,,,3 427.673,-,55 741.165,5s25p2,3P,2,5s<sup>2</sup>5p8d,a 3F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
191.34837,0.00018,191.348360,0.000023,1400,,,3 427.673,-,55 688.377,5s25p2,3P,2,5s<sup>2</sup>5p6d,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
192.52966,0.00019,192.529842,0.000022,4800,,,1 691.806,-,53 631.806,5s25p2,3P,1,5s5p<sup>3</sup>,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
192.67459,0.00019,192.674634,0.000024,1100,,,1 691.806,-,53 592.774,5s25p2,3P,1,5s<sup>2</sup>5p7d,a 3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
192.79483,0.00019,192.794948,0.000021,630,,,3 427.673,-,55 296.252,5s25p2,3P,2,5s<sup>2</sup>5p6d,3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
192.905,0.010,192.904,0.009,2300w,,,8 612.955,-,60 452.1,5s25p2,1D,2,5s<sup>2</sup>5p8d,3D°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
193.31486,0.00019,193.314945,0.000021,1000,,,3 427.673,-,55 156.731,5s25p2,3P,2,5s<sup>2</sup>5p9s,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
194.27004,0.00019,194.27013,0.00005,660,,,0.000,-,51 474.718,5s25p2,3P,0,5s<sup>2</sup>5p6d,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
195.21264,0.00019,195.212770,0.000022,7000,,,3 427.673,-,54 653.830,5s25p2,3P,2,5s<sup>2</sup>5p7d,3F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3936&amp;comment_code=&amp;element=Sn&amp;spectr_charge=1&amp;ref=3936&amp;type=
