Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
167.613,0.002,167.6131,0.0020,,,,0.000,-,59 661.2,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)10f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
168.462,0.002,168.4622,0.0020,*,,,0.000,-,59 360.5,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)9f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
168.462,0.002,168.4622,0.0020,*,,,0.000,-,59 360.5,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)10f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
168.809,0.002,168.8091,0.0020,,,,0.000,-,59 238.5,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)9f,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
169.397,0.002,169.3971,0.0020,,,,0.000,-,59 032.9,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)9f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
169.576,0.002,169.5757,0.0020,,,,0.000,-,58 970.7,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)8f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
169.703,0.002,169.7029,0.0020,,,,0.000,-,58 926.5,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)8f,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
170.320,0.002,170.3195,0.0020,,,,0.000,-,58 713.2,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)10p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
170.595,0.002,170.5952,0.0020,,,,0.000,-,58 618.3,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)8f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
171.058,0.002,171.0577,0.0020,,,,0.000,-,58 459.8,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)10p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
171.167,0.002,171.1675,0.0021,,,,0.000,-,58 422.3,5s2,1S,0,4d7f,"(5/2,7/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
171.244,0.002,171.2440,0.0021,,,,0.000,-,58 396.2,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)10p,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
171.565,0.002,171.5648,0.0021,,,,0.000,-,58 287.0,5s2,1S,0,4d7f,"(5/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
172.171,0.004,172.171,0.004,,,,0.000,-,58 081.8,5s2,1S,0,4d9p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=413&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=413&amp;type=
172.350,0.002,172.3499,0.0021,,,,0.000,-,58 021.5,5s2,1S,0,4d7f,"(3/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
173.181,0.002,173.1806,0.0021,,,,0.000,-,57 743.2,5s2,1S,0,4d9p,"(3/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
173.471,0.002,173.4705,0.0021,,,,0.000,-,57 646.7,5s2,1S,0,4d9p,"(3/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
173.703,0.002,173.7031,0.0021,,,,0.000,-,57 569.5,5s2,1S,0,4d6f,"(5/2,7/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
173.982,0.002,173.9823,0.0021,,,,0.000,-,57 477.1,5s2,1S,0,4d6f,"(5/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
174.717,0.002,174.7167,0.0021,,,,0.000,-,57 235.5,5s2,1S,0,4d6f,"(3/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
175.622,0.004,175.622,0.006,,,,0.000,-,56 940.5,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)8p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=413&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=413&amp;type=
176.647,0.002,176.6469,0.0019,,,,0.000,-,56 610.1,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)8p,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
177.279,0.002,177.2792,0.0019,,,,0.000,-,56 408.2,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)8p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
178.032,0.002,178.0322,0.0019,,,,0.000,-,56 169.6,5s2,1S,0,4d5f,"(5/2,7/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
178.229,0.002,178.2287,0.0019,,,,0.000,-,56 107.7,5s2,1S,0,4d5f,"(5/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
179.060,0.002,179.0597,0.0019,,,,0.000,-,55 847.3,5s2,1S,0,4d5f,"(3/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
181.174,0.004,181.174,0.004,,,,0.000,-,55 195.6,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)7p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=413&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=413&amp;type=
182.719,0.002,182.7195,0.0020,,,,0.000,-,54 728.7,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)7p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
186.755,0.002,186.7546,0.0021,,,,0.000,-,53 546.2,5s2,1S,0,4d(<sup>2</sup>D<sub>5/2</sub>)4f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
187.783,0.002,187.7828,0.0021,,,,0.000,-,53 253.0,5s2,1S,0,4d(<sup>2</sup>D<sub>3/2</sub>)4f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
195.70,0.02,195.699,0.019,,,,0.000,-,51 099,5s2,1S,0,4d6p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
201.76,0.02,201.763,0.020,,,,0.000,-,49 547,5s2,1S,0,4d6p,3P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
202.321,0.002,202.3235,0.0006,,,,0.000,-,49 409.86,5s2,1S,0,4d6p,3D°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
219.3977,0.0004,219.39814,0.00014,,2.56e+05,A',0.000,-,45 565.00,5s2,1S,0,5s20p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5889&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=5889&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
219.6214,0.0004,219.62161,0.00014,,3.2e+05,B',0.000,-,45 518.64,5s2,1S,0,5s19p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4337&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=4337&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
219.7664,0.0009,219.765764,0.000006,,,,0.000,-,45 488.7860,5s2,1S,0,5s19s,1S,0,2P,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14021&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=14021&amp;type=2P
219.8892,0.0004,219.89033,0.00024,,4.2e+05,B',0.000,-,45 463.02,5s2,1S,0,5s18p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4337&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=4337&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
220.0663,0.0009,220.066879,0.000006,,,,0.000,-,45 426.5505,5s2,1S,0,5s18s,1S,0,2P,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14021&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=14021&amp;type=2P
220.2176,0.0004,220.21820,0.00019,,5.0e+05,B',0.000,-,45 395.34,5s2,1S,0,5s17p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4337&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=4337&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7603&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=7603&amp;type=
220.4362,0.0009,220.437273,0.000006,,,,0.000,-,45 350.2296,5s2,1S,0,5s17s,1S,0,2P,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=14021&amp;comment_code=&amp;element=Sr&amp;spectr_charge=1&amp;ref=14021&amp;type=2P
