Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
211.9406,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
215.6272,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
218.5394,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
218.9055,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
219.3347,,40,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
228.2121,228.2127,10,,,0.00,-,43 805.25,4d55s2,6S,5/2,4d<sup>6</sup>(<sup>3</sup>F2)5p,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
228.2713,228.2718,10,,,0.00,-,43 793.91,4d55s2,6S,5/2,4d<sup>5</sup>(<sup>4</sup>D)5s(<sup>5</sup>D)5p,6D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
228.5451,,50,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
229.8080,,100,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
241.6217,,30,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
242.3228,242.3193,50,,,3 700.54,-,44 955.88,4d6(5D)5s,6D,5/2,,2°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
242.4538,242.4543,20,,,2 572.89,-,43 805.25,4d6(5D)5s,6D,9/2,4d<sup>6</sup>(<sup>3</sup>F2)5p,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
243.5829,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
243.6994,243.6993,10,,,3 700.54,-,44 722.27,4d6(5D)5s,6D,5/2,4d<sup>6</sup>(<sup>3</sup>P2)5p,4D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
246.3694,,80w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4515&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=4515&amp;type=
246.5086,246.5082,20,,,3 250.91,-,43 805.25,4d6(5D)5s,6D,7/2,4d<sup>6</sup>(<sup>3</sup>F2)5p,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=149&amp;comment_code=&amp;element=Tc&amp;spectr_charge=1&amp;ref=149&amp;type=
