Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
251.3778,0.0005,251.3778+,900D,5.3e+06,B+,0.000,-,39 768.79,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>1</sup>G<sub>4</sub>)5d<sub>5/2</sub>6s<sup>2</sup>,"(4,5/2)",9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6708&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=6708&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
252.7022,0.0005,252.7020+,1300,1.47e+07,B+,0.000,-,39 560.41,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>1</sup>G<sub>4</sub>)5d<sub>3/2</sub>6s<sup>2</sup>,,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
252.785,0.002,252.7857+,350,6.4e+06,C+,0.000,-,39 547.31,4f13(2F°)6s2,2F°,7/2,4f<sup>13</sup>(<sup>2</sup>F°<sub>7/2</sub>)5d6p(<sup>3</sup>F°<sub>2</sub>),"(7/2,2)",5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=3475&amp;type=
254.9810,0.0005,254.9810+,400,2.7e+06,C+,0.000,-,39 206.84,4f13(2F°)6s2,2F°,7/2,,,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
255.2764,0.0005,255.2766+,3600,3.68e+07,B+,0.000,-,39 161.45,4f13(2F°)6s2,2F°,7/2,4f<sup>13</sup>(<sup>2</sup>F°<sub>7/2</sub>)6s7p,,7/2?,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
258.342,0.002,258.3421+,350,3.5e+06,C+,0.000,-,38 696.79,4f13(2F°)6s2,2F°,7/2,,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=3475&amp;type=
259.6489,0.0005,259.6491+,1700h,1.40e+07,B+,0.000,-,38 502.00,4f13(2F°)6s2,2F°,7/2,4f<sup>13</sup>(<sup>2</sup>F°<sub>7/2</sub>)6s7p,,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
260.1092,0.0005,260.1091+,1100,1.49e+07,B+,0.000,-,38 433.92,4f13(2F°)6s2,2F°,7/2,4f<sup>13</sup>(<sup>2</sup>F°<sub>7/2</sub>)6s7p,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
262.1936,0.0005,262.1937+,230,6.2e+05,C+,0.000,-,38 128.37,4f13(2F°)6s2,2F°,7/2,,,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
262.2467,0.0005,262.2464+,400,5.2e+06,C+,0.000,-,38 120.71,4f13(2F°)6s2,2F°,7/2,4f<sup>12</sup>(<sup>1</sup>G<sub>4</sub>)5d<sub>3/2</sub>6s<sup>2</sup>,"(4,3/2)",9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3042&amp;comment_code=n&amp;element=Tm&amp;spectr_charge=1&amp;ref=3042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2006&amp;comment_code=&amp;element=Tm&amp;spectr_charge=1&amp;ref=2006&amp;type=
