Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""7s2""","=""1S""","=""0""","=""""","=""0.00""","=""""","=""0.03""","=""  95                             ""","=""L22136,L7344c157"""
"=""6d.7s""","=""3D""","=""1""","=""""","=""4739.631""","=""""","=""0.018""","=""  99                             ""","=""L22136,L7344c157"""
"=""6d.7s""","=""3D""","=""2""","=""""","=""5267.147""","=""""","=""0.015""","=""  86         :    11  6d.7s 1D   ""","=""L22136,L7344c157"""
"=""6d.7s""","=""3D""","=""3""","=""""","=""7426.489""","=""""","=""0.016""","=""  99                             ""","=""L22136,L7344c157"""
"=""6d.7s""","=""1D""","=""2""","=""""","=""9087.517""","=""""","=""0.014""","=""  68         :    16  6d2   1D   ""","=""L22136,L7344c157"""
"=""6d2""","=""3F""","=""2""","=""""","=""13236.418""","=""""","=""0.000""","=""  93                             ""","=""L22136,L7344c157"""
"=""6d2""","=""3F""","=""3""","=""""","=""14949.173""","=""""","=""0.013""","=""  99                             ""","=""L22136,L7344c157"""
"=""6d2""","=""3F""","=""4""","=""""","=""16756.847""","=""""","=""0.014""","=""  92         :     7  6d2   1G   ""","=""L22136,L7344c157"""
"=""6d2""","=""3P""","=""0""","=""""","=""17737.032""","=""""","=""0.022""","=""  92         :     5  6d2   1S   ""","=""L22136,L7344c157"""
"=""6d2""","=""3P""","=""1""","=""""","=""19015.283""","=""""","=""0.021""","=""  98                             ""","=""L22136,L7344c157"""
"=""6d2""","=""3P""","=""2""","=""""","=""19202.962""","=""""","=""0.013""","=""  68         :    22  6d2   1D   ""","=""L22136,L7344c157"""
"=""6d2""","=""1G""","=""4""","=""""","=""20848.198""","=""""","=""0.018""","=""  90         :     7  6d2   3F   ""","=""L22136,L7344c157"""
"=""7s.7p""","=""3P*""","=""0""","=""""","=""20956.42""","=""""","=""0.03""","=""  98                             ""","=""L22136,L7344c157"""
"=""7s.7p""","=""3P*""","=""1""","=""""","=""22180.533""","=""""","=""0.020""","=""  82         :    11  7s.7p 1P*  ""","=""L22136,L7344c157"""
"=""7s.7p""","=""3P*""","=""2""","=""""","=""28201.120""","=""""","=""0.021""","=""  89         :     7  6d.7p 3P*  ""","=""L22136,L7344c157"""
"=""6d2""","=""1D""","=""2""","=""""","=""22199.428""","=""""","=""0.019""","=""  57         :    30  6d2   3P   ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3F*""","=""2""","=""""","=""26446.928""","=""""","=""0.012""","=""  65         :    17  5f.7s 3F*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3F*""","=""3""","=""""","=""29881.055""","=""""","=""0.013""","=""  55         :    39  5f.7s 3F*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3F*""","=""4""","=""""","=""39118.975""","=""""","=""0.023""","=""  52         :    25  5f.7s 3F*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""1P*""","=""1""","=""""","=""29250.366""","=""""","=""0.016""","=""  27         :    37  6d.7p 3D*  ""","=""L22136,L7344c157"""
"=""5f.7s""","=""1F*""","=""3""","=""""","=""31174.565""","=""""","=""0.013""","=""  62         :    22  6d.7p 1F*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""1D*""","=""2""","=""""","=""31878.854""","=""""","=""0.014""","=""  47         :    19  5f.7s 3F*  ""","=""L22136,L7344c157"""
"=""5f.7s""","=""3F*""","=""4""","=""""","=""32965.512""","=""""","=""0.017""","=""  66         :    34  6d.7p 3F*  ""","=""L22136,L7344c157"""
"=""5f.7s""","=""3F*""","=""2""","=""""","=""35397.115""","=""""","=""0.017""","=""  24         :    27  6d.7p 3F*  ""","=""L22136,L7344c157"""
"=""5f.7s""","=""3F*""","=""3""","=""""","=""36144.291""","=""""","=""0.015""","=""  36         :    32  6d.7p 3D*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3D*""","=""2""","=""""","=""33304.935""","=""""","=""0.016""","=""  49         :    34  5f.7s 3F*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3D*""","=""1""","=""""","=""33388.554""","=""""","=""0.020""","=""  44         :    39  7s.7p 1P*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3D*""","=""3""","=""""","=""36972.910""","=""""","=""0.018""","=""  44         :    28  6d.7p 3F*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3P*""","=""0""","=""""","=""36780.01""","=""""","=""0.03""","=""  91         :     8  5f.6d 3P*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3P*""","=""1""","=""""","=""36855.480""","=""""","=""0.018""","=""  77         :    11  6d.7p 3D*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3P*""","=""2""","=""""","=""38371.612""","=""""","=""0.016""","=""  61         :    18  6d.7p 1D*  ""","=""L22136,L7344c157"""
"=""5f.6d""","=""3H*""","=""4""","=""""","=""39807.02""","=""""","=""0.03""","=""  80         :    10  5f.6d 1G*  ""","=""L22136,L7344c157"""
"=""5f.6d""","=""3F*""","=""2""","=""""","=""41578.56""","=""""","=""0.03""","=""  72         :    21  5f.6d 1D*  ""","=""L22136,L7344c157"""
"=""5f.6d""","=""3F*""","=""3""","=""""","=""43275.794""","=""""","=""0.024""","=""  88                             ""","=""L22136,L7344c157"""
"=""5f.6d""","=""3F*""","=""4""","=""""","=""45040.26""","=""""","=""0.03""","=""  80         :     8  5f.6d 1G*  ""","=""L22136,L7344c157"""
"=""5f.6d""","=""1G*""","=""4""","=""""","=""41627.78""","=""""","=""0.04""","=""  76         :    14  5f.6d 3H*  ""","=""L22136,L7344c157"""
