Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4d10,1S,0,1,,0.00,,0.06,,  99                                               ,L18362
4d9.(2D<5/2>).5s,2[5/2],3,7,,39168.0177,,0.0016,1.318, 100                                               ,"L18362,L3466"
4d9.(2D<5/2>).5s,2[5/2],2,5,,40745.3671,,0.0013,1.119,  85         :    15  4d9.(2D<3/2>).5s     2[3/2]  ,"L18362,L3466"
4d9.(2D<3/2>).5s,2[3/2],1,3,,43742.7348,,0.0014,0.488, 100                                               ,"L18362,L3466"
4d9.(2D<3/2>).5s,2[3/2],2,5,,46049.0620,,0.0013,1.028,  85         :    14  4d9.(2D<5/2>).5s     2[5/2]  ,"L18362,L3466"
4d9.(2D<5/2>).5p,2[3/2]*,2,5,,80176.4601,,0.0012,1.464,  92         :     5  4d9.(2D<5/2>).5p     2[5/2]* ,"L18362,L3466"
4d9.(2D<5/2>).5p,2[3/2]*,1,3,,83625.5147,,,1.410,  57         :    42  4d9.(2D<3/2>).5p     2[1/2]* ,"L18362,L3466"
4d9.(2D<5/2>).5p,2[7/2]*,3,7,,82171.7320,,0.0013,1.059,  89         :     9  4d9.(2D<5/2>).5p     2[5/2]* ,"L18362,L3466"
4d9.(2D<5/2>).5p,2[7/2]*,4,9,,83669.6491,,0.0019,1.249,  99                                               ,"L18362,L3466"
4d9.(2D<5/2>).5p,2[5/2]*,2,5,,85200.7563,,0.0012,0.851,  63         :    31  4d9.(2D<3/2>).5p     2[5/2]* ,"L18362,L3466"
4d9.(2D<5/2>).5p,2[5/2]*,3,7,,86460.6511,,0.0013,1.240,  86         :    10  4d9.(2D<5/2>).5p     2[7/2]* ,"L18362,L3466"
4d9.(2D<3/2>).5p,2[1/2]*,0,1,,86140.0853,,0.0017,,  99                                               ,L18362
4d9.(2D<3/2>).5p,2[1/2]*,1,3,,90334.8716,,0.0013,0.52,  39         :    30  4d9.(2D<3/2>).5p     2[3/2]* ,"L18362,L3466"
4d9.(2D<3/2>).5p,2[5/2]*,2,5,,86888.0990,,0.0012,0.889,  64         :    31  4d9.(2D<5/2>).5p     2[5/2]* ,"L18362,L3466"
4d9.(2D<3/2>).5p,2[5/2]*,3,7,,89134.7240,,0.0013,1.076,  96                                               ,"L18362,L3466"
