Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
3s2.3p5,2P*,3/2,4,,0.0000,,0.0008,,L15349
3s2.3p5,2P*,1/2,2,,1431.5831,,0.0008,,L15349
3s.3p6,2S,1/2,2,,108721.537,,0.012,,L15349
3s2.3p4.(3P).3d,4D,7/2,8,,132327.3616,,0.0004,,L15349
3s2.3p4.(3P).3d,4D,5/2,6,,132481.2068,,0.0004,,L15349
3s2.3p4.(3P).3d,4D,3/2,4,,132630.7277,,0.0004,,L15349
3s2.3p4.(3P).3d,4D,1/2,2,,132737.7039,,0.0006,,L15349
3s2.3p4.(3P).4s,4P,5/2,6,,134241.7389,,0.0003,1.598,L15349
3s2.3p4.(3P).4s,4P,3/2,4,,135085.9958,,,1.722,L15349
3s2.3p4.(3P).4s,4P,1/2,2,,135601.7336,,0.0003,2.650,L15349
3s2.3p4.(3P).4s,2P,3/2,4,,138243.6444,,0.0002,1.334,L15349
3s2.3p4.(3P).4s,2P,1/2,2,,139258.3389,,0.0002,0.676,L15349
3s2.3p4.(3P).3d,4F,9/2,10,,142186.3153,,0.0003,,L15349
3s2.3p4.(3P).3d,4F,7/2,8,,142717.0965,,0.0003,,L15349
3s2.3p4.(3P).3d,4F,5/2,6,,143107.6801,,0.0003,,L15349
3s2.3p4.(3P).3d,4F,3/2,4,,143371.4364,,0.0005,,L15349
3s2.3p4.(3P).3d,2P,1/2,2,,144709.9818,,0.0003,,L15349
3s2.3p4.(3P).3d,2P,3/2,4,,145668.8845,,0.0003,,L15349
3s2.3p4.(3P).3d,4P,1/2,2,,147228.0521,,0.0008,,L15349
3s2.3p4.(3P).3d,4P,3/2,4,,147503.1134,,0.0005,,L15349
3s2.3p4.(3P).3d,4P,5/2,6,,147875.9477,,0.0004,,L15349
3s2.3p4.(1D).4s,2D,3/2,4,,148620.1414,,0.0002,0.803,L15349
3s2.3p4.(1D).4s,2D,5/2,6,,148842.4674,,0.0002,1.202,L15349
3s2.3p4.(3P).3d,2F,7/2,8,,149179.2444,,0.0002,,L15349
3s2.3p4.(3P).3d,2F,5/2,6,,150147.7021,,0.0002,,L15349
3s2.3p4.(3P).3d,2D,3/2,4,,150474.9903,,0.0002,,L15349
3s2.3p4.(3P).3d,2D,5/2,6,,151087.3128,,0.0002,,L15349
3s2.3p4.(1D).3d,2G,9/2,10,,154181.4942,,0.0003,,L15349
3s2.3p4.(1D).3d,2G,7/2,8,,154204.0240,,0.0003,,L15349
3s2.3p4.(3P).4p,4P*,5/2,6,,155043.1619,,0.0002,1.599,L15349
3s2.3p4.(3P).4p,4P*,3/2,4,,155351.1206,,0.0002,1.720,L15349
3s2.3p4.(3P).4p,4P*,1/2,2,,155708.1075,,0.0003,2.638,L15349
3s2.3p4.(3P).4p,4D*,7/2,8,,157234.0196,,0.0003,1.427,L15349
3s2.3p4.(3P).4p,4D*,5/2,6,,157673.4134,,0.0002,1.334,L15349
3s2.3p4.(3P).4p,4D*,3/2,4,,158167.7999,,0.0003,1.199,L15349
3s2.3p4.(3P).4p,4D*,1/2,2,,158428.1087,,0.0004,0.000,L15349
3s2.3p4.(3P).4p,2D*,5/2,6,,158730.2995,,0.0002,1.241,L15349
3s2.3p4.(3P).4p,2D*,3/2,4,,159393.3850,,0.0002,0.918,L15349
3s2.3p4.(3P).4p,2P*,1/2,2,,159706.5337,,0.0002,0.983,L15349
3s2.3p4.(3P).4p,2P*,3/2,4,,160239.4280,,0.0002,1.244,L15349
3s2.3p4.(3P).4p,4S*,3/2,4,,161048.7411,,0.0003,1.987,L15349
3s2.3p4.(3P).4p,2S*,1/2,2,,161089.3846,,0.0002,1.695,L15349
3s2.3p4.(1D).3d,2F,5/2,6,,163299.5616,,0.0004,,L15349
3s2.3p4.(1D).3d,2F,7/2,8,,163506.5368,,0.0002,,L15349
3s2.3p4.(1S).4s,2S,1/2,2,,167307.9822,,0.0004,1.993,L15349
3s2.3p4.(1D).4p,2F*,5/2,6,,170401.0170,,0.0002,0.857,L15349
3s2.3p4.(1D).4p,2F*,7/2,8,,170530.4040,,0.0002,1.140,L15349
3s2.3p4.(1D).4p,2P*,3/2,4,,172213.8798,,0.0002,1.332,L15349
3s2.3p4.(1D).4p,2P*,1/2,2,,172816.2926,,0.0004,0.677,L15349
3s2.3p4.(1D).3d,2D,5/2,6,,172335.5985,,0.0009,,L15349
3s2.3p4.(1D).3d,2D,3/2,4,,172829.6539,,0.0015,,L15349
3s2.3p4.(1D).4p,2D*,3/2,4,,173347.9158,,0.0002,0.804,L15349
3s2.3p4.(1D).4p,2D*,5/2,6,,173393.4658,,0.0002,1.202,L15349
3s2.3p4.(1D).3d,2P,3/2,4,,174409.8916,,0.0015,,L15349
3s2.3p4.(1D).3d,2P,1/2,2,,174821.0098,,0.0018,,L15349
3s2.3p4.(1S).3d,2D,5/2,6,,179592.2248,,0.0008,,L15349
3s2.3p4.(1S).3d,2D,3/2,4,,179931.8393,,0.0012,,L15349
3s2.3p4.(3P).5s,4P,5/2,6,,181594.1404,,0.0002,1.603,L15349
3s2.3p4.(3P).5s,4P,3/2,4,,182222.1209,,0.0002,1.609,L15349
3s2.3p4.(3P).5s,4P,1/2,2,,182951.2609,,0.0002,2.550,L15349
3s2.3p4.(3P).5s,2P,3/2,4,,183090.8927,,0.0001,1.445,L15349
3s2.3p4.(3P).5s,2P,1/2,2,,183914.6440,,0.0002,0.816,L15349
3s2.3p4.(3P).4d,4D,7/2,8,,183675.6614,,0.0003,1.427,L15349
3s2.3p4.(3P).4d,4D,5/2,6,,183797.4473,,0.0003,1.370,L15349
3s2.3p4.(3P).4d,4D,3/2,4,,183986.0137,,0.0003,1.198,L15349
3s2.3p4.(3P).4d,4D,1/2,2,,184191.7917,,0.0006,0.380,L15349
3s2.3p4.(1D).3d,2S,1/2,2,,184093.1337,,0.0005,,L15349
