Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""1s2.2s2""","=""1S""","=""0""","=""""","=""0.00""","=""""","=""0""","=""  93                      :     7  1s2.2p2    1S   ""","=""L12120"""
"=""1s2.2s.2p""","=""3P*""","=""0""","=""""","=""37335.54""","=""""","=""0.04""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.2p""","=""3P*""","=""1""","=""""","=""37341.65""","=""""","=""0.03""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.2p""","=""3P*""","=""2""","=""""","=""37357.80""","=""""","=""0.03""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.2p""","=""1P*""","=""1""","=""""","=""73396.510""","=""""","=""0.03""","=""  97                                               ""","=""L12120"""
"=""1s2.2p2""","=""3P""","=""0""","=""""","=""98911.38""","=""""","=""0.04""","="" 100                                               ""","=""L12120"""
"=""1s2.2p2""","=""3P""","=""1""","=""""","=""98919.87""","=""""","=""0.03""","="" 100                                               ""","=""L12120"""
"=""1s2.2p2""","=""3P""","=""2""","=""""","=""98933.26""","=""""","=""0.03""","="" 100                                               ""","=""L12120"""
"=""1s2.2p2""","=""1D""","=""2""","=""""","=""102362.770""","=""""","=""0.03""","=""  94                                               ""","=""L12120"""
"=""1s2.2p2""","=""1S""","=""0""","=""""","=""127661.19""","=""""","=""0.03""","=""  80                      :    15  1s2.2s.3s  1S   ""","=""L12120"""
"=""1s2.2s.3s""","=""3S""","=""1""","=""""","=""129773.83""","=""""","=""0.18""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.3s""","=""1S""","=""0""","=""""","=""137622.25""","=""""","=""0.16""","=""  81                      :    11  1s2.2p2    1S   ""","=""L12120"""
"=""1s2.2s.3p""","=""3P*""","=""0""","=""""","=""143989.95""","=""""","=""0.18""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.3p""","=""3P*""","=""1""","=""""","=""143990.56""","=""""","=""0.18""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.3p""","=""3P*""","=""2""","=""""","=""143994.11""","=""""","=""0.18""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.3p""","=""1P*""","=""1""","=""""","=""144102.94""","=""""","=""0.07""","=""  91                      :     7  1s2.2p.3s  1P*  ""","=""L12120"""
"=""1s2.2s.3d""","=""3D""","=""3""","=""""","=""150649.68""","=""""","=""0.16""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.3d""","=""3D""","=""1""","=""""","=""150649.68""","=""""","=""0.16""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.3d""","=""3D""","=""2""","=""""","=""150649.68""","=""""","=""0.16""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.3d""","=""1D""","=""2""","=""""","=""154686.12""","=""""","=""0.07""","=""  94                                               ""","=""L12120"""
"=""1s2.2s.4s""","=""3S""","=""1""","=""""","=""166344.89""","=""""","=""0.18""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.4s""","=""1S""","=""0""","=""""","=""167935.31""","=""""","=""0.09""","=""  97                                               ""","=""L12120"""
"=""1s2.2s.4p""","=""1P*""","=""1""","=""""","=""170591.33""","=""""","=""0.09""","=""  87                      :    10  1s2.2p.3s  1P*  ""","=""L12120"""
"=""1s2.2s.4p""","=""3P*""","=""1""","=""""","=""171545.96""","=""""","=""0.17""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.4p""","=""3P*""","=""2""","=""""","=""171545.96""","=""""","=""0.17""","=""  99                                               ""","=""L12120"""
