Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""2s2.2p""","=""2P*""","=""1/2""","=""""","=""0.000000""","=""""","=""0.000000""","=""0.66576(6)""","=""  96         :     3  2p3                   2P*  ""","=""L22145,L6720"""
"=""2s2.2p""","=""2P*""","=""3/2""","=""""","=""63.395090""","=""""","=""0.000022""","=""1.33412(6)""","=""  96         :     3  2p3                   2P*  ""","=""L22145,L6720"""
"=""2s.2p2""","=""4P""","=""1/2""","=""""","=""43002.8""","=""""","=""0.3""","=""(2.6704)""","=""  99                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""4P""","=""3/2""","=""""","=""43024.9""","=""""","=""0.3""","=""(1.7349)""","=""  99                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""4P""","=""5/2""","=""""","=""43053.2""","=""""","=""0.3""","=""(1.6013)""","=""  99                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""2D""","=""5/2""","=""""","=""74930.077""","=""""","=""0.017""","=""(1.2004)""","=""  97                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""2D""","=""3/2""","=""""","=""74932.602""","=""""","=""0.021""","=""(0.7995)""","=""  97                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""2S""","=""1/2""","=""""","=""96493.646""","=""""","=""0.024""","=""(2.0022)""","=""  84         :    12  2s2.3s                2S   ""","=""L22145,L15072"""
"=""2s.2p2""","=""2P""","=""1/2""","=""""","=""110624.18""","=""""","=""0.04""","=""(0.6659)""","=""  96         :     2  2p2.(3P).3s           2P   ""","=""L22145,L15072"""
"=""2s.2p2""","=""2P""","=""3/2""","=""""","=""110665.59""","=""""","=""0.04""","=""(1.3340)""","=""  96         :     2  2p2.(3P).3s           2P   ""","=""L22145,L15072"""
"=""2s2.3s""","=""2S""","=""1/2""","=""""","=""116537.648""","=""""","=""0.019""","=""(2.0023)""","=""  82         :    13  2s.2p2                2S   ""","=""L22145,L15072"""
"=""2s2.3p""","=""2P*""","=""1/2""","=""""","=""131724.382""","=""""","=""0.019""","=""(0.6659)""","=""  93         :     5  2p2.(1S).3p           2P*  ""","=""L22145,L15072"""
"=""2s2.3p""","=""2P*""","=""3/2""","=""""","=""131735.528""","=""""","=""0.019""","=""(1.3341)""","=""  93         :     5  2p2.(1S).3p           2P*  ""","=""L22145,L15072"""
"=""2p3""","=""4S*""","=""3/2""","=""""","=""142026.24""","=""""","=""0.30""","=""(2.0022)""","="" 100                                             ""","=""L22145,L15072"""
"=""2s2.3d""","=""2D""","=""3/2""","=""""","=""145549.25""","=""""","=""0.03""","=""(0.7995)""","=""  94         :     5  2p2.(1S).3d           2D   ""","=""L22145,L15072"""
"=""2s2.3d""","=""2D""","=""5/2""","=""""","=""145550.70""","=""""","=""0.03""","=""(1.2004)""","=""  94         :     5  2p2.(1S).3d           2D   ""","=""L22145,L15072"""
"=""2p3""","=""2D*""","=""5/2""","=""""","=""150461.58""","=""""","=""0.07""","=""(1.2004)""","=""  92         :     6  2s.2p.(3P*).3d        2D*  ""","=""L22145,L15072"""
"=""2p3""","=""2D*""","=""3/2""","=""""","=""150466.70""","=""""","=""0.05""","=""(0.7995)""","=""  92         :     6  2s.2p.(3P*).3d        2D*  ""","=""L22145,L15072"""
"=""2s2.4s""","=""2S""","=""1/2""","=""""","=""157234.05""","=""""","=""0.03""","=""(2.0023)""","=""  94         :     5  2p2.(1S).4s           2S   ""","=""L22145,L15072"""
