Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f.(2F*).5d2.(3F),4H*,7/2,8,,0.000,,,0.794,  48                 :    35                      (2F*)(3F) 2G*            ,L3974
4f.(2F*).5d2.(3F),4H*,9/2,10,,2581.257,,,1.023,  35                 :    21                      (2F*)(3F) 2G*            ,
4f.(2F*).5d2.(3F),4H*,11/2,12,,2879.695,,,1.123,  92                 :     2                      (2F*)(1D) 2H*            ,
4f.(2F*).5d2.(3F),4H*,13/2,14,,4203.934,,,1.189,  69                 :    29                      (2F*)(3F) 4I*            ,
4f.(2F*).5d2.(3F),*,9/2,10,,987.611,,,0.948,  30  4I*            :    24                      (2F*)(3F) 2G*            ,
4f.(2F*).5d2.(3F),4I*,9/2,10,,1410.304,,,0.856,  49                 :    22                      (2F*)(3F) 4H*            ,
4f.(2F*).5d2.(3F),4I*,11/2,12,,2563.233,,,0.968,  94                 :     2                      (2F*)(1D) 2H*            ,
4f.(2F*).5d2.(3F),4I*,13/2,14,,3793.634,,,1.128,  68                 :    24                      (2F*)(3F) 4H*            ,
4f.(2F*).5d2.(3F),4I*,15/2,16,,5455.845,,,1.196,  99                                                                       ,
4f.(2F*).5d2.(3F),*,7/2,8,,1873.934,,,0.806,  43  4H*            :    18                      (2F*)(3F) 2G*            ,
4f.(2F*).5d2.(3F),*,1/2,2,,2140.492,,,0.985,  26  2S*            :    23                      (2F*)(1D) 2P*            ,
4f.5d.(1G*).6s,*,9/2,10,,2382.246,,,1.039,  33  2G*            :    18  4f.(2F*).5d2.(3F)   4H*                      ,
4f.5d.(3F*).6s,4F*,3/2,4,,2595.644,,,0.516,  72                 :    21                      (1D*) 2D*                ,
4f.5d.(3F*).6s,4F*,5/2,6,,3363.427,,,0.995,  43                 :    18  4f.(2F*).5d2.(3F)   2F*                      ,
4f.5d.(3F*).6s,4F*,7/2,8,,4459.872,,,1.134,  57                 :    10  4f.(2F*).5d2.(1D)   2G*                      ,
4f.5d.(3F*).6s,4F*,9/2,10,,5675.763,,,1.241,  71                 :    16                      (3G*) 4G*                ,
4f.5d.(3F*).6s,*,5/2,6,,2634.666,,,0.957,  26  2F*            :    21  4f.(2F*).5d2.(1D)   2F*                      ,
4f.5d.(1G*).6s,*,7/2,8,,2641.559,,,0.829,  44  2G*            :    29                      (3H*) 4H*                ,
