Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5p6,1S,0,1,,0.0,,0.4,,                        ,L6838
5p5.(2P*<3/2>).6s,2[3/2]*,2,5,,107401.5602,,0.0016,1.49,  81                    ,L6838
5p5.(2P*<3/2>).6s,2[3/2]*,1,3,,110954.3607,,0.0013,1.24,  63                    ,L6838
5p5.(2P*<3/2>).5d,2[1/2]*,0,1,,107572.0610,,0.0017,,  97                    ,L6838
5p5.(2P*<3/2>).5d,2[1/2]*,1,3,,107914.1587,,0.0014,1.37,  42                    ,L6838
5p5.(2P*<3/2>).5d,2[7/2]*,4,9,,112245.5424,,0.0022,, 100                    ,L6838
5p5.(2P*<3/2>).5d,2[7/2]*,3,7,,113725.7641,,0.0014,,  79                    ,L6838
5p5.(2P*<3/2>).5d,2[3/2]*,2,5,,112804.3010,,0.0012,,  75                    ,L6838
5p5.(2P*<3/2>).5d,2[3/2]*,1,3,,123645.5813,,0.0009,0.70,  47                    ,L6838
5p5.(2P*<3/2>).5d,2[5/2]*,2,5,,115675.5328,,0.0011,,  95                    ,L6838
5p5.(2P*<3/2>).5d,2[5/2]*,3,7,,118274.5796,,0.0011,,  81                    ,L6838
5p5.(2P*<1/2>).6s,2[1/2]*,0,1,,122374.8156,,0.0011,,  97                    ,L6838
5p5.(2P*<1/2>).6s,2[1/2]*,1,3,,122875.4487,,0.0009,1.12,  84                    ,L6838
5p5.(2P*<3/2>).6p,2[1/2],1,3,,126527.5324,,0.0010,1.87,  93                    ,L6838
5p5.(2P*<3/2>).6p,2[1/2],0,1,,133162.6932,,0.0010,,  98                    ,L6838
5p5.(2P*<1/2>).5d,2[5/2]*,2,5,,126697.9076,,0.0013,,  91                    ,L6838
5p5.(2P*<1/2>).5d,2[5/2]*,3,7,,129420.3739,,0.0016,,  96                    ,L6838
5p5.(2P*<3/2>).6p,2[5/2],2,5,,128098.9117,,0.0009,1.10,  89                    ,L6838
5p5.(2P*<3/2>).6p,2[5/2],3,7,,129116.7070,,0.0010,1.33, 100                    ,L6838
5p5.(2P*<1/2>).5d,2[3/2]*,2,5,,128320.1051,,0.0013,,  87                    ,L6838
5p5.(2P*<1/2>).5d,2[3/2]*,1,3,,139248.8879,,0.0009,,  67                    ,L6838
5p5.(2P*<3/2>).6p,2[3/2],1,3,,129998.9106,,0.0009,1.02,  94                    ,L6838
5p5.(2P*<3/2>).6p,2[3/2],2,5,,130775.1451,,0.0009,1.34,  89                    ,L6838
5p5.(2P*<1/2>).6p,2[3/2],1,3,,141564.8730,,0.0009,0.68,  92                    ,L6838
5p5.(2P*<1/2>).6p,2[3/2],2,5,,143403.4304,,0.0010,1.12, 100                    ,L6838
5p5.(2P*<1/2>).6p,2[1/2],1,3,,143361.3141,,0.0009,1.44,  90                    ,L6838
5p5.(2P*<1/2>).6p,2[1/2],0,1,,144532.3662,,0.0010,,  98                    ,L6838
5p5.(2P*<3/2>).7s,2[3/2]*,2,5,,149221.3163,,0.0008,1.50,  97                    ,L6838
5p5.(2P*<3/2>).7s,2[3/2]*,1,3,,149614.3781,,0.0008,1.18,  98                    ,L6838
5p5.(2P*<3/2>).6d,2[1/2]*,0,1,,151682.3953,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).6d,2[1/2]*,1,3,,152181.1184,,0.0008,1.24,  63                    ,L6838
5p5.(2P*<3/2>).6d,2[7/2]*,4,9,,152558.4033,,0.0009,1.27, 100                    ,L6838
5p5.(2P*<3/2>).6d,2[7/2]*,3,7,,152845.2775,,0.0008,1.07,  84                    ,L6838
5p5.(2P*<3/2>).6d,2[3/2]*,2,5,,152800.4209,,0.0008,1.33,  96                    ,L6838
5p5.(2P*<3/2>).6d,2[3/2]*,1,3,,156408.4367,,0.0010,0.89,  64                    ,L6838
5p5.(2P*<3/2>).6d,2[5/2]*,2,5,,153311.2074,,0.0009,0.97,  98                    ,L6838
5p5.(2P*<3/2>).6d,2[5/2]*,3,7,,153687.1457,,0.0009,1.20,  84                    ,L6838
5p5.(2P*<3/2>).4f,2[3/2],1,3,,155467.9346,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).4f,2[3/2],2,5,,155974.6533,,0.0008,,  78                    ,L6838
5p5.(2P*<3/2>).7p,2[1/2],1,3,,155758.1267,,0.0008,,  92                    ,L6838
5p5.(2P*<3/2>).7p,2[1/2],0,1,,158057.4164,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).7p,2[5/2],2,5,,156124.4521,,0.0008,,  91                    ,L6838
5p5.(2P*<3/2>).7p,2[5/2],3,7,,156522.3703,,0.0008,, 100                    ,L6838
5p5.(2P*<3/2>).4f,2[9/2],5,11,,156330.4943,,0.0010,, 100                    ,L6838
5p5.(2P*<3/2>).4f,2[9/2],4,9,,156585.7450,,0.0010,,  98                    ,L6838
5p5.(2P*<3/2>).4f,2[5/2],3,7,,156769.1928,,0.0009,,  99                    ,L6838
5p5.(2P*<3/2>).4f,2[5/2],2,5,,157752.7176,,0.0008,,  79                    ,L6838
5p5.(2P*<3/2>).7p,2[3/2],1,3,,156822.8269,,0.0008,,  93                    ,L6838
5p5.(2P*<3/2>).7p,2[3/2],2,5,,157071.2245,,0.0008,,  91                    ,L6838
5p5.(2P*<3/2>).4f,2[7/2],3,7,,157453.8634,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).4f,2[7/2],4,9,,157572.1025,,0.0009,,  97                    ,L6838
5p5.(2P*<1/2>).7s,2[1/2]*,0,1,,163034.0137,,0.0009,, 100                    ,L6838
5p5.(2P*<1/2>).7s,2[1/2]*,1,3,,163189.3511,,0.0008,1.38, 100                    ,L6838
5p5.(2P*<3/2>).8s,2[3/2]*,2,5,,164454.0039,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).8s,2[3/2]*,1,3,,164666.0730,,0.0007,, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[3/2],1,3,,165791.5040,,0.0012,, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[3/2],2,5,,166088.6464,,0.0010,,  73                    ,L6838
5p5.(2P*<3/2>).7d,2[1/2]*,0,1,,165793.4562,,0.0013,, 100                    ,L6838
5p5.(2P*<3/2>).7d,2[1/2]*,1,3,,165822.9066,,0.0009,,  63                    ,L6838
5p5.(2P*<3/2>).7d,2[3/2]*,2,5,,165899.3431,,0.0009,,  96                    ,L6838
5p5.(2P*<3/2>).7d,2[3/2]*,1,3,,166764.4149,,0.0008,,  63                    ,L6838
5p5.(2P*<3/2>).7d,2[7/2]*,3,7,,166126.9208,,0.0009,,  95                    ,L6838
5p5.(2P*<3/2>).7d,2[7/2]*,4,9,,166153.9587,,0.0011,, 100                    ,L6838
5p5.(2P*<1/2>).6d,2[5/2]*,2,5,,166140.2712,,0.0008,,  98                    ,L6838
5p5.(2P*<1/2>).6d,2[5/2]*,3,7,,167025.1600,,0.0009,1.10, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[9/2],5,11,,166578.7206,,0.0013,, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[9/2],4,9,,166806.1612,,0.0011,,  95                    ,L6838
5p5.(2P*<3/2>).5f,2[5/2],3,7,,166591.8501,,0.0010,, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[5/2],2,5,,167905.3418,,0.0008,,  73                    ,L6838
5p5.(2P*<3/2>).7d,2[5/2]*,3,7,,166609.7528,,0.0009,,  95                    ,L6838
5p5.(2P*<3/2>).7d,2[5/2]*,2,5,,166696.0306,,0.0009,,  96                    ,L6838
5p5.(2P*<1/2>).6d,2[3/2]*,2,5,,166970.7032,,0.0008,1.30,  97                    ,L6838
5p5.(2P*<1/2>).6d,2[3/2]*,1,3,,169192.5805,,0.0011,,  98                    ,L6838
5p5.(2P*<3/2>).5f,2[7/2],3,7,,167349.9741,,0.0011,, 100                    ,L6838
5p5.(2P*<3/2>).5f,2[7/2],4,9,,167560.5683,,0.0012,,  94                    ,L6838
5p5.(2P*<3/2>).8p,2[1/2],1,3,,167498.8595,,0.0009,,  85                    ,L6838
5p5.(2P*<3/2>).8p,2[1/2],0,1,,168565.0066,,-,, 100                    ,L6838
5p5.(2P*<3/2>).8p,2[5/2],2,5,,167702.7101,,0.0008,,  89                    ,L6838
5p5.(2P*<3/2>).8p,2[5/2],3,7,,167943.5275,,0.0009,, 100                    ,L6838
5p5.(2P*<3/2>).8p,2[3/2],1,3,,168057.8610,,0.0008,,  85                    ,L6838
5p5.(2P*<3/2>).8p,2[3/2],2,5,,168233.8565,,0.0008,,  89                    ,L6838
5p5.(2P*<3/2>).5g,2[5/2]*,2,5,,169033.9021,,0.0011,,                        ,L6838
5p5.(2P*<3/2>).5g,2[5/2]*,3,7,,169039.6235,,0.0011,,                        ,L6838
5p5.(2P*<3/2>).5g,2[11/2]*,6,13,,169061.7556,,0.0013,,                        ,L6838
5p5.(2P*<3/2>).5g,2[11/2]*,5,11,,169062.0630,,0.0012,,                        ,L6838
5p5.(2P*<3/2>).5g,2[7/2]*,4,9,,169144.3317,,0.0011,,                        ,L6838
5p5.(2P*<3/2>).5g,2[7/2]*,3,7,,169145.0474,,0.0009,,                        ,L6838
5p5.(2P*<3/2>).5g,2[9/2]*,4,9,,169185.4867,,0.0013,,                        ,L6838
5p5.(2P*<3/2>).5g,2[9/2]*,5,11,,169185.5968,,0.0012,,                        ,L6838
